Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	652.106	241.5	1.54744 0.0831793
7.5	526.005	210	1.63169 0.0592942
12.5	438.259	181	1.68291 0.0540574
17.5	359.198	154.5	1.88286 0.0507923
22.5	294.606	131	1.88378 0.0637673
27.5	241.116	110	2.11662 0.0559704
32.5	195.818	91.5	2.19253 0.0710724
37.5	153.354	75.5	2.29847 0.0769716
42.5	119.455	61.5	2.34694 0.1247
47.5	93.1146	49	2.70269 0.184029
52.5	71.0812	38.5	3.04254 0.0468323
57.5	53.4575	30	3.36356 0.0525983
62.5	39.361	23	3.59861 0.101629
67.5	28.2907	17	4.07071 0.116551
72.5	19.9516	12	4.43903 0.0825184
77.5	12.92	8.5	4.8798 0.197734
82.5	8.0906	6	5.51931 0.283988
87.5	4.66251	4	7.08022 0.587712
92.5	nan	2.5	nan nan
97.5	nan	2	nan nan
