Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	735.318	253	0.247854 8.22261e-05	0.23031 0.0002008	0.610337 0.00464504	0.19436 3.62568e-05	0.194558 8.56373e-05	-0.00541606 9.67015e-05	
1.5	669.837	245.5	0.238207 2.36509e-05	0.250688 0.000203189	-0.385683 0.0158193	0.181708 0.000133794	0.186038 0.000529207	-0.125817 0.0183224	
2.5	648.008	240	0.250923 0.000656914	0.257669 0.00152337	-0.188308 0.0327098	0.176949 6.6798e-05	0.169478 0.000232826	0.205413 0.00496164	
3.5	611.962	234	0.246074 5.49302e-07	0.251985 0.000232402	-0.151595 0.0137161	0.175429 5.91125e-05	0.175109 0.00404097	0.00750394 0.0727724	
4.5	592.199	228	0.231062 2.1082e-05	0.217097 0.00370472	0.298597 0.0714627	0.180104 1.43215e-05	0.179246 3.92899e-05	0.0183703 0.00451713	
5.5	564.911	222	0.246137 2.78848e-05	0.222004 0.00017988	0.486238 0.0093784	0.171451 7.09184e-05	0.162523 0.0201652	0.180033 0.192404	
6.5	543.253	216	0.225021 7.36183e-05	0.192286 0.000256915	0.55008 0.0119264	0.162237 2.00391e-05	0.1449 5.60256e-05	0.326425 0.000707398	
7.5	525.729	209.5	0.234753 3.20729e-05	0.232027 0.00236758	0.0448259 0.040255	0.170667 4.64495e-05	0.179035 9.37604e-05	-0.140067 8.83389e-05	
8.5	510.319	203	0.239881 3.67487e-07	0.241978 3.10876e-05	-0.0305191 0.00194489	0.161099 0.000102954	0.157096 2.65508e-05	0.0591154 0.00363892	
9.5	487.59	197.5	0.223794 4.62982e-05	0.219127 0.000818553	0.0658253 0.0171729	0.157958 1.91331e-05	0.156025 6.11131e-05	0.0316577 0.000722284	
10.5	469.94	192	0.232884 0.000133284	0.230257 0.00164891	0.0303074 0.0247883	0.163323 6.27592e-05	0.167535 0.000134165	-0.061963 0.000159479	
11.5	453.805	186	0.225007 1.13491e-05	0.220367 0.0032806	0.0503603 0.0344439	0.154783 3.00394e-05	0.150764 7.39451e-05	0.0523285 0.000243717	
12.5	439.232	180.5	0.22821 4.57776e-05	0.215749 3.59315e-05	0.123172 0.00248133	0.15614 4.07409e-05	0.160019 3.99524e-05	-0.052076 0.0018526	
13.5	424.372	175	0.225039 0.000197577	0.217078 0.000942703	0.0800286 0.0115515	0.151559 0.000100719	0.154446 0.000745418	-0.0412488 0.0118993	
14.5	402.216	169.5	0.218203 0.000129624	0.207017 0.000411374	0.101394 0.000773782	0.145785 2.50125e-05	0.161617 0.000349111	-0.198048 0.00683574	
