Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	652.106	241.5	0.24155 3.13309e-06	0.241115 1.76031e-05	0.0115398 0.00168803	0.181397 2.4054e-05	0.181468 8.54588e-05	-0.00175774 0.0025845	
7.5	526.005	210	0.233051 8.26222e-07	0.224157 1.22331e-05	0.140807 0.000751051	0.164273 2.41333e-05	0.160786 0.00172806	0.0593024 0.0169954	
12.5	438.259	181	0.22565 2.79115e-05	0.218527 0.000181886	0.0722975 0.00300029	0.154073 1.34762e-05	0.15892 3.14172e-05	-0.0654477 6.42678e-05	
17.5	359.198	154.5	0.219113 1.30906e-05	0.200814 6.03933e-05	0.136928 0.000286375	0.142437 4.06422e-05	0.144695 3.17095e-06	-0.0237922 0.000951329	
22.5	294.606	131	0.209583 1.55769e-05	0.190968 0.000607533	0.10874 0.00361025	0.135191 3.47571e-05	0.141496 0.000211164	-0.0546887 0.00224044	
27.5	241.116	110	0.20778 3.36631e-05	0.191474 1.59375e-05	0.0818748 0.000713563	0.124521 1.6715e-05	0.132818 7.39869e-05	-0.0607331 0.000648524	
32.5	195.818	91.5	0.200259 6.87457e-06	0.17692 0.000751311	0.0963459 0.00297396	0.11565 2.59497e-06	0.123998 8.41795e-06	-0.0533915 3.76055e-05	
37.5	153.354	75.5	0.190783 9.40799e-06	0.160602 9.37002e-05	0.108493 0.000615005	0.0984602 2.2316e-05	0.109272 5.45694e-05	-0.0611751 0.000109472	
42.5	119.455	61.5	0.184101 1.66099e-05	0.152643 9.97564e-05	0.0969993 0.000171465	0.0896556 2.36814e-06	0.0999975 2.15675e-05	-0.0500936 0.000165917	
47.5	93.1146	49	0.172553 1.68171e-05	0.144802 4.53518e-05	0.077253 0.000120356	0.0741734 3.42537e-05	0.0871754 0.000810142	-0.0557874 0.00240971	
52.5	71.0812	38.5	0.161271 1.74695e-05	0.130563 9.81794e-05	0.0775747 0.00036494	0.0643234 2.6648e-05	0.0782261 0.000845962	-0.0561513 0.00190602	
57.5	53.4575	30	0.14533 3.44212e-05	0.12602 0.00109652	0.045523 0.00203594	0.0504249 8.3896e-06	0.0688609 8.9436e-05	-0.0706192 0.000416823	
62.5	39.361	23	0.126916 1.18344e-05	0.116895 8.87805e-05	0.0217844 0.000160631	0.039437 2.58179e-05	0.0582571 9.19659e-05	-0.0677528 0.000275942	
67.5	28.2907	17	0.106731 6.90855e-06	0.129227 6.67622e-05	-0.0455249 0.000148741	0.0288013 2.90508e-06	0.047903 1.85941e-06	-0.0675787 1.84689e-05	
72.5	19.9516	12	0.0877295 1.7873e-05	0.133639 0.000816604	-0.0927549 0.0014346	0.0213083 2.7317e-05	0.0411071 0.000184664	-0.0636143 0.00038315	
77.5	12.92	8.5	0.0703918 0.000526364	0.11608 0.00658295	-0.0912566 0.00798662	0.01324 5.55989e-05	0.0321083 0.000260766	-0.0573742 0.000577607	
82.5	8.0906	6	0.0482943 0.000373637	0.105618 0.0025171	-0.105939 0.0034801	0.00690305 0.000136881	0.0218735 0.000439254	-0.0424646 0.000748345	
87.5	4.66251	4	0.0384533 0.000615796	0.104315 0.00659641	-0.129065 0.00825611	0.00451734 4.28397e-05	0.0133798 0.000213153	-0.0234133 0.000414612	
92.5	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
