Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	735.318	253	0.0228309 0.00812289	 0.0524131 0.0129743	 0.035013 0.00688042	 0.0177612 0.00224099	 0.013039 0.005328	 0.0135808 0.00519734	 
1.5	669.837	245.5	0.0179186 0.00878808	 0.0427276 0.00820842	 0.0274279 0.00183972	 0.0160771 0.00139707	 0.0132143 0.00607796	 0.00966185 0.00607039	 
2.5	648.008	240	0.0207427 0.00683851	 0.043169 0.00973562	 0.0284627 0.00246934	 0.0159893 0.000970284	 0.0138121 0.00445642	 0.0114355 0.00393767	 
3.5	611.962	234	0.0204501 0.00690897	 0.0544537 0.0109828	 0.0315005 0.00276818	 0.0164825 0.00126311	 0.0171352 0.00553793	 0.0138441 0.00523266	 
4.5	592.199	228	0.0181381 0.00566995	 0.0517997 0.00880378	 0.0354135 0.00525421	 0.0241283 0.00763606	 0.0217678 0.00857055	 0.0188664 0.00894918	 
5.5	564.911	222	0.0299265 0.00857338	 0.0689762 0.0118035	 0.0420642 0.00679257	 0.0195868 0.00229728	 0.0137412 0.00422638	 0.0168856 0.00506771	 
6.5	543.253	216	0.0250198 0.00617877	 0.0667711 0.0107797	 0.042717 0.0093222	 0.027655 0.00797314	 0.0223789 0.00570082	 0.0164778 0.00440239	 
7.5	525.729	209.5	0.023178 0.00809465	 0.0595265 0.00961376	 0.037518 0.00549845	 0.0188817 0.00207962	 0.0133868 0.00515621	 0.0130055 0.00474251	 
8.5	510.319	203	0.0266247 0.00891575	 0.0637839 0.00977265	 0.0389791 0.00574418	 0.01923 0.00208006	 0.0126194 0.00421031	 0.0117622 0.00417501	 
9.5	487.59	197.5	0.0221341 0.00771462	 0.0635064 0.00926974	 0.0360893 0.00506305	 0.0186603 0.00132781	 0.0146569 0.00545156	 0.0145581 0.00552698	 
10.5	469.94	192	0.0191248 0.00802284	 0.0628249 0.0079013	 0.0381561 0.00618711	 0.019703 0.00332545	 0.0100223 0.00174956	 0.00914249 0.00502238	 
11.5	453.805	186	0.0105395 0.00038847	 0.0545772 0.00119214	 0.0326415 0.000860381	 0.0166682 0.000398228	 0.00824215 0.000202042	 0.00419864 0.000105692	 
12.5	439.232	180.5	0.0302204 0.0139203	 0.0593678 0.00159015	 0.0333811 0.000840889	 0.0170513 0.000392451	 0.0083203 0.000198871	 0.00428849 0.000134505	 
13.5	424.372	175	0.0126121 0.00105303	 0.0583494 0.00123665	 0.0318164 0.000738719	 0.0174601 0.000385901	 0.00806852 0.000192445	 0.00422494 0.000106773	 
14.5	402.216	169.5	0.0241012 0.00759423	 0.0766677 0.0114305	 0.0483582 0.0103827	 0.0280323 0.00849562	 0.0144984 0.00516696	 0.0130122 0.00690653	 
15.5	389.008	164	0.044628 0.0274518	 0.0790714 0.0102294	 0.0453704 0.00844753	 0.02276 0.00454829	 0.0106895 0.00177107	 0.0169045 0.00525641	 
16.5	373.507	158.5	0.0127414 0.000569369	 0.0669802 0.00145768	 0.0349381 0.000933193	 0.0185523 0.000480911	 0.00851621 0.000206897	 0.00433975 0.000118969	 
17.5	354.901	153.5	0.0301038 0.00806982	 0.0839471 0.00963466	 0.0458881 0.0062239	 0.0202685 0.00205718	 0.0139277 0.00339622	 0.0171585 0.00526866	 
18.5	344.291	149	0.0132222 0.000551217	 0.0692675 0.00153804	 0.0357274 0.00089419	 0.0176264 0.000439227	 0.00869147 0.000238491	 0.0045531 0.000123737	 
19.5	331.943	144.5	0.0177923 0.00547764	 0.0765938 0.00570105	 0.036338 0.00197008	 0.0178429 0.000909285	 0.0138362 0.00537311	 0.0101157 0.00567619	 
20.5	315.883	139.5	0.0326273 0.00757467	 0.0959074 0.010791	 0.0574532 0.00925001	 0.0310031 0.00740409	 0.0160516 0.00654961	 0.0167324 0.00412956	 
21.5	305.818	135	0.0186255 0.00502481	 0.0801325 0.00586005	 0.0395331 0.00516993	 0.0205132 0.00257596	 0.0116799 0.00333642	 0.0126439 0.00807425	 
22.5	299.08	130.5	0.0179941 0.00401809	 0.0818612 0.00699446	 0.0410948 0.00595098	 0.0206232 0.00238965	 0.0107443 0.0020564	 0.012223 0.00726725	 
23.5	282.51	126	0.0168271 0.00246564	 0.0826953 0.00621262	 0.0441812 0.00637223	 0.0280625 0.00668661	 0.0211184 0.00964146	 0.0213202 0.00982646	 
24.5	267.308	122	0.0146868 0.000957219	 0.0784811 0.00161061	 0.0374605 0.000964622	 0.0180729 0.000440475	 0.00984455 0.000907792	 0.00518354 0.00047021	 
25.5	260.207	118	0.0142129 0.000557954	 0.0786019 0.00156148	 0.0347389 0.000798985	 0.0186386 0.000392379	 0.00847695 0.000211543	 0.00472886 0.000111257	 
26.5	248.598	113.5	0.0249223 0.00658922	 0.0889698 0.00691052	 0.0455704 0.0063568	 0.0228163 0.00346773	 0.0119725 0.00206025	 0.0127334 0.00446824	 
27.5	240.146	109.5	0.0144711 0.000594743	 0.0808365 0.00153572	 0.0374344 0.000900526	 0.0175709 0.000396891	 0.00912445 0.000232332	 0.00462815 0.000134494	 
28.5	228.022	106	0.0149684 0.000592483	 0.0813957 0.00151861	 0.0365556 0.000876223	 0.017932 0.000412927	 0.00884083 0.00021104	 0.00465066 0.000119841	 
29.5	227.769	102	0.0203901 0.00282912	 0.0907244 0.00690498	 0.043369 0.00536575	 0.0203042 0.00184104	 0.0108719 0.00132744	 0.012065 0.00718226	 
30.5	211.104	98	0.0156511 0.000570011	 0.0850323 0.00161451	 0.0363982 0.000909669	 0.0177353 0.000429255	 0.00913043 0.000222866	 0.00468447 0.000121126	 
31.5	200.401	94.5	0.0166849 0.00089952	 0.084683 0.00161456	 0.0389299 0.000839013	 0.0182488 0.000400945	 0.00933405 0.000346239	 0.00695101 0.00205416	 
32.5	192.436	91	0.0156424 0.000611915	 0.0853633 0.0016167	 0.0369025 0.00090286	 0.0185939 0.000416581	 0.00887935 0.000228935	 0.00479358 0.00011773	 
33.5	187.946	87.5	0.0284174 0.00673635	 0.103617 0.0104129	 0.0533843 0.00881171	 0.0253998 0.00392413	 0.011662 0.00195631	 0.0178502 0.00532203	 
34.5	185.949	84.5	0.017726 0.00114848	 0.0886421 0.00181048	 0.0358461 0.000887956	 0.0184375 0.00048295	 0.00872152 0.00028727	 0.00510886 0.000451603	 
35.5	167.886	81.5	0.0170546 0.00075804	 0.0866248 0.00166711	 0.0358622 0.000840309	 0.0178778 0.000416438	 0.0085314 0.000219594	 0.00464741 0.000116951	 
36.5	158.093	78.5	0.0461137 0.0179615	 0.108315 0.00872262	 0.0517173 0.00747219	 0.0233354 0.00288811	 0.0123077 0.00209699	 0.01837 0.00564198	 
37.5	153.233	75.5	0.01772 0.000892209	 0.0873296 0.00175702	 0.0365416 0.000786999	 0.0176603 0.000414981	 0.00879748 0.000223311	 0.00445201 0.000131098	 
38.5	147.879	72.5	0.0184343 0.000698003	 0.0892087 0.00183486	 0.0347415 0.000798125	 0.0173158 0.000412976	 0.00849331 0.000221332	 0.00449228 0.000131356	 
39.5	138.583	69.5	0.0206524 0.0022231	 0.0957028 0.00704714	 0.0427398 0.00684253	 0.0198105 0.00279722	 0.0104656 0.00124171	 0.0114429 0.00702288	 
40.5	132.081	66.5	0.0207969 0.00287831	 0.0995604 0.00686825	 0.0422537 0.00731506	 0.0212621 0.00309251	 0.00975631 0.00128782	 0.0107104 0.00635091	 
