Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
69.5	24.5199	14.5	0.438186 0.213603	-0.719292 0.069225	-0.974851 0.041364	
70.5	22.489	13.5	0.649135 0.0519628	-0.764917 0.0628927	-0.852541 0.0453173	
71.5	20.8155	13	0.584759 0.0805016	-0.826045 0.0589137	-0.906659 0.0386824	
72.5	19.036	12.5	-0.19618 1.14394	-0.766619 0.0989542	-0.963747 0.0535894	
73.5	17.9211	11.5	-0.530712 0.133525	-0.839672 0.0626479	-1.07734 0.0478254	
74.5	16.616	10.5	0.549744 0.217038	-0.618243 0.261511	-0.902474 0.0966713	
75.5	14.9758	10	0.590474 0.205342	0.469854 0.508931	-0.941938 0.104496	
76.5	14.3061	9.5	-0.88559 0.120069	-0.899013 0.115362	-1.22073 0.14235	
77.5	12.608	8.5	0.230222 1.25911	-0.494151 0.458416	-0.958406 0.103916	
78.5	11.9651	8	-1.0815 0.0909237	-0.991869 0.112216	-1.37982 0.12713	
79.5	10.6179	7.5	-1.14323 0.0970495	-0.919486 0.146129	-1.37506 0.110541	
80.5	9.52395	7	-1.03301 0.104955	-1.08633 0.165235	-1.37473 0.099334	
81.5	8.80245	6.5	-0.928554 0.0896363	-1.04038 0.0862301	-1.31251 0.0895937	
82.5	7.9211	6	-1.23279 0.102687	-1.08178 0.111109	-1.4345 0.127396	
83.5	7.13899	5.5	-1.25148 0.100883	-1.20532 0.229658	-1.41502 0.112035	
84.5	6.44976	5	-1.26603 0.104071	-1.17522 0.0985876	-1.5846 0.219021	
85.5	5.75018	4.5	-1.28861 0.108315	-1.41958 0.160962	-1.4232 0.10959	
86.5	5.17809	4	-1.42045 0.118755	-1.65118 0.343712	-1.52256 0.139636	
87.5	4.52677	4	-1.28443 0.105507	-1.11406 0.102037	-1.5456 0.133227	
88.5	4.06829	4	-1.31025 0.13134	-1.49533 0.132123	-1.63681 0.147688	
89.5	3.47012	3.5	-1.4069 0.128978	-1.52047 0.121025	-1.55509 0.14585	
90.5	nan	3	nan nan	nan nan	nan nan	
91.5	nan	3	nan nan	nan nan	nan nan	
92.5	nan	2.5	nan nan	nan nan	nan nan	
93.5	nan	2	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	
96.5	nan	2	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	
98.5	nan	2	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	
