Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	586.545	226.5	-3.99162e-05 1.01403e-05	-0.00050783 0.000122916	-6.95697e-05 2.92496e-05	-1.25723e-05 8.16654e-06	-1.11836e-05 3.95536e-06	-7.8922e-06 2.79446e-06	
15	399.088	168.5	-0.000165185 0.000131012	-0.000358751 0.000126693	-7.32537e-05 3.2384e-05	-8.41408e-06 6.06118e-06	-1.48906e-06 8.04641e-07	-3.38003e-06 1.25169e-06	
25	267.446	121	-1.61855e-05 6.4059e-06	-0.000383489 0.000127352	-8.99887e-05 3.15704e-05	-1.34155e-05 7.5974e-06	-5.16273e-06 3.60587e-06	-7.06925e-06 3.62921e-06	
35	174.137	84	-8.60303e-05 7.68467e-05	-0.000352678 0.000140127	-6.6899e-05 2.5919e-05	-2.54135e-06 1.18576e-06	-1.96822e-07 1.0601e-07	-3.26766e-06 1.35019e-06	
45	106.507	55.5	-5.18437e-06 2.13018e-06	-0.000296273 0.000142485	-0.000103487 4.93886e-05	-2.27997e-05 1.32072e-05	-4.34728e-06 2.46583e-06	-2.53864e-06 1.27149e-06	
55	62.3076	34.5	-3.53428e-07 3.27713e-08	2.40955e-05 1.4155e-06	5.67016e-08 1.69697e-08	-2.22948e-08 2.86555e-09	-3.59011e-10 9.74971e-11	-1.46341e-10 1.61005e-11	
65	33.9503	20	-2.2784e-06 2.09577e-06	1.16795e-05 1.04918e-06	-1.16015e-06 8.72536e-07	-2.23089e-08 1.80632e-09	-7.7437e-10 4.08531e-10	-1.9392e-06 1.93908e-06	
75	18.9412	10.5	-6.4272e-08 6.70939e-09	-6.29125e-07 7.37014e-07	-2.75352e-08 3.88075e-09	-1.61093e-08 1.2956e-09	-1.29598e-10 1.22459e-11	-3.50892e-11 4.29331e-12	
85	6.46733	5	-1.93582e-08 3.1353e-09	-4.10345e-06 4.77568e-07	-4.99545e-09 1.14251e-09	-1.93958e-09 4.61079e-10	-8.16983e-12 1.91044e-12	-1.32773e-12 2.85683e-13	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
