Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	586.545	226.5	0.235778 1.02364e-06	0.232065 1.20065e-05	0.0675146 0.000578466	0.170967 7.76297e-06	0.171451 0.00134061	-0.00941812 0.0131018	
15	399.088	168.5	0.221793 7.57855e-06	0.210229 2.99428e-05	0.0969824 0.0001465	0.147608 2.08183e-05	0.152235 1.87744e-05	-0.0540361 0.000732632	
25	267.446	121	0.208581 7.24875e-06	0.191941 0.00023357	0.0891052 0.00139902	0.129346 1.81186e-05	0.13763 6.38155e-05	-0.0652433 0.000749004	
35	174.137	84	0.195082 5.91695e-06	0.17015 5.87831e-05	0.0952 0.0003739	0.106143 1.12636e-05	0.117104 2.4671e-05	-0.0653919 3.59619e-05	
45	106.507	55.5	0.178113 8.4063e-06	0.150712 5.05173e-05	0.0800245 8.69547e-05	0.081525 6.72266e-08	0.0944456 7.01009e-06	-0.0586161 5.93523e-05	
55	62.3076	34.5	0.152979 7.39272e-06	0.130178 4.42467e-05	0.0555343 0.000159893	0.0571829 8.01739e-06	0.0739632 0.000364619	-0.0659312 0.00085372	
65	33.9503	20	0.11667 4.16777e-06	0.12564 3.24092e-05	-0.018792 7.6507e-05	0.0343551 8.18594e-07	0.0534552 2.99056e-06	-0.0681879 1.57978e-05	
75	18.9412	10.5	0.0855371 1.74449e-05	0.131548 0.000681909	-0.0928242 0.00120356	0.0202653 2.23565e-05	0.040042 0.000149267	-0.0630812 0.000310976	
85	6.46733	5	0.0448087 0.0002254	0.104721 0.00142935	-0.113002 0.00196659	0.00601432 7.86257e-05	0.0183578 0.000220063	-0.0340775 0.000348834	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
