Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	652.106	241.5	0.0200855 0.00288797	 0.0492428 0.00437376	 0.0318222 0.00200004	 0.018429 0.00192558	 0.0161839 0.00266314	 0.0138883 0.00262222	 
7.5	526.005	210	0.0254645 0.00322546	 0.0646007 0.00443364	 0.0395913 0.00292509	 0.0212585 0.00215916	 0.0159503 0.00215651	 0.0146706 0.00196529	 
12.5	438.259	181	0.0206754 0.00408928	 0.0626373 0.00300542	 0.0372197 0.00269555	 0.0201179 0.00210962	 0.0100605 0.00129024	 0.00773993 0.00206461	 
17.5	359.198	154.5	0.0273154 0.0080499	 0.0757369 0.00332715	 0.0402243 0.0024597	 0.0196019 0.00117118	 0.0114417 0.00138283	 0.0122932 0.00216922	 
22.5	294.606	131	0.021377 0.00260104	 0.0842327 0.00329105	 0.0447148 0.00302739	 0.0242206 0.0023674	 0.0144234 0.00263478	 0.0145634 0.00282727	 
27.5	241.116	110	0.0183585 0.00187318	 0.0842387 0.0021047	 0.0397987 0.00183458	 0.0195776 0.000895234	 0.00996674 0.00056992	 0.00865609 0.00194192	 
32.5	195.818	91.5	0.019451 0.00191399	 0.0897386 0.00247989	 0.0409292 0.0022878	 0.0199163 0.000993921	 0.00962328 0.000470708	 0.00941654 0.00201687	 
37.5	153.354	75.5	0.0265322 0.00577202	 0.0937795 0.00248757	 0.0408008 0.00228126	 0.0193295 0.00087249	 0.00982576 0.000565705	 0.0102928 0.00224663	 
42.5	119.455	61.5	0.0213419 0.00140549	 0.0989064 0.00262961	 0.0421428 0.00313717	 0.0231801 0.00256872	 0.0130991 0.00224779	 0.011356 0.00223499	 
47.5	93.1146	49	0.020335 0.00100449	 0.0946027 0.00164677	 0.0350032 0.00270249	 0.0200069 0.00250597	 0.0098565 0.00180669	 0.00517861 0.000616701	 
52.5	71.0812	38.5	0.0199889 0.000386045	 0.0931565 0.000828674	 0.030618 0.00031233	 0.0171095 0.000211188	 0.00751692 8.72699e-05	 0.00405565 5.54456e-05	 
57.5	53.4575	30	0.0208089 0.000395214	 0.0906464 0.00081248	 0.0269495 0.00028496	 0.0162109 0.00020336	 0.00678926 7.84634e-05	 0.00384294 5.41612e-05	 
62.5	39.361	23	0.0188458 0.00034489	 0.0861284 0.000787272	 0.0239338 0.00063455	 0.0152567 0.000196019	 0.00596008 8.94478e-05	 0.00339957 5.39078e-05	 
67.5	28.2907	17	0.0181828 0.00134084	 0.0793673 0.000776086	 0.0194972 0.000513858	 0.0137223 0.00019065	 0.00492636 6.48283e-05	 0.00725439 0.00433112	 
72.5	19.9516	12	0.0146296 0.000273142	 0.0702541 0.000822029	 0.0158265 0.000226319	 0.0116876 0.000190713	 0.00390499 5.70506e-05	 0.00225937 4.17306e-05	 
77.5	12.92	8.5	0.0130724 0.000647626	 0.0558858 0.00203015	 0.0114525 0.000405345	 0.00840798 0.000418852	 0.00282642 0.000146505	 0.00152827 9.2146e-05	 
82.5	8.0906	6	0.0102259 0.000483169	 0.0421051 0.00184753	 0.00762868 0.000357517	 0.00516933 0.000326318	 0.00145697 7.47874e-05	 0.00101196 4.44662e-05	 
87.5	4.66251	4	0.0076184 0.000507525	 0.0280327 0.00170081	 0.0039593 0.000293993	 0.00239798 0.000192211	 0.000636079 6.0717e-05	 0.000578621 3.78099e-05	 
92.5	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
97.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
