Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	735.318	253	1.49696 0.139035
1.5	669.837	245.5	1.55781 0.216332
2.5	648.008	240	1.51669 0.239464
3.5	611.962	234	1.72866 0.216655
4.5	592.199	228	1.46271 0.220746
5.5	564.911	222	1.63979 0.110994
6.5	543.253	216	1.5631 0.212239
7.5	525.729	209.5	1.58661 0.0849545
8.5	510.319	203	1.63636 0.100354
9.5	487.59	197.5	1.7597 0.118007
10.5	469.94	192	1.64652 0.0823395
11.5	453.805	186	1.67202 0.0597415
12.5	439.232	180.5	1.77849 0.0596728
13.5	424.372	175	1.83394 0.0606884
14.5	402.216	169.5	1.58541 0.160467
15.5	389.008	164	1.7428 0.124956
16.5	373.507	158.5	1.91711 0.0695117
17.5	354.901	153.5	1.82939 0.0909624
18.5	344.291	149	1.93878 0.0668589
19.5	331.943	144.5	2.10782 0.0829755
20.5	315.883	139.5	1.66931 0.111498
21.5	305.818	135	2.02697 0.146311
22.5	299.08	130.5	1.99201 0.148459
23.5	282.51	126	1.87173 0.166418
24.5	267.308	122	2.09504 0.0724091
25.5	260.207	118	2.26265 0.0716718
26.5	248.598	113.5	1.95236 0.14605
27.5	240.146	109.5	2.15942 0.0707337
28.5	228.022	106	2.22663 0.0743912
29.5	227.769	102	2.09192 0.138932
30.5	211.104	98	2.33617 0.0789483
31.5	200.401	94.5	2.17527 0.0670266
32.5	192.436	91	2.31321 0.076536
33.5	187.946	87.5	1.94096 0.14611
34.5	185.949	84.5	2.47285 0.0877498
35.5	167.886	81.5	2.41549 0.080248
36.5	158.093	78.5	2.09437 0.155991
37.5	153.233	75.5	2.38987 0.0779374
38.5	147.879	72.5	2.56779 0.0887598
39.5	138.583	69.5	2.2392 0.240229
40.5	132.081	66.5	2.35625 0.306197
41.5	125.733	63.5	2.55684 0.0860954
42.5	119.31	61	2.71211 0.09336
43.5	113.363	58.5	2.25794 0.259835
44.5	108.133	56	2.11288 0.342998
45.5	105.106	53.5	2.89344 0.102245
46.5	97.1137	51	2.8506 0.0980114
47.5	92.7466	49	2.24725 0.643899
48.5	88.7154	47	2.90748 0.104879
49.5	83.0652	44.5	2.87871 0.0903286
50.5	79.2623	42	2.92264 0.103725
51.5	74.6962	40	3.08841 0.111429
52.5	71.0935	38.5	3.01432 0.101501
53.5	66.9867	37	3.11354 0.101386
54.5	63.7864	35	3.07401 0.105033
55.5	60.0902	33	3.19678 0.110769
56.5	56.6698	31.5	3.24063 0.112854
57.5	53.0701	30	3.39958 0.120562
58.5	50.4296	28	3.35394 0.116562
59.5	47.4052	26.5	3.66245 0.128053
60.5	44.7447	25.5	3.21328 0.335155
61.5	41.5496	24	3.62852 0.129229
62.5	39.7283	22.5	3.51564 0.128339
63.5	36.4966	21.5	3.91912 0.141804
64.5	34.2525	20.5	3.89875 0.143297
65.5	32.2388	19	3.68906 0.341545
66.5	30.4804	17.5	4.06455 0.13997
67.5	27.7222	16.5	4.40527 0.152948
68.5	26.01	15.5	4.15497 0.16017
69.5	24.5199	14.5	4.27473 0.165872
70.5	22.489	13.5	4.45583 0.168183
71.5	20.8155	13	4.59563 0.172045
72.5	19.036	12.5	4.36052 0.166392
73.5	17.9211	11.5	4.30352 0.167091
74.5	16.616	10.5	4.39464 0.336667
75.5	14.9758	10	5.2541 0.370381
76.5	14.3061	9.5	4.40647 0.40183
77.5	12.608	8.5	5.12298 0.411721
78.5	11.9651	8	4.40009 0.532738
79.5	10.6179	7.5	4.92847 0.624952
80.5	9.52395	7	4.98429 0.540137
81.5	8.80245	6.5	5.46484 0.497625
82.5	7.9211	6	5.20755 0.479222
83.5	7.13899	5.5	6.75967 1.03906
84.5	6.44976	5	6.4556 0.815393
85.5	5.75018	4.5	5.3829 0.933272
86.5	5.17809	4	6.96744 1.66751
87.5	4.52677	4	8.47382 1.11231
88.5	4.06829	4	7.90431 1.37649
89.5	3.47012	3.5	8.83453 1.70705
90.5	nan	3	nan nan
91.5	nan	3	nan nan
92.5	nan	2.5	nan nan
93.5	nan	2	nan nan
94.5	nan	2	nan nan
95.5	nan	2	nan nan
96.5	nan	2	nan nan
97.5	nan	2	nan nan
98.5	nan	2	nan nan
99.5	nan	0	nan nan
