Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	652.106	241.5	-2.76139 0.0926424	-2.3124 0.319002	-2.95413 1.14056	
7.5	526.005	210	-2.47937 0.053097	-2.56553 0.245184	-2.97775 0.978645	
12.5	438.259	181	-2.02726 0.273209	-2.49735 0.465867	-2.98016 1.13105	
17.5	359.198	154.5	-1.92945 0.154393	-2.2883 0.233898	-2.25597 0.477876	
22.5	294.606	131	-1.82904 0.123775	-2.43501 0.137273	-2.91357 0.352786	
27.5	241.116	110	-1.42748 0.249267	-2.00831 0.34426	-1.99765 0.533934	
32.5	195.818	91.5	-1.50045 0.237943	-2.19912 0.281855	-2.07142 0.472134	
37.5	153.354	75.5	-1.48401 0.179746	-2.22658 0.197547	-1.99247 0.209252	
42.5	119.455	61.5	-1.48855 0.179831	-2.57745 0.236229	-3.12404 0.516178	
47.5	93.1146	49	-1.09716 0.32327	-2.57732 2.06812	-3.25201 2.57277	
52.5	71.0812	38.5	0.764079 0.012429	0.604234 0.0349757	-0.719992 0.0333402	
57.5	53.4575	30	0.761662 0.0118735	0.526468 0.0554875	-0.739516 0.0332502	
62.5	39.361	23	0.731489 0.0167626	-1.48654 1.02136	-0.799975 0.0256505	
67.5	28.2907	17	0.684223 0.0195783	-1.4617 0.799299	-0.87106 0.0206538	
72.5	19.9516	12	0.459735 0.0877356	-0.808004 0.0314672	-0.962132 0.0205069	
77.5	12.92	8.5	-0.856 0.0548855	-0.822746 0.0566358	-1.17057 0.0461694	
82.5	8.0906	6	-1.12161 0.0434208	-1.17953 0.0716878	-1.43995 0.0543838	
87.5	4.66251	4	-1.35955 0.0507263	-1.53287 0.102549	-1.60544 0.0637934	
92.5	nan	2.5	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	
