Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	652.106	241.5	0.0440389 0.0184226	0.661643 0.0641477	0.811893 0.0457469	
7.5	526.005	210	0.0664046 0.0133308	0.680204 0.0494753	0.708895 0.0606458	
12.5	438.259	181	0.0644871 0.0194793	0.874291 0.0454846	0.814622 0.0612231	
17.5	359.198	154.5	0.115552 0.0604257	0.849942 0.0414718	0.786301 0.0542784	
22.5	294.606	131	0.136281 0.0220281	0.838761 0.0390538	0.737449 0.0460763	
27.5	241.116	110	0.198885 0.0248908	0.915994 0.0254347	0.826967 0.0343074	
32.5	195.818	91.5	0.216391 0.0253429	0.917958 0.0246174	0.815797 0.0401815	
37.5	153.354	75.5	0.136973 0.0561254	0.899264 0.0250524	0.758865 0.0454359	
42.5	119.455	61.5	0.193695 0.0193099	0.898016 0.0240824	0.713375 0.0549968	
47.5	93.1146	49	0.230667 0.0219951	0.928663 0.0147778	0.759943 0.069912	
52.5	71.0812	38.5	0.251242 0.0199306	0.931886 0.0033238	0.797698 0.00832523	
57.5	53.4575	30	0.240195 0.0197559	0.90244 0.004388	0.733469 0.0102139	
62.5	39.361	23	0.181879 0.0212528	0.859055 0.00642801	0.660837 0.0162868	
67.5	28.2907	17	0.0340878 0.0223143	0.814101 0.00757513	0.579599 0.0202993	
72.5	19.9516	12	0.180237 0.021669	0.743777 0.0101162	0.529549 0.016919	
77.5	12.92	8.5	0.367466 0.0435652	0.696798 0.0277709	0.427685 0.0487378	
82.5	8.0906	6	0.399825 0.0385967	0.594202 0.0302016	0.295375 0.0497388	
87.5	4.66251	4	0.391184 0.0421685	0.55492 0.0387856	0.302584 0.0533403	
92.5	nan	2.5	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	
