Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	1435.67	408.5	0.179302 0.000220443	0.175834 0.00263302	0.236763 0.270865	0.117529 0.000684078	0.116489 0.00177583	0.0761218 0.054541	
1.5	1373.71	396	0.182511 0.00053585	0.178357 0.00470455	0.254477 0.332357	0.133963 6.42611e-05	0.129668 0.000217602	0.276256 0.00926445	
2.5	1322.91	386	0.178289 0.000709004	0.173802 0.00695662	0.240143 0.376541	0.123846 0.000812543	0.118058 0.0022246	0.316889 0.0589177	
3.5	1266.53	375.5	0.184981 0.000568588	0.185781 0.0421371	-0.0305695 1.02124	0.119071 0.000374052	0.137129 0.0151532	-0.911058 0.512845	
4.5	1203.59	364.5	0.183898 0.000120609	0.190085 0.000216117	-0.190099 0.00177716	0.130499 0.000349926	0.128017 0.000552249	0.121436 0.0108857	
5.5	1165.54	354	0.188733 0.000136292	0.193526 0.0105856	-0.118801 0.263348	0.121676 0.000727494	0.120227 0.000739843	0.0676411 0.115183	
6.5	1123.71	344	0.180338 0.000415379	0.185041 0.0320882	-0.115481 0.519298	0.116086 0.000314829	0.130061 0.000764183	-0.694428 0.0175982	
7.5	1078.29	334	0.185788 6.30534e-05	0.196644 2.10248e-05	-0.238527 0.0105349	0.128919 0.000917865	0.117623 0.0612667	0.398933 1.13393	
8.5	1033.19	324	0.1888 0.000167878	0.20034 0.00412228	-0.231256 0.109956	0.122457 0.000408427	0.119486 0.00138902	0.118323 0.0972444	
9.5	990.36	314	0.185745 0.000141247	0.187942 0.0361792	-0.033932 0.372152	0.1251 0.000685262	0.117289 0.00260132	0.30997 0.112397	
10.5	960.497	304.5	0.184874 0.000273198	0.188296 0.000180336	-0.0507098 0.0217317	0.113822 0.000360995	0.106374 0.00375721	0.240973 0.141072	
11.5	919.822	295.5	0.181 0.000375145	0.188222 2.18538e-05	-0.101815 0.024137	0.122946 7.51601e-05	0.119562 0.000201134	0.119461 0.00568893	
