Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	1321.85	387.5	0.460501 0.171541	0.568245 0.0992455	0.628986 0.0602744	
7.5	1075.13	334	0.82575 0.0180692	0.567186 0.102942	0.5426 0.124018	
12.5	887.517	287	0.899586 0.00720885	0.516757 0.128488	0.719673 0.0348839	
17.5	730.07	245	0.894757 0.00865988	0.630287 0.0640853	0.653173 0.054677	
22.5	599.441	207.5	0.904263 0.0070474	-0.456341 0.265996	0.702128 0.0366622	
27.5	492.356	175	0.902666 0.00781218	0.339568 0.437752	0.559851 0.0922568	
32.5	361.989	146.5	0.863654 0.017186	-0.663079 0.259896	0.478347 0.194588	
37.5	353.286	121	0.868222 0.0119836	0.592397 0.0851312	0.457793 0.189687	
42.5	219.625	99	0.859762 0.0149045	0.471305 0.183562	0.51778 0.159999	
47.5	223.175	80	0.846876 0.0155534	0.611002 0.0851951	0.539455 0.130647	
52.5	132.592	63	0.784264 0.0278848	-0.673755 0.191957	0.526682 0.138461	
57.5	131.561	48.5	0.753324 0.0365981	-0.436803 0.324009	0.527779 0.130581	
62.5	nan	37	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	
