Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	1197.36	362.5	2.10092e-06 2.01253e-05	8.80114e-08 3.08794e-08	4.18153e-09 3.33621e-09	5.55166e-10 6.33379e-10	-4.84659e-11 5.7299e-11	-4.02255e-11 2.69822e-11	
15	804.728	267	-0.391863 0.39091	3.92639e-06 2.17069e-07	1.12399e-08 4.93294e-09	4.79779e-09 1.14287e-09	-3.51955e-11 1.38943e-10	-4.94697e-11 2.6321e-11	
25	545.904	192.5	-1.08949 1.0563	1.05439e-05 5.36466e-07	-1.25992e-09 9.27728e-09	7.96272e-09 2.72249e-09	-5.29937e-10 4.3593e-10	-3.10253e-11 4.19095e-11	
35	357.599	134.5	-43.6505 42.0151	1.56844e-05 1.07583e-06	-9.44474e-09 2.43806e-08	5.93957e-09 6.90231e-09	5.59744e-10 5.54195e-10	-1.78806e-10 1.44005e-10	
45	221.269	90	-71.7646 69.5665	2.04342e-05 1.66058e-06	2.27415e-08 1.2507e-08	1.27616e-08 1.55441e-08	2.03258e-09 9.43304e-10	-3.29287e-10 2.01883e-10	
55	131.818	56.5	-3.47886e+10 3.47879e+10	1.53447e-05 2.37555e-06	-4.24279e-08 4.57104e-08	3.11071e-08 2.16068e-08	-3.12447e-09 4.87524e-09	-5.94527e-10 2.86119e-10	
65	nan	32.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
