Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	1197.36	362.5	0.598179 0.0492598	0.536194 0.100446	0.495632 0.128211	
15	804.728	267	0.888658 0.00695722	0.5829 0.0626024	0.668181 0.0377306	
25	545.904	192.5	0.901489 0.00571339	-0.308033 0.50051	0.614835 0.0505632	
35	357.599	134.5	0.866818 0.0102945	-0.478926 0.157188	0.477997 0.132166	
45	221.269	90	0.850165 0.0112565	0.568652 0.0757692	0.48738 0.137963	
55	131.818	56.5	0.759681 0.0242149	-0.626606 0.501567	0.538949 0.0897435	
65	nan	32.5	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	
