Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	1321.85	387.5	0.00114087 0.0326412	0.929046 0.00506327	0.858938 0.00913525	
7.5	1075.13	334	0.0290603 0.0322103	0.967271 0.00210131	0.878794 0.00782732	
12.5	887.517	287	0.00284944 0.0310874	0.976875 0.00159025	0.895392 0.00694699	
17.5	730.07	245	0.00710091 0.0323135	0.978296 0.00181206	0.880572 0.0078069	
22.5	599.441	207.5	0.0686342 0.0248753	0.979199 0.001537	0.87457 0.00885053	
27.5	492.356	175	0.00769893 0.0694234	0.974973 0.00182095	0.888243 0.00760815	
32.5	361.989	146.5	0.00990009 0.0401996	0.965175 0.00333089	0.843616 0.0125094	
37.5	353.286	121	0.043576 0.0240462	0.966626 0.00311442	0.865529 0.00902187	
42.5	219.625	99	0.00883898 0.0277106	0.944073 0.006831	0.784269 0.0202338	
47.5	223.175	80	0.0536949 0.0521216	0.940794 0.00684686	0.80029 0.0186562	
52.5	132.592	63	9.18847e-05 0.0238158	0.0686251 0.0286686	0.0017988 0.0389313	
57.5	131.561	48.5	inf nan	inf nan	0.000532075 0.0379893	
62.5	nan	37	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	
