Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	1435.67	408.5	0.0907337 0.00464538	 0.0165345 0.000830799	 0.011328 0.000500218	 0.00752293 0.000372963	 0.00375753 0.000168143	 0.00225092 0.000110034	 
1.5	1373.71	396	0.0899749 0.00348276	 0.0187986 0.000832474	 0.0137125 0.000598164	 0.00835397 0.000388248	 0.0043365 0.000165981	 0.00241251 0.000112305	 
2.5	1322.91	386	0.104379 0.00424095	 0.0197081 0.000876334	 0.0140657 0.000662175	 0.00925468 0.000385851	 0.00467513 0.000223526	 0.00251682 0.000135068	 
3.5	1266.53	375.5	0.0983346 0.00477707	 0.0238329 0.00102068	 0.0135385 0.000517693	 0.00949593 0.000394848	 0.0049883 0.000243475	 0.00259995 0.000114999	 
4.5	1203.59	364.5	0.104538 0.00452489	 0.0260712 0.00110296	 0.0153094 0.000779009	 0.00937546 0.000415316	 0.00503562 0.000233257	 0.00256441 0.000140273	 
5.5	1165.54	354	0.108907 0.00484754	 0.0298188 0.00135743	 0.0151894 0.000717816	 0.0101613 0.000479305	 0.00560153 0.000333335	 0.00273399 0.000168879	 
6.5	1123.71	344	0.09818 0.00451769	 0.0304039 0.00126968	 0.0147233 0.000555155	 0.0103871 0.000595573	 0.00551263 0.000307883	 0.00285574 0.000187731	 
7.5	1078.29	334	0.103334 0.00433342	 0.0341324 0.00109767	 0.0176715 0.000862546	 0.0101794 0.000451502	 0.00595072 0.000262351	 0.00286602 0.000163113	 
8.5	1033.19	324	0.110729 0.00765425	 0.0369825 0.00107397	 0.016259 0.000786783	 0.0108182 0.00047385	 0.00598154 0.000246066	 0.00340758 0.00026459	 
9.5	990.36	314	0.125541 0.00581637	 0.0414774 0.00133616	 0.0169459 0.000797397	 0.0117067 0.000569565	 0.00592599 0.000318926	 0.00340126 0.000180458	 
10.5	960.497	304.5	0.152619 0.00632778	 0.0429185 0.00129885	 0.0158833 0.000806414	 0.0108534 0.000420038	 0.00575724 0.000256231	 0.00329694 0.000129208	 
