Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	1321.85	387.5	1.55439 0.0455535
7.5	1075.13	334	2.15438 0.0580626
12.5	887.517	287	2.70121 0.0696009
17.5	730.07	245	2.97029 0.0764758
22.5	599.441	207.5	3.20025 0.0836581
27.5	492.356	175	3.28568 0.0893251
32.5	361.989	146.5	3.43991 0.110343
37.5	353.286	121	3.6039 0.107562
42.5	219.625	99	3.83391 0.126335
47.5	223.175	80	3.52393 0.114246
52.5	132.592	63	3.53675 0.142003
57.5	131.561	48.5	3.72002 0.1364
62.5	nan	37	nan nan
67.5	nan	27.5	nan nan
72.5	nan	19.5	nan nan
77.5	nan	13	nan nan
82.5	nan	8	nan nan
87.5	nan	5	nan nan
92.5	nan	3	nan nan
97.5	nan	1.5	nan nan
