Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	1197.36	362.5	0.184892 5.28719e-05	0.188826 3.88895e-05	-0.0922973 0.00505316	0.123885 8.49136e-05	0.123949 0.000338525	-0.00296913 0.0153916	
15	804.728	267	0.17916 2.66573e-05	0.180446 6.54721e-05	-0.0129686 0.000489423	0.117517 8.41922e-06	0.117354 2.00915e-05	0.00466548 7.42299e-05	
25	545.904	192.5	0.167816 1.3863e-05	0.157376 8.71685e-05	0.0632163 0.000626504	0.103596 1.44904e-05	0.102245 4.3727e-05	0.0251159 0.000629924	
35	357.599	134.5	0.16028 4.02492e-05	0.133922 0.00197035	0.112722 0.00788652	0.0897905 6.25209e-06	0.0902505 1.89694e-05	-0.00618751 0.000179366	
45	221.269	90	0.14964 1.79989e-05	0.11941 0.00149774	0.101138 0.00550425	0.072944 0.000126986	0.0776087 0.00126804	-0.0456229 0.0082802	
55	131.818	56.5	0.168616 0	inf nan	-inf nan	1.17629e-102 4.0075e-103	nan nan	nan nan	
65	nan	32.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
