Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	1197.36	362.5	6.50103e-07 4.83908e-07	-2.9027e-12 1.85102e-11	1.22326e-12 4.80012e-13	7.10486e-14 3.95489e-14	1.19036e-15 7.98632e-16	9.08599e-16 8.70043e-16	
15	804.728	267	1.82361 1.82352	7.75994e-09 6.28669e-10	1.93269e-12 9.92101e-13	3.87716e-13 1.18506e-13	3.85456e-15 3.36846e-15	7.98206e-16 2.83037e-16	
25	545.904	192.5	8.07706 8.0457	3.39467e-08 2.5823e-09	2.22032e-12 1.83292e-12	7.6486e-13 4.30623e-13	2.52192e-14 1.7331e-14	3.83943e-16 4.80106e-16	
35	357.599	134.5	1944.22 1938.05	6.31678e-08 6.11849e-09	1.77374e-11 1.59072e-11	8.3173e-13 1.3263e-12	-3.80657e-14 3.83398e-14	7.49703e-15 6.75121e-15	
45	221.269	90	3801.55 3781.83	9.13915e-08 1.10277e-08	4.40229e-12 3.64366e-12	1.98254e-12 4.11609e-12	-3.70844e-14 9.53102e-14	8.20493e-15 6.47692e-15	
55	131.818	56.5	4.10693e+16 4.10684e+16	5.4163e-08 1.35661e-08	2.84085e-11 3.76344e-11	-5.41869e-12 8.62503e-12	1.05772e-12 1.34989e-12	1.49477e-14 1.25719e-14	
65	nan	32.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
