Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	1321.85	387.5	0.18251 3.4684e-05	0.183206 6.03183e-05	-0.0293574 0.00137288	0.125488 7.98255e-05	0.128479 9.94416e-05	-0.167872 0.00374085	
7.5	1075.13	334	0.186102 4.26104e-05	0.191355 0.0137392	-0.103439 0.141724	0.123482 0.000144765	0.119307 0.000468491	0.170145 0.0193356	
12.5	887.517	287	0.182593 5.63164e-05	0.184207 5.66483e-05	-0.0202146 0.00317932	0.118558 1.57666e-05	0.117115 3.69721e-05	0.0430094 0.000196603	
17.5	730.07	245	0.176863 1.72504e-05	0.174343 9.95115e-05	0.0226305 0.000999588	0.11543 7.06466e-05	0.11586 0.000206608	-0.0120713 0.00333017	
22.5	599.441	207.5	0.170744 4.49038e-06	0.164488 0.000161082	0.0424173 0.00302319	0.106363 0.00020857	0.103904 0.00133674	0.0501337 0.0203602	
27.5	492.356	175	0.165469 2.29239e-05	0.144811 0.000142084	0.116236 0.00100361	0.102033 2.37817e-05	0.100084 7.40583e-05	0.0328865 0.000976696	
32.5	361.989	146.5	0.159994 8.33639e-05	0.134642 0.0038064	0.107897 0.0152576	0.0900187 1.26009e-05	0.0860581 3.57919e-05	0.0506123 0.00032138	
37.5	353.286	121	0.160623 5.16858e-05	0.133396 0.00472204	0.117174 0.0178174	0.0897444 5.27754e-05	0.0953992 0.000128513	-0.0803444 0.000782818	
42.5	219.625	99	0.151808 4.15331e-05	0.123001 0.00297211	0.0947736 0.0108988	0.0730206 0.000270616	0.0783943 0.00284167	-0.0539131 0.0185794	
47.5	223.175	80	0.148213 4.82627e-05	0.116859 0.00202172	0.10662 0.00868384	0.0728844 0.000106889	0.0765852 0.000152886	-0.0352928 0.00393856	
52.5	132.592	63	0.167974 0	0.159781 0	0.0442158 0	5.4066e-103 8.27576e-103	nan nan	nan nan	
57.5	131.561	48.5	-inf nan	nan nan	nan nan	1.44352e-103 7.5214e-103	nan nan	nan nan	
62.5	nan	37	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
