Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	1287.31	387.5	0.00503128 0.000110664	 0.0238287 0.000520384	 0.0159723 0.000332295	 0.0103386 0.000210482	 0.00546029 0.000116004	 0.00297392 6.0116e-05	 
7.5	1042.01	334	0.00586122 0.000140032	 0.0404126 0.000659228	 0.0199709 0.000443329	 0.0127617 0.000285407	 0.00689627 0.000148234	 0.00365864 0.000103654	 
12.5	857.153	287	0.00605491 0.000145392	 0.0544697 0.000682428	 0.0216268 0.000471424	 0.014199 0.000279933	 0.00758444 0.000166758	 0.00415783 0.000101485	 
17.5	702.365	245	0.00610898 0.000161415	 0.0646529 0.000816218	 0.0231391 0.000487503	 0.0155526 0.000323555	 0.0083667 0.000175501	 0.00466855 0.000108567	 
22.5	574.769	207.5	0.00672707 0.000225656	 0.0745195 0.000844862	 0.0250316 0.000587666	 0.0177782 0.00034062	 0.0091678 0.000209727	 0.00542532 0.00012487	 
27.5	469.921	175	0.00639621 0.000176135	 0.0840266 0.000935808	 0.0277256 0.000632186	 0.0186432 0.00041134	 0.010479 0.000231118	 0.00570658 0.000129966	 
32.5	341.285	146.5	0.00675177 0.000206341	 0.09452 0.00131252	 0.0298474 0.000776755	 0.0208479 0.00050414	 0.0115037 0.000284098	 0.00676715 0.000197399	 
37.5	336.087	121	0.00664396 0.000197633	 0.0948212 0.00123408	 0.0293774 0.00064557	 0.020424 0.000454585	 0.0116813 0.000260767	 0.00652612 0.00016358	 
42.5	207.441	99	0.00675794 0.000222094	 0.108661 0.00157754	 0.0314164 0.000793189	 0.0242957 0.000657932	 0.0127054 0.000319809	 0.00734257 0.000215363	 
47.5	209.941	80	0.00620574 0.000201913	 0.105267 0.00155966	 0.0332355 0.000780697	 0.0235768 0.000595217	 0.0130835 0.000315232	 0.00777432 0.000246238	 
52.5	124.479	63	0.00666463 0.000285785	 0.114619 0.00218852	 0.0372286 0.00101893	 0.0266144 0.000764824	 0.0137188 0.000408837	 0.00779676 0.00029762	 
57.5	122.824	48.5	0.00665622 0.000240491	 0.111976 0.0018461	 0.0371593 0.000969523	 0.0249146 0.000677596	 0.0139257 0.000367124	 0.00730025 0.000227356	 
62.5	nan	37	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
67.5	nan	27.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
72.5	nan	19.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
77.5	nan	13	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
82.5	nan	8	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
87.5	nan	5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
92.5	nan	3	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
97.5	nan	1.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
