Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	1163.71	362.5	-8.69448e-11 7.03885e-11	1.24618e-07 5.70063e-08	1.61803e-09 7.97945e-09	2.51806e-10 1.34221e-09	5.73883e-11 9.03322e-11	-5.27512e-11 5.98265e-11	
15	774.599	267	-1.98015e-10 9.62105e-11	8.73445e-06 4.38096e-07	2.97613e-08 1.40698e-08	9.67079e-09 2.64369e-09	4.32173e-10 2.41126e-10	-4.35719e-11 3.86761e-11	
25	522.082	192.5	-1.05421e-09 4.29715e-10	2.98472e-05 1.24198e-06	-2.10301e-08 3.00312e-08	1.73651e-08 6.46047e-09	-1.37147e-10 7.04976e-10	-1.87032e-11 6.45328e-11	
35	338.719	134.5	-1.01465e-09 4.76507e-10	5.63468e-05 2.63705e-06	4.88221e-08 6.33613e-08	1.95927e-08 9.44891e-09	1.59496e-09 1.03788e-09	-4.35216e-10 2.64861e-10	
45	208.477	90	-9.34183e-10 2.83844e-10	9.19762e-05 4.78027e-06	1.89323e-07 5.98962e-08	1.16457e-08 2.20894e-08	3.86469e-09 1.441e-09	-1.05667e-09 4.63097e-10	
55	123.767	56.5	-2.00635e-09 5.45334e-10	9.74475e-05 7.2311e-06	7.30265e-08 1.2974e-07	-7.98345e-09 3.0772e-08	-1.62804e-09 2.28435e-09	-1.89128e-09 6.34519e-10	
65	nan	32.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
