Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
2.5	1287.31	387.5	-7.51927e-17 7.72517e-16	1.16329e-11 1.36178e-11	8.43113e-13 7.21627e-13	7.63942e-14 5.16137e-14	1.09026e-15 1.11846e-15	4.99019e-17 2.87954e-17	
7.5	1042.01	334	-5.71417e-16 1.95604e-15	1.50186e-09 2.30971e-10	5.41088e-12 2.8942e-12	2.04244e-13 1.97736e-13	7.62329e-15 4.58128e-15	5.22956e-15 5.08066e-15	
12.5	857.153	287	2.51937e-15 4.28939e-15	1.49183e-08 1.46918e-09	5.57337e-12 4.56645e-12	1.11923e-12 3.69676e-13	1.83673e-14 1.07329e-14	1.19724e-15 8.21045e-16	
17.5	702.365	245	-1.60183e-16 4.19569e-15	4.1926e-08 4.06711e-09	1.22559e-11 6.86382e-12	1.09209e-12 6.13453e-13	2.74476e-14 1.50779e-14	9.87794e-16 9.18125e-16	
22.5	574.769	207.5	1.90063e-13 1.11744e-13	1.07849e-07 9.18029e-09	6.67193e-12 1.31826e-11	3.76406e-12 1.43571e-12	-1.3028e-14 2.69341e-14	-9.96856e-16 1.2738e-15	
27.5	469.921	175	1.13414e-14 1.08035e-14	2.36824e-07 1.86669e-08	-4.95382e-12 2.13566e-11	4.25372e-12 1.86023e-12	1.4188e-13 8.27351e-14	1.52334e-15 1.66106e-15	
32.5	341.285	146.5	7.01998e-15 1.13465e-14	4.19153e-07 4.18962e-08	7.6589e-11 9.55326e-11	1.28557e-12 3.87289e-12	7.82571e-14 1.27648e-13	2.9725e-14 2.97247e-14	
37.5	336.087	121	8.42659e-14 9.24398e-14	4.30261e-07 4.08402e-08	2.28117e-11 2.9666e-11	3.49954e-12 3.48744e-12	-2.69785e-14 1.235e-13	-6.05897e-15 4.42249e-15	
42.5	207.441	99	1.23029e-17 1.41247e-14	9.75751e-07 1.02247e-07	-6.06239e-12 4.92599e-11	-4.9619e-12 1.15621e-11	-1.30054e-13 2.26972e-13	3.09359e-14 3.20168e-14	
47.5	209.941	80	1.50979e-14 1.41906e-14	7.62082e-07 8.91569e-08	1.40666e-10 6.80958e-11	4.99071e-12 9.19436e-12	1.77014e-13 2.61062e-13	1.68819e-14 3.32743e-14	
52.5	124.479	63	7.14808e-14 6.19482e-14	8.85685e-07 1.62524e-07	6.58453e-11 1.5651e-10	1.65008e-12 1.99492e-11	-1.0314e-12 4.10064e-13	1.06039e-13 5.9617e-14	
57.5	122.824	48.5	2.953e-14 2.66696e-14	9.15882e-07 1.32616e-07	-5.84957e-11 1.39211e-10	-1.84193e-11 1.30193e-11	-5.39647e-13 4.05309e-13	1.68255e-14 2.00096e-14	
62.5	nan	37	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
