Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	1287.31	387.5	1.49188 0.0446562
7.5	1042.01	334	2.02358 0.0554527
12.5	857.153	287	2.51862 0.0637163
17.5	702.365	245	2.79409 0.0710326
22.5	574.769	207.5	2.97702 0.0796481
27.5	469.921	175	3.03065 0.0801739
32.5	341.285	146.5	3.16677 0.0952173
37.5	336.087	121	3.22769 0.0894592
42.5	207.441	99	3.45875 0.105352
47.5	209.941	80	3.16731 0.094528
52.5	124.479	63	3.07878 0.115906
57.5	122.824	48.5	3.0134 0.099649
62.5	nan	37	nan nan
67.5	nan	27.5	nan nan
72.5	nan	19.5	nan nan
77.5	nan	13	nan nan
82.5	nan	8	nan nan
87.5	nan	5	nan nan
92.5	nan	3	nan nan
97.5	nan	1.5	nan nan
