Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
38.5	344.174	116	0.215175 0.000228635	0.200464 0.0426488	0.0637083 0.160205	0.141365 0.000162183	0.142552 0.000517439	-0.0188239 0.0103691	
39.5	339.74	111.5	0.216312 1.65328e-05	0.194036 0.0039639	0.0894262 0.0274845	0.139577 0.000298618	0.15502 0.00204702	-0.20356 0.031474	
40.5	208.833	107	0.212349 0.000163359	0.183465 0.0029096	0.0995329 0.0206676	0.126121 0.00035687	0.132908 0.000764758	-0.0743977 0.00127187	
41.5	203.658	103	0.213176 0.000241258	0.189976 0.0285823	0.0814266 0.104591	0.124551 0.000372811	0.124849 0.00171602	-0.00283992 0.0232025	
42.5	205.188	98.5	0.214849 9.90286e-05	0.191322 0.0229664	0.0738192 0.0713198	0.12488 0.000436286	0.126704 0.00600854	-0.0185423 0.0697289	
43.5	208.301	94	0.212782 0.000199804	0.18672 0.0308988	0.0891624 0.113965	0.128365 0.00204613	0.143688 0.0252034	-0.149248 0.168704	
44.5	209.377	90.5	0.216305 0.000915551	0.179166 0.0299564	0.112581 0.0967448	0.132506 0.00260459	0.115993 0.0314676	0.164904 0.223124	
45.5	209.605	87	0.212895 0.000165102	0.185988 0.0267196	0.0935584 0.0894632	0.126911 0.000335546	0.131419 0.000694587	-0.039836 0.000187837	
46.5	208.168	83	0.209775 0.000187937	0.203356 0.00354707	0.0228918 0.0268472	0.130288 1.52568e-05	0.13446 6.99759e-05	-0.035842 0.000481596	
47.5	210.089	79.5	0.210973 3.53907e-06	0.186761 0.0127535	0.0786123 0.0545202	0.120761 0.000315377	0.139836 0.000463076	-0.183144 0.00471678	
48.5	205.462	76	0.214059 0.000172536	0.188099 0.015533	0.0873841 0.0654748	0.135183 0.000212427	0.146027 0.00361593	-0.107193 0.0529669	
49.5	213.919	72.5	0.215322 0.00027117	0.1858 0.0475411	0.0996936 0.137969	0.130994 0.000519312	0.138727 0.00193394	-0.0820609 0.0152526	
50.5	146.93	69	0.20748 0	0.166029 0	0.157049 0	0.106767 0	0.130379 0	-0.201973 0	
51.5	120.281	65.5	-inf nan	nan nan	nan nan	-6.58367e+111 2.38501e+111	nan nan	nan nan	
52.5	117.716	62.5	-inf nan	nan nan	nan nan	1.19866e+111 5.50204e+110	nan nan	nan nan	
53.5	115.469	59.5	-inf nan	nan nan	nan nan	2.31123e+112 2.72218e+111	nan nan	nan nan	
54.5	118.952	56.5	-inf nan	nan nan	nan nan	-6.85179e+111 3.05958e+111	nan nan	nan nan	
55.5	127.248	54	-inf nan	nan nan	nan nan	2.18459e+112 1.20702e+111	nan nan	nan nan	
56.5	120.153	51.5	-inf nan	nan nan	nan nan	1.46579e+111 7.78993e+110	nan nan	nan nan	
57.5	123.306	48.5	-inf nan	nan nan	nan nan	-1.40073e+112 2.09224e+111	nan nan	nan nan	
