Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
34.5	336.328	135.5	0.00621794 0.000458147	 0.0944532 0.00251867	 0.0318089 0.00205353	 0.0219001 0.00121701	 0.0119531 0.000544826	 0.00720514 0.000394763	 
35.5	333.326	130.5	0.00628449 0.000293149	 0.0934645 0.00253445	 0.0294589 0.00124684	 0.0198927 0.000997554	 0.0115119 0.000536363	 0.00611335 0.000357627	 
36.5	333.608	125.5	0.00704162 0.000473226	 0.0961828 0.0026966	 0.027987 0.0016152	 0.0200917 0.00108627	 0.011406 0.000678589	 0.00671116 0.000426789	 
37.5	329.468	120.5	0.0065377 0.000339918	 0.0934087 0.00272698	 0.0305183 0.00156446	 0.0204888 0.000924897	 0.0113102 0.000513064	 0.00677024 0.00036045	 
38.5	344.174	116	0.00647204 0.000383386	 0.0940381 0.00320354	 0.0271912 0.00160439	 0.0198395 0.00117326	 0.0112777 0.000623617	 0.00665876 0.000397668	 
39.5	339.74	111.5	0.0071227 0.000615188	 0.0989093 0.00278262	 0.0304642 0.00120113	 0.0215357 0.000999706	 0.012973 0.000591484	 0.00668633 0.000326333	 
40.5	208.833	107	0.00618169 0.000435655	 0.106855 0.00314338	 0.0317334 0.00140068	 0.0235961 0.00146927	 0.0129013 0.00072794	 0.00776239 0.000554198	 
41.5	203.658	103	0.00686336 0.000420906	 0.103255 0.00404564	 0.0308075 0.00198851	 0.0222564 0.00169771	 0.0125774 0.000774668	 0.00677423 0.000543147	 
42.5	205.188	98.5	0.00641149 0.00044257	 0.110724 0.00333762	 0.0305784 0.00166953	 0.024736 0.00131141	 0.0127009 0.000749685	 0.00648889 0.00038143	 
43.5	208.301	94	0.00675865 0.000457239	 0.108658 0.0029001	 0.0322465 0.00158911	 0.0239587 0.0011741	 0.0126947 0.000609624	 0.0075146 0.000377923	 
44.5	209.377	90.5	0.00755225 0.000737542	 0.113704 0.00460296	 0.0324298 0.00249885	 0.0269604 0.00184533	 0.0132148 0.000846856	 0.00828638 0.00055444	 
45.5	209.605	87	0.00626815 0.000484864	 0.104814 0.00305081	 0.0331702 0.0016998	 0.024065 0.00112378	 0.0125045 0.000669752	 0.00802964 0.00051944	 
46.5	208.168	83	0.00601499 0.000394344	 0.100413 0.00329109	 0.0345597 0.00213253	 0.023288 0.0012152	 0.0130161 0.000748887	 0.00806422 0.000589285	 
47.5	210.089	79.5	0.00623926 0.000441041	 0.106469 0.00379202	 0.032097 0.00156568	 0.0228924 0.00160664	 0.0133317 0.000687218	 0.00806463 0.000638165	 
48.5	205.462	76	0.00561393 0.000318036	 0.104981 0.00373402	 0.0355516 0.00157335	 0.023665 0.001481	 0.0139249 0.000661765	 0.00761912 0.000499088	 
49.5	213.919	72.5	0.00644016 0.00042419	 0.107921 0.00384395	 0.0323791 0.00166116	 0.023412 0.00146233	 0.0130406 0.000744591	 0.00721419 0.000528175	 
50.5	146.93	69	0.00782141 0.000581003	 0.107071 0.00581499	 0.0375273 0.00258282	 0.0260306 0.00205335	 0.0127088 0.000945031	 0.00715554 0.000767256	 
51.5	120.281	65.5	0.00664604 0.000512412	 0.115581 0.00476103	 0.0376341 0.0019337	 0.0274088 0.00160325	 0.0145693 0.000997266	 0.00723817 0.000481195	 
52.5	117.716	62.5	0.00583154 0.00060816	 0.111672 0.00452455	 0.0387838 0.00229662	 0.0268778 0.00169297	 0.0146031 0.00085347	 0.00853015 0.000654663	 
53.5	115.469	59.5	0.00684723 0.00068673	 0.112924 0.00496401	 0.0341889 0.00198858	 0.0257781 0.00180468	 0.0120137 0.000712142	 0.00812804 0.000772239	 
54.5	118.952	56.5	0.0070476 0.000753734	 0.115822 0.00435588	 0.0363715 0.00252434	 0.0256869 0.00182461	 0.0138513 0.000946598	 0.00771743 0.000711789	 
55.5	127.248	54	0.0062747 0.000601333	 0.119315 0.00455615	 0.036481 0.00224431	 0.0276303 0.00189995	 0.0138882 0.000684659	 0.00822971 0.000710322	 
56.5	120.153	51.5	0.00641803 0.000499553	 0.117568 0.00337828	 0.0339643 0.00177874	 0.0268188 0.00126956	 0.0132018 0.000645921	 0.00781978 0.000449321	 
