Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	1287.31	387.5	0.215068 3.36611e-05	0.216315 5.33884e-05	-0.052516 0.00205618	0.153862 6.58478e-05	0.15425 5.17242e-05	-0.0225459 0.0079817	
7.5	1042.01	334	0.219689 1.20423e-05	0.224802 0.0166784	-0.100789 0.174317	0.158987 0.000110207	0.151249 0.000420827	0.315368 0.02076	
12.5	857.153	287	0.219086 5.07909e-05	0.222183 1.45882e-05	-0.0389624 0.00481751	0.156754 2.58508e-06	0.156531 1.76729e-06	0.0067433 0.00128172	
17.5	702.365	245	0.218296 8.34283e-06	0.217083 5.09079e-05	0.0108779 0.000703336	0.157753 2.93049e-05	0.159632 8.02496e-05	-0.0525156 0.000782738	
22.5	574.769	207.5	0.215611 2.47265e-05	0.213392 0.00013684	0.0151186 0.00355472	0.151906 0.000165651	0.14831 0.00183326	0.0735449 0.0301662	
27.5	469.921	175	0.215896 9.20817e-07	0.204657 8.24098e-06	0.0632946 0.000365459	0.150415 1.11603e-05	0.148665 3.43504e-05	0.0295002 0.000576746	
32.5	341.285	146.5	0.214777 3.23274e-06	0.196664 0.00012992	0.0775379 0.00204708	0.140671 5.25773e-05	0.137323 0.000188441	0.042906 0.00577324	
37.5	336.087	121	0.216056 2.90463e-05	0.199394 0.00625535	0.0715225 0.0234762	0.142197 2.05506e-05	0.148562 7.35588e-05	-0.0868488 0.00113466	
42.5	207.441	99	0.213842 4.72968e-05	0.186763 0.00420436	0.089322 0.0154446	0.127417 0.00045352	0.129321 0.00499163	-0.0194028 0.0325389	
47.5	209.941	80	0.212787 0	0.191139 0	0.0734923 0	0.128448 0	0.136353 0	-0.0750921 0	
52.5	124.479	63	0.196185 0	0.10999 0	0.483753 0	0.11397 0	0.20826 0	-0.617187 0	
57.5	122.824	48.5	-inf nan	nan nan	nan nan	1.78541e+111 6.90861e+110	nan nan	nan nan	
62.5	nan	37	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
