Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
28.5	226.855	105	-3.54068e-08 1.35287e-08	1.50065e-05 3.88794e-06	8.09884e-09 2.34211e-07	1.83728e-08 1.46084e-08	3.78438e-10 7.4821e-10	-6.20728e-11 9.42415e-11	
29.5	217.196	101.5	-3.1806e-08 8.56208e-09	1.60223e-05 4.93185e-06	3.77521e-07 1.38443e-07	-4.09148e-09 1.08162e-08	-6.48827e-11 6.27095e-10	7.96237e-11 4.54672e-11	
30.5	209.496	98	-6.91606e-08 2.03211e-08	2.0058e-05 4.59206e-06	2.08238e-07 1.72745e-07	1.21898e-08 8.89703e-09	4.4767e-10 6.90305e-10	4.90149e-11 3.74894e-11	
31.5	198.718	94.5	-9.26518e-08 4.37002e-08	1.58978e-05 3.71806e-06	2.35757e-07 1.77921e-07	7.91177e-09 1.09022e-08	4.50468e-10 7.0146e-10	-7.12715e-11 6.34481e-11	
32.5	190.452	91	-6.8497e-08 2.36198e-08	1.52417e-05 6.48854e-06	2.99377e-07 1.65073e-07	9.04067e-09 9.65906e-09	6.50438e-10 5.52032e-10	-1.33496e-11 3.75111e-11	
33.5	181.607	87.5	-1.25232e-07 5.0291e-08	3.07047e-05 5.55955e-06	1.64331e-07 2.11228e-07	8.08395e-09 1.31388e-08	-1.21332e-09 9.60727e-10	-1.54678e-10 1.57824e-10	
34.5	173.142	84.5	-1.41641e-07 9.35146e-08	2.41026e-05 5.75278e-06	-4.10545e-07 4.20649e-07	1.16949e-08 1.32402e-08	1.74648e-10 6.60784e-10	2.87897e-11 3.97408e-11	
35.5	165.828	81	-4.06331e-08 1.3979e-08	2.23978e-05 4.85693e-06	3.83855e-07 1.55502e-07	-5.00946e-09 1.13832e-08	4.15305e-10 5.65088e-10	-2.76317e-11 9.85939e-11	
36.5	160.154	77.5	-7.42366e-08 2.46918e-08	1.42829e-05 5.48468e-06	5.07151e-07 1.87208e-07	-1.10771e-08 1.3782e-08	-7.54155e-10 1.48776e-09	-5.21028e-11 9.57768e-11	
37.5	152.627	74.5	-1.23933e-07 4.07764e-08	1.79964e-05 6.33684e-06	9.90535e-08 1.7228e-07	-2.18663e-08 1.94693e-08	-7.47864e-10 7.00193e-10	3.31248e-12 1.01207e-10	
38.5	145.308	71.5	-1.75168e-07 5.05294e-08	2.74941e-05 5.34267e-06	2.67745e-07 1.61469e-07	7.84075e-09 1.27764e-08	5.98119e-10 6.19292e-10	-2.34535e-11 8.92815e-11	
39.5	137.376	69	-9.20342e-08 4.81984e-08	3.53988e-05 6.17725e-06	1.84565e-07 1.97336e-07	8.68218e-09 8.72966e-09	4.04559e-10 1.2121e-09	-1.18899e-10 9.49359e-11	
40.5	131.622	66.5	-1.31579e-07 4.26644e-08	3.10134e-05 6.33367e-06	3.40818e-08 1.86404e-07	-7.04143e-09 1.07452e-08	-2.54818e-10 6.95662e-10	-3.16213e-11 4.71367e-11	
41.5	125.982	63.5	-2.6027e-07 1.01365e-07	1.50126e-05 6.17789e-06	3.16125e-07 1.78957e-07	-2.96221e-08 3.88118e-08	-1.97118e-09 1.29949e-09	-4.12797e-10 3.36936e-10	
42.5	118.446	61	-1.39957e-07 3.68259e-08	3.27384e-05 6.28286e-06	4.96166e-07 1.46125e-07	1.56149e-08 1.03879e-08	-1.15848e-09 9.896e-10	-1.01515e-10 8.20243e-11	
43.5	112.753	58.5	-1.03536e-07 5.38039e-08	1.76523e-05 6.48204e-06	1.72116e-08 1.6491e-07	5.203e-09 1.22338e-08	3.59509e-10 3.24579e-10	-1.25693e-10 7.04062e-11	
44.5	108.114	56	-3.01813e-07 1.76767e-07	2.59552e-05 7.94003e-06	3.18118e-07 1.42181e-07	-2.47455e-08 2.20902e-08	-3.06859e-09 1.91473e-09	-3.4735e-10 2.60629e-10	
45.5	102.585	53.5	-1.94673e-07 8.39119e-08	3.30879e-05 7.20422e-06	2.48405e-07 1.10563e-07	-1.36776e-08 1.34105e-08	4.5977e-10 4.55925e-10	-1.29101e-10 1.1222e-10	
46.5	96.941	51	-2.19522e-07 7.83367e-08	3.80032e-05 8.50209e-06	2.5846e-07 1.25219e-07	-9.61978e-09 1.47901e-08	4.77796e-10 6.70596e-10	-3.33683e-10 1.89544e-10	
47.5	91.7766	49	-1.00634e-07 3.99803e-08	3.01069e-05 8.26958e-06	8.09909e-09 1.23581e-07	-5.84411e-09 1.51991e-08	8.2683e-10 4.51173e-10	-6.0786e-11 6.3203e-11	
48.5	87.3457	47	-1.06053e-07 4.51309e-08	2.81289e-05 6.58637e-06	3.23618e-07 1.24593e-07	7.59982e-09 9.63081e-09	8.05907e-10 4.14957e-10	-1.50063e-11 4.34381e-11	
49.5	83.2205	44.5	-1.99704e-07 7.13977e-08	2.53297e-05 6.65205e-06	5.60328e-08 1.49553e-07	8.95545e-10 8.28228e-09	-1.88794e-10 7.10424e-10	-5.80697e-11 3.23836e-11	
50.5	78.3371	42	-1.6093e-07 6.06055e-08	2.78639e-05 7.24668e-06	7.27273e-08 1.65417e-07	-2.50536e-08 2.13333e-08	2.06435e-10 4.61299e-10	-1.86096e-10 6.36157e-11	
51.5	74.9621	40	-3.95269e-07 1.08307e-07	1.39549e-05 1.00396e-05	2.17256e-07 9.69649e-08	-6.80978e-08 4.27507e-08	3.72403e-10 3.69325e-10	-1.8701e-10 1.31152e-10	
52.5	70.651	38.5	-2.58252e-07 8.57285e-08	4.01915e-05 7.75024e-06	-5.56961e-08 9.80793e-08	-1.41343e-08 1.23599e-08	7.94306e-12 3.30404e-10	-1.26872e-10 7.9396e-11	
53.5	65.3287	37	-1.68548e-07 6.06588e-08	3.02599e-05 9.18235e-06	1.40497e-07 9.0496e-08	-2.08084e-08 1.37206e-08	-3.02856e-10 6.17199e-10	-2.07109e-10 1.5845e-10	
54.5	61.5891	35	-9.04329e-08 2.86178e-08	2.73876e-05 6.59004e-06	9.41747e-08 6.17713e-08	-1.64537e-08 1.42726e-08	-3.5424e-10 5.6675e-10	-1.2016e-10 4.85267e-11	
55.5	58.766	33	-3.06226e-07 1.04044e-07	2.69765e-05 6.59986e-06	1.47208e-07 8.18814e-08	-1.32654e-08 1.03505e-08	-8.52656e-11 3.88291e-10	-6.1283e-11 8.47722e-11	
56.5	55.971	31.5	-2.61682e-07 6.49829e-08	7.92024e-06 6.8774e-06	-1.54144e-07 8.1541e-08	-4.09593e-08 1.9911e-08	1.54006e-10 1.95716e-10	-2.19189e-10 1.1199e-10	
57.5	52.63	30	-1.516e-07 4.9741e-08	2.2054e-05 5.37506e-06	-7.01885e-08 6.01542e-08	-9.44713e-09 8.41375e-09	-2.89498e-10 2.89684e-10	-6.83571e-11 2.29829e-11	
58.5	48.7511	28.5	-1.00942e-07 6.00578e-08	2.06724e-05 7.31718e-06	-2.54214e-09 5.92135e-08	-4.63838e-08 4.55469e-08	6.87766e-12 2.2682e-10	-1.81342e-10 1.446e-10	
59.5	46.1828	27	-1.02637e-07 2.73633e-08	1.97641e-05 6.441e-06	4.76787e-08 4.47719e-08	-2.74054e-08 1.03973e-08	-2.71958e-10 3.25804e-10	-5.26574e-11 2.05695e-11	
60.5	43.9509	25.5	-1.53279e-07 5.35753e-08	2.5257e-05 5.50405e-06	2.37935e-08 6.47416e-08	-2.62039e-08 9.16641e-09	-2.29435e-10 2.66773e-10	-7.78755e-11 4.91091e-11	
