Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	646.68	241	0.591129 0.0680455	0.445014 0.158532	-0.305888 0.509075	
7.5	526.102	209	0.646843 0.0374076	-0.378573 0.388722	0.586425 0.055605	
12.5	433.007	180	0.653008 0.0505353	0.490141 0.122621	0.432379 0.161658	
17.5	357.75	153.5	0.730108 0.0247604	0.277359 0.636824	0.607335 0.0538695	
22.5	292.153	130	0.733971 0.0217477	0.548841 0.0815414	0.579184 0.065843	
27.5	236.638	109.5	0.765192 0.018495	0.552798 0.0755072	0.583047 0.0631982	
32.5	190.409	91.5	0.780658 0.0187331	0.501832 0.119862	0.530214 0.0768958	
37.5	151.528	75.5	0.787896 0.0161558	0.639367 0.0447484	-0.500418 0.162834	
42.5	119.154	61.5	0.77503 0.0176919	0.618712 0.0463628	-0.637525 0.169225	
47.5	92.327	49	0.796711 0.014414	0.624922 0.0493874	-0.645061 0.159002	
52.5	69.9699	38.5	0.780671 0.0205219	0.498263 0.117988	-0.755003 0.0705895	
57.5	52.0015	30	0.754987 0.0196556	-0.42316 0.188551	-0.762256 0.0537127	
62.5	38.2458	23	0.7812 0.0170134	-0.552266 0.122276	-0.790888 0.0438359	
67.5	27.3572	17	0.702183 0.0318111	-0.629562 0.0676092	-0.884668 0.0523042	
72.5	18.8848	12	0.448084 0.146535	-0.871245 0.0409773	-0.96119 0.0333744	
77.5	12.452	8.5	-0.807303 0.038842	-0.975282 0.0665057	-1.1511 0.0313008	
82.5	7.77222	6	-1.12595 0.0307406	-1.15103 0.0425803	-1.40905 0.0407858	
87.5	4.5236	4	-1.31726 0.0363405	-1.37363 0.0394158	-1.54803 0.0510133	
92.5	3.35477	2.5	0.260459 0.739541	0.406415 0.593585	0.274033 0.725967	
97.5	nan	2	nan nan	nan nan	nan nan	
