Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	724.117	252.5	1.39365 0.068721
1.5	670.124	244.5	1.43094 0.0725279
2.5	640.396	239	1.49797 0.070152
3.5	614.986	233	1.57975 0.0968644
4.5	587.037	227	1.55965 0.0762019
5.5	567.251	221	1.36151 0.0795187
6.5	545.991	215	1.57583 0.0789804
7.5	525.359	209	1.61891 0.0911462
8.5	505.869	203	1.71292 0.0837082
9.5	486.527	197	1.55711 0.0800546
10.5	469.011	191	1.77099 0.0908483
11.5	448.756	185	1.82199 0.0932674
12.5	432.554	179.5	1.81724 0.0898485
13.5	415.406	174	1.87756 0.0985172
14.5	401.104	168.5	1.72226 0.0830477
15.5	386.831	163.5	1.90127 0.0956467
16.5	370.076	158.5	1.79846 0.0907513
17.5	359.103	153.5	1.94495 0.0921874
18.5	344.821	148.5	1.90889 0.0963547
19.5	330.437	143.5	2.14486 0.12138
20.5	318.936	139	2.07908 0.112381
21.5	303.515	134.5	2.07569 0.108278
22.5	292.246	130	2.09899 0.10438
23.5	281.209	125.5	2.08699 0.103757
24.5	269.09	121	2.25827 0.10756
25.5	258.016	117	2.43689 0.117916
26.5	245.41	113	2.23271 0.106282
27.5	237.334	109	2.06024 0.0994953
28.5	226.855	105	2.11231 0.110958
29.5	217.196	101.5	2.50408 0.122391
30.5	209.496	98	2.37962 0.1157
31.5	198.718	94.5	2.32651 0.10263
32.5	190.452	91	2.38556 0.114545
33.5	181.607	87.5	2.45544 0.115837
34.5	173.142	84.5	2.53802 0.140426
35.5	165.828	81	2.42796 0.117543
36.5	160.154	77.5	2.32989 0.126243
37.5	152.627	74.5	2.51747 0.13763
38.5	145.308	71.5	2.56088 0.124223
39.5	137.376	69	2.56676 0.125743
40.5	131.622	66.5	2.63457 0.139363
41.5	125.982	63.5	2.35274 0.114875
42.5	118.446	61	2.62054 0.126609
43.5	112.753	58.5	2.56264 0.146063
44.5	108.114	56	2.77325 0.14669
45.5	102.585	53.5	2.82173 0.138534
46.5	96.941	51	2.90058 0.146369
47.5	91.7766	49	2.89343 0.174562
48.5	87.3457	47	2.76991 0.137501
49.5	83.2205	44.5	2.90843 0.159719
50.5	78.3371	42	2.8005 0.14704
51.5	74.9621	40	2.85539 0.16002
52.5	70.651	38.5	3.42134 0.187749
53.5	65.3287	37	3.3228 0.179977
54.5	61.5891	35	3.22475 0.165095
55.5	58.766	33	3.05865 0.161176
56.5	55.971	31.5	3.36405 0.225179
57.5	52.63	30	3.24847 0.186914
58.5	48.7511	28.5	3.28341 0.188843
59.5	46.1828	27	3.52898 0.186395
60.5	43.9509	25.5	3.52932 0.179372
61.5	41.4138	24	3.92573 0.214074
62.5	38.5163	22.5	3.85006 0.210925
63.5	36.1717	21.5	3.68013 0.205244
64.5	34.0805	20.5	4.36108 0.241485
65.5	31.9586	19	3.84354 0.246916
66.5	30.341	17.5	4.04348 0.241164
67.5	28.0181	16.5	4.64109 0.269527
68.5	26.5857	15.5	3.89006 0.216712
69.5	24.7291	14.5	4.40264 0.225329
70.5	22.603	13.5	4.49707 0.256955
71.5	20.9116	13	3.9864 0.223007
72.5	19.3311	12.5	4.70145 0.286186
73.5	17.9692	11.5	4.59148 0.291461
74.5	16.3456	10.5	4.98075 0.271955
75.5	15.164	10	4.58668 0.313125
76.5	13.7485	9.5	5.05697 0.2788
77.5	12.5312	8.5	4.70426 0.292185
78.5	11.563	8	5.40584 0.355263
79.5	10.528	7.5	4.87843 0.283156
80.5	9.59951	7	5.53395 0.39972
81.5	8.73838	6.5	4.88761 0.370743
82.5	7.85775	6	5.37403 0.39145
83.5	7.07603	5.5	5.59448 0.434
84.5	6.43721	5	5.60459 0.477473
85.5	5.69062	4.5	5.58839 0.446197
86.5	5.103	4	7.30759 0.629375
87.5	4.53568	4	6.38831 0.594639
88.5	3.99631	4	7.97472 0.802913
89.5	3.47557	3.5	8.33148 0.871318
90.5	3.35477	3	3.85096 1.60787
91.5	nan	3	nan nan
92.5	nan	2.5	nan nan
93.5	nan	2	nan nan
94.5	nan	2	nan nan
95.5	nan	2	nan nan
96.5	nan	2	nan nan
97.5	nan	2	nan nan
98.5	nan	2	nan nan
99.5	nan	0	nan nan
