Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	576.327	226	0.00884472 0.000178067	 0.0443418 0.000526621	 0.0285475 0.000359704	 0.0157175 0.000190896	 0.00735734 8.71724e-05	 0.00381055 4.84491e-05	 
15	394.613	167.5	0.0113444 0.000204195	 0.0625272 0.000669367	 0.0337169 0.000406445	 0.0171104 0.000198894	 0.00828136 0.000104051	 0.00430706 5.46798e-05	 
25	261.882	120.5	0.0138626 0.000263953	 0.0781168 0.000800577	 0.0357136 0.00042569	 0.0178611 0.000208702	 0.00855062 0.00010694	 0.00457411 5.87093e-05	 
35	172.277	84	0.0160591 0.000334467	 0.0870873 0.000889879	 0.0355139 0.000433218	 0.0178423 0.000230666	 0.0087129 0.000112082	 0.00455271 6.163e-05	 
45	106.66	55.5	0.0183237 0.000412253	 0.0920858 0.00101098	 0.0338248 0.000437599	 0.017609 0.000264028	 0.00829839 0.000124273	 0.00444207 8.12136e-05	 
55	61.3711	34.5	0.019194 0.000425221	 0.0917073 0.00112425	 0.0287388 0.000415132	 0.0168239 0.000292318	 0.00710225 0.000108258	 0.00383335 7.27124e-05	 
65	33.8058	20	0.0167441 0.000399609	 0.0851411 0.00115126	 0.0215731 0.000372062	 0.0145206 0.000288226	 0.00551869 0.000100163	 0.00309279 7.16097e-05	 
75	15.8147	10.5	0.0130599 0.000351909	 0.0635288 0.00118607	 0.0133477 0.00031561	 0.0101116 0.000256753	 0.00320914 8.13158e-05	 0.00183357 5.10559e-05	 
85	6.18371	5	0.00954138 0.000377006	 0.036214 0.00126604	 0.00619413 0.000239054	 0.00399271 0.000201774	 0.00102772 4.06557e-05	 0.000823959 3.4431e-05	 
95	3.35477	2.5	0.000985156 0.000669289	 0.00157469 0.00115566	 0.000408909 0.000281362	 0.000187859 0.000137233	 8.11429e-05 5.22543e-05	 2.2744e-05 1.5974e-05	 
