Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	724.117	252.5	0.245273 0.000139491	0.263723 0.000500697	-0.516517 0.0128663	0.182006 0.000158915	0.182203 0.00134044	-0.00585934 0.0525622	
1.5	670.124	244.5	0.240696 0.000813513	0.235135 0.0150805	0.144632 0.265497	0.177184 1.0436e-05	0.176798 3.01408e-05	0.0100817 0.000357386	
2.5	640.396	239	0.243769 3.08536e-05	0.250257 6.10596e-05	-0.154127 0.00212168	0.178476 0.000203488	0.186795 0.00295101	-0.220739 0.0974973	
3.5	614.986	233	0.245211 1.29581e-05	0.24293 4.31756e-05	0.0444831 9.74267e-05	0.172687 1.72421e-05	0.178351 4.98107e-05	-0.1337 0.000780726	
4.5	587.037	227	0.236871 4.84829e-05	0.2439 0.00180033	-0.136791 0.056393	0.168692 3.39523e-05	0.167768 0.00165052	0.0189089 0.0464038	
5.5	567.251	221	0.225649 0.0002787	0.215126 0.000796264	0.195324 0.0177191	0.171314 2.76522e-05	0.172946 1.75426e-05	-0.0293081 0.00368398	
6.5	545.991	215	0.233636 0.00125923	0.235072 0.0105871	-0.022878 0.134192	0.163772 0.000674765	0.163876 0.00548986	-0.00185704 0.081884	
7.5	525.359	209	0.231153 0.00019015	0.230399 0.00208358	0.0104011 0.038535	0.162097 0.000128972	0.155881 0.00147817	0.101905 0.0312648	
8.5	505.869	203	0.233381 0.000111588	0.231088 0.000363075	0.0324814 0.00100856	0.160991 0.000179818	0.162091 0.00493879	-0.0199127 0.0830924	
9.5	486.527	197	0.23781 4.12257e-05	0.236631 0.00119887	0.0148913 0.0287075	0.167124 1.43331e-05	0.166888 4.43636e-05	0.00340811 0.000362702	
10.5	469.011	191	0.22872 8.39027e-05	0.210936 0.0033974	0.18192 0.0404032	0.157269 0.000143783	0.154455 0.000475992	0.0444724 0.00798223	
11.5	448.756	185	0.226732 2.08573e-05	0.217985 0.000102215	0.0929038 0.000290863	0.155062 3.381e-06	0.154468 1.38607e-05	0.00954196 0.000217797	
12.5	432.554	179.5	0.226651 0.000230276	0.215797 0.00208379	0.109889 0.0330938	0.157188 0.000116703	0.164316 6.58657e-05	-0.0965709 0.00541328	
13.5	415.406	174	0.223631 0.000319502	0.207206 0.00393409	0.145769 0.0405523	0.153797 0.000262769	0.160036 0.000830854	-0.0903773 0.00641509	
14.5	401.104	168.5	0.224615 0.000537537	0.212232 0.000856929	0.114063 0.0223605	0.15109 4.87732e-05	0.150665 0.000570398	0.00461537 0.010189	
15.5	386.831	163.5	0.226653 0.000113938	0.21125 0.000466284	0.125383 0.0020496	0.145028 5.18058e-05	0.152608 0.00016072	-0.0821869 0.00112032	
16.5	370.076	158.5	0.22132 0.000260555	0.213852 0.00721372	0.0669813 0.0636062	0.142283 8.82673e-05	0.154473 0.000251172	-0.125096 0.00130424	
17.5	359.103	153.5	0.21743 0.000116553	0.199991 0.00282621	0.129749 0.0294033	0.142334 1.60159e-05	0.149226 0.000186997	-0.0791155 0.00627785	
18.5	344.821	148.5	0.21439 0.000147516	0.205393 0.0289809	0.0578354 0.115931	0.144235 6.08487e-05	0.142421 0.000187084	0.0158435 0.00223917	
19.5	330.437	143.5	0.219744 0.000175764	0.210002 0.00302347	0.062502 0.0251331	0.137849 0.000130966	0.13735 0.000676947	0.00439809 0.00783849	
20.5	318.936	139	0.22155 0.000297655	0.200053 0.00115271	0.136739 0.00895667	0.126968 0.000880475	0.137669 0.0171691	-0.100657 0.111449	
21.5	303.515	134.5	0.217547 0.00035617	0.195739 0.0455685	0.129285 0.154003	0.137101 0.000132494	0.137485 0.000300275	-0.00356801 0.000152323	
22.5	292.246	130	0.215072 9.55753e-06	0.201479 0.000803709	0.0776247 0.0094983	0.137622 8.39564e-05	0.136603 0.00078638	0.00876151 0.011366	
23.5	281.209	125.5	0.20959 0.000356578	0.199562 0.00156908	0.0540586 0.00974177	0.12758 0.000104581	0.139869 0.00334031	-0.0977928 0.0237472	
24.5	269.09	121	0.209032 4.95845e-05	0.181708 0.000117728	0.149161 0.00151612	0.129206 0.000215348	0.130001 0.000543162	-0.00772819 0.0125089	
25.5	258.016	117	0.211421 0.000300104	0.188543 0.00817139	0.117606 0.0402763	0.122026 5.60187e-05	0.145532 0.000368378	-0.217008 0.00365912	
26.5	245.41	113	0.209701 0.00050611	0.190083 0.00298087	0.0944738 0.017227	0.125829 0.000474295	0.138657 0.00215355	-0.094432 0.0144075	
27.5	237.334	109	0.205181 4.17453e-05	0.187546 0.000138082	0.0893489 0.0016421	0.11797 4.30302e-05	0.128248 4.40145e-05	-0.0684019 0.000730168	
28.5	226.855	105	0.203622 4.22819e-05	0.184598 0.000167371	0.0892914 0.00435925	0.121423 2.98139e-06	0.121615 9.89085e-06	-0.00125428 4.66589e-05	
29.5	217.196	101.5	0.209857 0.000188799	0.179901 0.0223039	0.133243 0.0669233	0.109986 2.61829e-05	0.129462 0.000342725	-0.135721 0.00422559	
30.5	209.496	98	0.202762 1.50376e-05	0.174993 0.00153945	0.120448 0.0116387	0.111803 7.03744e-05	0.114511 0.000326756	-0.0193962 0.00344311	
31.5	198.718	94.5	0.200891 5.63185e-05	0.179995 0.00031962	0.0891826 0.000480818	0.109618 7.34323e-05	0.116094 3.84278e-05	-0.0437979 0.00273789	
32.5	190.452	91	0.19942 8.07933e-05	0.173482 0.00118716	0.103753 0.00804959	0.109696 0.000142635	0.116558 0.000202881	-0.0462171 0.00115868	
33.5	181.607	87.5	0.19937 9.98334e-05	0.176065 0.00083199	0.0890417 0.00601394	0.114163 4.51163e-05	0.112813 0.000647539	0.00894014 0.00662162	
34.5	173.142	84.5	0.199406 3.78236e-05	0.177637 0.000243448	0.081466 0.000132887	0.106079 0.000101145	0.118348 0.000393773	-0.0718842 0.00509332	
35.5	165.828	81	0.19556 1.9772e-05	0.177013 0.0138682	0.07235 0.0449845	0.10385 0.000379214	0.120381 0.000700704	-0.115003 5.60053e-05	
36.5	160.154	77.5	0.189896 0.000248617	0.162805 0.00091767	0.0966455 0.00833247	0.09418 7.59546e-05	0.0924346 0.000308837	0.00992994 0.00127896	
37.5	152.627	74.5	0.189656 5.65447e-05	0.160208 0.0243468	0.102 0.0574927	0.0993198 6.98752e-05	0.101886 4.19791e-05	-0.0150814 0.00231445	
38.5	145.308	71.5	0.185675 0.000156511	0.168212 0.0156813	0.0607871 0.0437402	0.0943466 7.3134e-05	0.0980686 0.000332424	-0.0222995 0.00167055	
39.5	137.376	69	0.185828 3.52238e-05	0.156292 0.0186057	0.10025 0.0484986	0.0905321 9.45924e-05	0.0994832 0.000421837	-0.048065 0.00248347	
40.5	131.622	66.5	0.186374 9.30234e-05	0.163994 0.00427745	0.0741601 0.0175688	0.0882057 0.00010671	0.0989764 0.000394454	-0.056779 0.00166072	
41.5	125.982	63.5	0.183202 2.45856e-05	0.15534 0.0177406	0.094197 0.0401171	0.0907017 7.40973e-07	0.0990375 2.91632e-05	-0.0386903 0.000237042	
42.5	118.446	61	0.184833 8.27305e-05	0.15794 0.00368555	0.0862977 0.0152843	0.0905996 0.000138805	0.102325 0.000663308	-0.0625192 0.0064192	
43.5	112.753	58.5	0.18679 0.000234454	0.155532 0.000969186	0.100274 0.0036713	0.0916533 0.000369788	0.0887772 0.0296067	0.0133465 0.0595202	
44.5	108.114	56	0.179458 0.000474301	0.158528 0.0019123	0.0573518 0.00215254	0.0852083 0.000373846	0.100789 0.00210866	-0.0798917 0.0107524	
45.5	102.585	53.5	0.177207 9.88301e-05	0.153908 0.000603272	0.0662315 0.00318541	0.0844909 0.000103459	0.0930507 0.000119642	-0.0396054 0.00215282	
46.5	96.941	51	0.176393 1.06358e-05	0.164214 7.75688e-05	0.0328643 0.000180832	0.0766282 5.21757e-05	0.09785 0.000309739	-0.0961375 0.00122399	
47.5	91.7766	49	0.172926 0.000857814	0.143213 0.0269263	0.0790993 0.0543247	0.0710567 7.74181e-05	0.0862839 0.000136382	-0.0589185 0.000134101	
48.5	87.3457	47	0.169128 0.000353486	0.122779 0.0126254	0.137381 0.0344713	0.0723735 0.000227595	0.0915263 0.000172869	-0.0817918 0.00134111	
49.5	83.2205	44.5	0.164145 8.8541e-06	0.148364 0.000510008	0.0417334 0.0035864	0.07 0.000289824	0.0706293 0.000818222	-0.00282907 0.00618627	
50.5	78.3371	42	0.164386 0.00034544	0.134617 0.00221155	0.0813639 0.0078928	0.0710487 2.11373e-05	0.0850209 0.00038274	-0.0597328 0.00291588	
51.5	74.9621	40	0.163847 0.000456903	0.122486 0.00395931	0.108566 0.0120933	0.0749749 0.000208152	0.081104 0.000169483	-0.0288586 0.0037062	
52.5	70.651	38.5	0.164141 0.000474983	0.142207 0.00547226	0.0551531 0.0155307	0.0607436 0.000881026	0.0842029 0.0031135	-0.106868 0.00927951	
53.5	65.3287	37	0.166825 4.00885e-05	0.120483 0.000137134	0.111425 0.000368041	0.0643365 0.000250717	0.0743158 0.00597407	-0.0437996 0.0189624	
54.5	61.5891	35	0.155751 0.000585139	0.11583 0.0527033	0.104655 0.0765911	0.0596077 1.77791e-06	0.0776108 0.000152833	-0.0759322 0.000871033	
55.5	58.766	33	0.154847 8.13368e-06	0.139896 0.000109229	0.0354378 0.000215726	0.067553 0.000153686	0.0735331 0.00251116	-0.0281528 0.0120485	
56.5	55.971	31.5	0.157338 0.000278965	0.108296 0.0118304	0.115823 0.0248539	0.0547462 3.13582e-05	0.0642485 7.47563e-05	-0.035324 0.000113607	
57.5	52.63	30	0.143358 0.000225078	0.125955 0.0066691	0.0430189 0.0164166	0.0536795 0.00022312	0.0735417 0.00309534	-0.0785371 0.00964124	
58.5	48.7511	28.5	0.144664 0.000196681	0.1437 0.00888275	0.0022341 0.0196596	0.0512649 0.000158903	0.0661478 0.00455418	-0.0558498 0.0129411	
59.5	46.1828	27	0.141988 0.000554941	0.113113 0.018127	0.0650453 0.0325508	0.0495123 4.9672e-06	0.0648595 5.43031e-05	-0.0555823 0.000165667	
60.5	43.9509	25.5	0.134935 0.000186512	0.137178 0.00285119	-0.00502729 0.00823696	0.0456398 0.000193486	0.0610867 0.000741173	-0.0585296 0.0025961	
61.5	41.4138	24	0.134684 6.79214e-05	0.101529 0.00126049	0.0721688 0.00467273	0.0412178 0.000255013	0.0540958 0.00153049	-0.0441949 0.00582813	
62.5	38.5163	22.5	0.136433 0.000282473	0.134641 0.00235459	0.00389675 0.006655	0.0432443 4.88608e-05	0.0643044 0.000494356	-0.0788668 0.00222548	
63.5	36.1717	21.5	0.123639 0.000477901	0.151995 0.0057566	-0.0606562 0.0129737	0.0389553 1.41447e-05	0.0598394 3.37525e-05	-0.0837498 9.70463e-05	
64.5	34.0805	20.5	0.129595 0.00011396	0.161392 0.00104551	-0.0636577 0.00434169	0.0352128 0.000320939	0.0492903 0.00306174	-0.0565313 0.00755565	
65.5	31.9586	19	0.112871 3.39934e-05	0.104865 0.000317326	0.0167473 0.00228375	0.0331997 5.28805e-05	0.0571184 8.5451e-05	-0.0779172 0.000162389	
66.5	30.341	17.5	0.102331 0.000686489	0.128414 0.0105092	-0.0514726 0.0186823	0.0259445 2.02199e-06	0.049855 6.03861e-06	-0.0769028 1.39366e-05	
67.5	28.0181	16.5	0.110457 4.38332e-05	0.102153 0.0015875	0.0171265 0.00504636	0.0259454 2.43074e-05	0.0501679 0.000306601	-0.0867758 0.0011038	
68.5	26.5857	15.5	0.0989918 0.000366463	0.118378 0.00758313	-0.0400314 0.0126072	0.0260005 6.34829e-05	0.0464465 0.000286114	-0.0675623 0.00146222	
69.5	24.7291	14.5	0.0977351 0.000250413	0.111352 0.00331558	-0.0266142 0.00809365	0.0230344 2.11205e-05	0.0340355 7.94014e-05	-0.0409504 0.00022289	
70.5	22.603	13.5	0.0906935 0.000410365	0.129806 6.53692e-05	-0.0773734 0.00206238	0.0184873 9.20263e-06	0.0464538 2.43505e-05	-0.0821548 5.41371e-05	
71.5	20.9116	13	0.0863619 0.00114253	0.129985 0.0047922	-0.0876564 0.00775263	0.0264277 0.000523546	0.0443212 0.00185364	-0.0609624 0.0033084	
72.5	19.3311	12.5	0.0887476 0.000283075	0.149336 0.00219696	-0.116528 0.00387036	0.0236964 0.000501345	0.0370897 0.00558426	-0.0465033 0.00951188	
73.5	17.9692	11.5	0.0791934 0.00102107	0.106593 0.0175781	-0.0537621 0.0167334	0.0181042 4.97128e-06	0.0399168 3.12474e-05	-0.0650647 7.16597e-05	
74.5	16.3456	10.5	0.0668727 0.000309888	0.154045 0.00304805	-0.154821 0.00568192	0.0150668 0.000185458	0.033136 0.0019312	-0.0517596 0.00365094	
75.5	15.164	10	0.0719129 0.000176872	0.106854 0.00151071	-0.0684278 0.00292104	0.0171201 0.000240884	0.0385767 0.00101215	-0.0632829 0.00215126	
76.5	13.7485	9.5	0.080022 1.17502e-05	0.127361 0.0189528	-0.0963107 0.0256043	0.0208398 0.000162104	0.0393129 0.000117231	-0.0652326 0.00119235	
77.5	12.5312	8.5	0.0557898 0.00020744	0.118255 0.00071265	-0.118675 0.000947759	0.0129579 5.11987e-05	0.0323597 0.000177201	-0.0578902 0.000403759	
78.5	11.563	8	0.0664531 0.000116078	0.110851 0.000213544	-0.08624 0.000111142	0.010346 0.000144463	0.0270126 0.000333832	-0.0495976 0.000651685	
79.5	10.528	7.5	0.0622049 0.000949024	0.126971 0.00142419	-0.126587 0.00475571	0.0144258 4.08603e-07	0.0390623 3.60433e-06	-0.0704233 7.84131e-06	
80.5	9.59951	7	0.0566882 9.26247e-05	0.107015 0.000697317	-0.100079 0.00116249	0.0102973 2.51311e-05	0.0256054 0.000139445	-0.0428111 0.000280095	
81.5	8.73838	6.5	0.0448513 0.000137681	0.108787 0.000238667	-0.121368 0.000278577	0.0101864 3.90179e-05	0.0205823 0.000107378	-0.0304562 0.000224865	
82.5	7.85775	6	0.0484377 6.99905e-05	0.106751 0.000295522	-0.108235 0.00070645	0.00903941 0.000133604	0.0207906 0.00033047	-0.0301327 0.000556518	
