Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	646.68	241	1.49446 0.0344073
7.5	526.102	209	1.57572 0.037189
12.5	433.007	180	1.7958 0.0406539
17.5	357.75	153.5	1.9416 0.0445259
22.5	292.153	130	2.12546 0.0480027
27.5	236.638	109.5	2.27624 0.0506436
32.5	190.409	91.5	2.41642 0.0524136
37.5	151.528	75.5	2.48909 0.0570379
42.5	119.154	61.5	2.59889 0.0605134
47.5	92.327	49	2.8713 0.0675856
52.5	69.9699	38.5	3.11558 0.0767122
57.5	52.0015	30	3.24511 0.0867202
62.5	38.2458	23	3.84432 0.0999416
67.5	27.3572	17	4.274 0.121267
72.5	18.8848	12	4.47246 0.133694
77.5	12.452	8.5	5.06726 0.159831
82.5	7.77222	6	5.3222 0.198716
87.5	4.5236	4	7.18264 0.360877
92.5	3.35477	2.5	3.85096 1.60787
97.5	nan	2	nan nan
