Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	576.327	226	0.580462 0.04429	0.21958 0.915335	0.519645 0.0645673	
15	394.613	167.5	0.691287 0.0244823	0.384024 0.197446	0.548139 0.0563226	
25	261.882	120.5	0.754106 0.014377	0.53993 0.0629958	0.589319 0.0460606	
35	172.277	84	0.781011 0.0139372	0.569674 0.0620336	-0.264022 0.555296	
45	106.66	55.5	0.776124 0.0137094	0.582899 0.0467883	-0.657983 0.101131	
55	61.3711	34.5	0.744119 0.0204583	0.440026 0.125213	-0.791084 0.0529201	
65	33.8058	20	0.709673 0.024083	-0.679665 0.0638864	-0.882573 0.0347524	
75	15.8147	10.5	-0.684117 0.0480735	-0.98782 0.0415735	-1.05785 0.0280912	
85	6.18371	5	-1.21473 0.0324948	-1.30072 0.059661	-1.5386 0.0447489	
95	3.35477	2.5	0.260459 0.739541	0.406415 0.593585	0.274033 0.725967	
