Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	576.327	226	0.235684 3.1815e-05	0.2367 0.000391591	-0.0168137 0.00747493	0.168525 2.43807e-05	0.171081 0.000295412	-0.0494808 0.00626573	
15	394.613	167.5	0.221906 3.2168e-05	0.213955 0.000367944	0.0652272 0.0038289	0.147737 2.50131e-05	0.152269 6.29717e-05	-0.0502062 0.000360284	
25	261.882	120.5	0.210314 7.12141e-05	0.191956 0.000379496	0.0949066 0.00224027	0.124791 6.22682e-05	0.136332 0.000297764	-0.0896203 0.00204732	
35	172.277	84	0.195016 2.78191e-06	0.174044 0.00130295	0.0788577 0.00422971	0.103344 4.26323e-05	0.110825 8.81915e-05	-0.0467147 9.71644e-05	
45	106.66	55.5	0.177937 1.47002e-06	0.157159 9.14843e-06	0.0611986 2.26671e-05	0.0812056 7.63709e-06	0.093655 3.33789e-05	-0.0570641 0.000129043	
55	61.3711	34.5	0.154877 8.25361e-05	0.128521 0.00560263	0.0644323 0.00830828	0.0599846 3.84957e-07	0.0781465 2.05601e-05	-0.0739817 0.000107652	
65	33.8058	20	0.121551 3.48995e-05	0.134006 0.000263082	-0.0258929 0.00065236	0.0360337 5.45069e-05	0.0569219 0.000425861	-0.0760757 0.00105461	
75	15.8147	10.5	0.0781928 2.59131e-06	0.131302 0.00332274	-0.102242 0.00446814	0.0196823 2.89055e-05	0.0383196 6.89281e-06	-0.0594103 0.000145225	
85	6.18371	5	0.0453146 4.16468e-07	0.108391 8.81999e-05	-0.118636 0.000147015	0.0076942 2.23377e-07	0.02178 5.33633e-07	-0.0374204 1.04761e-06	
95	3.35477	2.5	0.0830307 0.000186454	-0.0128541 inf	211.405 inf	-0.01867 8.80642e-07	-1.81915 1.30843	1889.9 52720.5	
