Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	576.327	226	-9.44618e-09 1.67185e-09	4.38886e-07 1.38955e-07	1.54398e-09 3.08897e-08	4.45e-09 2.28024e-09	3.45026e-10 1.31781e-10	-3.34929e-12 9.08055e-12	
15	394.613	167.5	-1.95356e-08 2.39778e-09	3.49067e-06 5.30372e-07	2.81075e-08 6.33033e-08	7.73752e-09 3.26115e-09	-2.95063e-10 2.15108e-10	-2.92167e-11 1.93984e-11	
25	261.882	120.5	-4.91927e-08 8.54617e-09	1.20422e-05 1.16219e-06	1.38257e-07 6.57999e-08	1.22754e-08 3.99325e-09	-3.90971e-11 2.54125e-10	-2.66472e-11 2.27432e-11	
35	172.277	84	-1.06699e-07 1.75327e-08	2.14018e-05 1.88232e-06	1.67533e-07 7.58869e-08	-4.92458e-10 4.37851e-09	2.94476e-11 2.72918e-10	-4.35623e-11 3.27106e-11	
45	106.66	55.5	-1.88293e-07 3.325e-08	2.60912e-05 2.47667e-06	1.51116e-07 5.06695e-08	-1.80217e-08 1.00334e-08	-8.76008e-10 3.76746e-10	-2.97231e-10 1.00683e-10	
55	61.3711	34.5	-1.71157e-07 2.46435e-08	2.16864e-05 2.84509e-06	2.55736e-08 3.01121e-08	-3.1376e-08 8.57795e-09	-1.81941e-10 1.5836e-10	-1.41949e-10 3.89408e-11	
65	33.8058	20	-1.03859e-07 1.28695e-08	1.33287e-05 2.18997e-06	-4.62201e-08 1.65658e-08	-2.69734e-08 4.53382e-09	-3.18662e-10 8.35568e-11	-1.08286e-10 2.33404e-11	
75	15.8147	10.5	-4.46213e-08 7.585e-09	-3.56783e-06 8.45263e-07	-3.02234e-08 5.90725e-09	-1.30908e-08 1.45066e-09	-1.31697e-10 2.00764e-11	-1.9275e-11 3.07117e-12	
85	6.18371	5	-2.52651e-08 4.59314e-09	-3.74477e-06 3.97003e-07	-4.21357e-09 9.35072e-10	-1.42422e-09 2.75008e-10	-3.40563e-12 8.07215e-13	-1.62425e-12 3.24515e-13	
95	3.35477	2.5	3.16881e-14 2.59688e-12	2.82973e-14 1.73311e-11	7.62757e-16 7.74576e-14	7.02326e-18 3.50777e-15	2.85385e-18 1.16545e-16	4.88403e-21 7.4648e-19	
