Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	724.117	252.5	0.664134 0.0738367	-0.461869 0.425448	-0.545526 0.197324	
1.5	670.124	244.5	0.568171 0.158577	0.451673 0.260572	0.473499 0.253518	
2.5	640.396	239	0.69404 0.0846752	0.688025 0.0724724	-0.724388 0.154718	
3.5	614.986	233	-0.459783 0.325144	0.447657 0.325158	0.484903 0.238505	
4.5	587.037	227	0.721156 0.0668943	-0.469802 0.281349	0.657654 0.0842825	
5.5	567.251	221	-0.365628 0.534641	-0.34111 0.781068	0.381676 0.501702	
6.5	545.991	215	0.670627 0.0687302	-0.190773 1.33958	0.608047 0.110985	
7.5	525.359	209	0.669125 0.0763987	-0.644668 0.184907	-0.277845 0.888237	
8.5	505.869	203	0.760985 0.0374871	0.514682 0.194677	0.748709 0.0421199	
9.5	486.527	197	0.691045 0.0648004	0.556759 0.179393	0.523913 0.187371	
10.5	469.011	191	-0.471886 0.235806	0.631557 0.0917713	-0.513598 0.281967	
11.5	448.756	185	0.7204 0.0584215	0.567983 0.152344	0.67493 0.0867332	
12.5	432.554	179.5	0.737682 0.0483503	0.47643 0.239438	-0.42893 0.426845	
13.5	415.406	174	0.556638 0.196188	0.666389 0.0812395	-0.499307 0.358817	
14.5	401.104	168.5	0.743648 0.046863	-0.425686 0.37083	0.606051 0.112842	
15.5	386.831	163.5	0.731981 0.0506559	-0.249384 0.954669	0.729451 0.0509026	
16.5	370.076	158.5	0.779182 0.0450358	0.634479 0.0952038	0.663437 0.081036	
17.5	359.103	153.5	0.727676 0.0551964	0.726909 0.0491679	0.478414 0.311658	
18.5	344.821	148.5	0.707747 0.0583463	-0.449158 0.375882	0.538954 0.171044	
19.5	330.437	143.5	0.755416 0.0480718	-0.752253 0.168423	0.579046 0.118376	
20.5	318.936	139	0.672501 0.0728058	0.45418 0.26342	-0.47586 0.417448	
21.5	303.515	134.5	0.708695 0.0615681	0.673169 0.108874	0.64918 0.0847931	
22.5	292.246	130	0.767513 0.0384681	-0.394191 0.489532	0.304144 1.12734	
23.5	281.209	125.5	0.764865 0.0385461	0.632137 0.0953661	0.718117 0.0519567	
24.5	269.09	121	0.751042 0.0411106	0.571786 0.128563	0.631763 0.0947272	
25.5	258.016	117	0.78037 0.0372983	0.527877 0.198073	0.675826 0.0708318	
26.5	245.41	113	0.788912 0.0300639	0.552662 0.143318	0.527363 0.158922	
27.5	237.334	109	0.757158 0.041039	0.581246 0.132513	0.647233 0.11667	
28.5	226.855	105	0.780941 0.0407614	0.251427 0.86015	0.635147 0.115433	
29.5	217.196	101.5	0.742306 0.0476488	0.728257 0.0615826	-0.445762 0.316818	
30.5	209.496	98	0.796583 0.0309306	0.605072 0.118918	0.608626 0.0992964	
31.5	198.718	94.5	0.766653 0.0339107	0.622423 0.106924	0.516945 0.167897	
32.5	190.452	91	0.734046 0.0739238	0.655557 0.0845118	0.548114 0.13921	
33.5	181.607	87.5	0.821605 0.0237862	0.545658 0.159571	0.503848 0.194278	
34.5	173.142	84.5	0.7859 0.0392848	-0.720587 0.317034	0.566092 0.152642	
35.5	165.828	81	0.800202 0.0289326	0.702962 0.0624067	-0.490541 0.443228	
36.5	160.154	77.5	0.718015 0.0550633	0.726188 0.0489921	-0.640518 0.329925	
37.5	152.627	74.5	0.73956 0.0556631	0.507118 0.20792	-0.676883 0.204241	
