Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
2.5	646.68	241	2.83014e-13 1.63434e-13	2.57355e-10 1.14575e-10	8.3105e-12 1.18986e-11	9.69835e-13 8.99079e-13	3.43955e-15 4.03405e-15	-1.08282e-16 9.3044e-17	
7.5	526.102	209	6.85728e-13 5.22911e-13	3.42125e-10 4.24525e-10	-1.32723e-11 2.95733e-11	-2.09345e-13 7.34423e-13	1.4071e-14 7.81876e-15	2.10074e-17 1.30867e-16	
12.5	433.007	180	-4.74561e-14 2.22335e-13	4.8067e-09 1.4112e-09	3.34454e-11 4.66943e-11	-8.14308e-14 7.74194e-13	-1.42718e-14 1.07004e-14	-1.52056e-16 2.48725e-16	
17.5	357.75	153.5	6.69658e-14 4.99466e-13	1.37733e-08 3.25597e-09	2.95583e-11 5.62307e-11	8.38719e-13 9.11034e-13	-2.55944e-14 1.39984e-14	3.18163e-16 3.18281e-16	
22.5	292.153	130	9.37239e-12 5.22511e-12	2.33114e-08 6.20713e-09	8.85732e-11 6.3962e-11	1.07138e-12 9.40519e-13	2.9975e-17 1.35035e-14	-3.04738e-16 4.36081e-16	
27.5	236.638	109.5	1.56453e-12 3.83339e-12	4.93016e-08 1.01522e-08	8.51898e-11 6.59575e-11	6.20241e-13 1.23283e-12	-1.37956e-14 1.39755e-14	2.57196e-16 3.28136e-16	
32.5	190.409	91.5	2.03953e-11 1.37852e-11	9.4745e-08 1.45232e-08	1.05556e-10 8.7049e-11	-1.00202e-12 1.14006e-12	-1.32484e-14 1.52224e-14	5.77038e-16 6.5454e-16	
37.5	151.528	75.5	9.57518e-12 6.56589e-12	9.9751e-08 1.77093e-08	1.00934e-10 6.70955e-11	-3.88362e-13 1.09737e-12	-4.85233e-15 2.1191e-14	9.01149e-16 3.97367e-16	
42.5	119.154	61.5	5.07366e-11 3.61522e-11	1.13665e-07 2.14556e-08	2.90617e-11 6.35295e-11	7.51887e-12 4.99497e-12	5.03301e-15 2.53087e-14	8.82066e-15 5.51911e-15	
47.5	92.327	49	1.25982e-11 1.01359e-11	1.38365e-07 2.69931e-08	7.35104e-11 4.16279e-11	2.8317e-12 5.48109e-12	2.28472e-15 9.94216e-15	9.2334e-15 7.05642e-15	
52.5	69.9699	38.5	6.93212e-11 4.26666e-11	1.41351e-07 2.71653e-08	3.62749e-12 2.89814e-11	4.2084e-13 3.13837e-12	-4.71153e-15 6.95601e-15	9.96034e-16 8.61147e-16	
57.5	52.0015	30	-1.88672e-12 6.7721e-12	7.44287e-08 1.96338e-08	-5.46791e-11 1.67292e-11	-2.15568e-12 9.77492e-13	-6.41696e-15 3.19913e-15	7.86196e-16 5.40032e-16	
62.5	38.2458	23	4.71617e-12 1.07575e-11	9.71842e-08 2.01344e-08	-1.50842e-11 7.48784e-12	-3.62712e-12 8.14918e-13	-4.57034e-15 2.07797e-15	1.39515e-16 2.09582e-16	
67.5	27.3572	17	3.91527e-12 3.6495e-12	1.66058e-08 1.059e-08	-8.21253e-12 1.99864e-12	-5.03088e-13 7.75619e-13	-6.00991e-16 1.21923e-15	6.61562e-17 1.22273e-16	
72.5	18.8848	12	1.86073e-12 2.43156e-12	-2.15939e-08 4.09042e-09	-3.43036e-12 1.10077e-12	-9.31043e-13 2.404e-13	-5.26759e-16 4.44359e-16	5.40786e-17 2.93928e-17	
77.5	12.452	8.5	1.29194e-12 1.58625e-12	-2.05258e-08 2.40114e-09	3.01329e-13 1.02282e-12	-1.41299e-13 1.07875e-13	2.38508e-16 1.84704e-16	1.21998e-17 6.27546e-18	
82.5	7.77222	6	5.76051e-12 3.38228e-12	-3.70799e-09 1.04254e-09	4.11356e-14 9.81679e-14	7.82077e-14 2.98338e-14	2.13557e-17 1.39504e-17	9.50825e-19 6.02411e-19	
87.5	4.5236	4	8.64329e-13 3.49593e-13	2.33926e-10 3.24385e-10	1.25114e-14 4.39351e-15	1.69615e-15 6.1921e-16	3.31785e-19 2.07752e-19	2.40876e-20 1.68152e-20	
92.5	3.35477	2.5	-4.10958e-19 5.3394e-18	-7.51811e-18 9.14215e-17	-2.14609e-21 2.7463e-20	-2.16048e-23 2.63306e-22	-1.14531e-25 1.61794e-24	-6.54198e-29 8.19862e-28	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
