Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	646.68	241	0.00832887 0.000227127	 0.0391744 0.000629071	 0.026213 0.00044038	 0.0144871 0.000249424	 0.00699887 0.000110385	 0.0036988 6.50042e-05	 
7.5	526.102	209	0.00936682 0.000250595	 0.0480163 0.00074169	 0.0304726 0.000523649	 0.016678 0.00026635	 0.00767559 0.000122017	 0.00395936 6.53257e-05	 
12.5	433.007	180	0.0107122 0.000254834	 0.0584159 0.000869533	 0.0325291 0.000519659	 0.0169702 0.000274355	 0.00815139 0.000138518	 0.00415121 7.32842e-05	 
17.5	357.75	153.5	0.0121704 0.000305102	 0.0672748 0.000969698	 0.0346492 0.000588679	 0.0173111 0.000274141	 0.00846291 0.000147833	 0.00449473 7.72071e-05	 
22.5	292.153	130	0.0134548 0.000375971	 0.0749986 0.00106654	 0.0352859 0.000568057	 0.0175077 0.000278442	 0.0084136 0.000142236	 0.00455612 8.08368e-05	 
27.5	236.638	109.5	0.0143844 0.000332262	 0.0809489 0.00108618	 0.0355625 0.000560597	 0.0182498 0.000284127	 0.00858105 0.000143725	 0.00457462 7.56963e-05	 
32.5	190.409	91.5	0.0159107 0.000416116	 0.0863013 0.00111619	 0.0357146 0.000563962	 0.0181064 0.000283489	 0.00874893 0.000142272	 0.00450588 7.71876e-05	 
37.5	151.528	75.5	0.0164554 0.000449638	 0.087815 0.00119733	 0.03528 0.000560054	 0.0171807 0.000308143	 0.00883695 0.000154446	 0.00451147 8.21535e-05	 
42.5	119.154	61.5	0.0180171 0.000510907	 0.091227 0.00124101	 0.0351024 0.000551843	 0.0175204 0.000322026	 0.00846507 0.000162049	 0.00452885 0.00010169	 
47.5	92.327	49	0.0183201 0.000489544	 0.0932793 0.00126423	 0.0324868 0.000524698	 0.0176645 0.000335808	 0.00807174 0.000135153	 0.00429882 0.000103031	 
52.5	69.9699	38.5	0.0194102 0.000571495	 0.0936674 0.00130023	 0.0300642 0.000510028	 0.0173734 0.000350356	 0.00752814 0.000131479	 0.00409239 9.04452e-05	 
57.5	52.0015	30	0.0180229 0.00045985	 0.0893533 0.00131056	 0.0275347 0.000499455	 0.0159017 0.000328476	 0.00652602 0.000122096	 0.00353012 8.1666e-05	 
62.5	38.2458	23	0.0182394 0.000500475	 0.0889951 0.0012601	 0.0231498 0.000432739	 0.0153763 0.000324318	 0.00590197 0.000112575	 0.00336548 8.14937e-05	 
67.5	27.3572	17	0.0157015 0.000463095	 0.0797523 0.0013193	 0.0186599 0.000381772	 0.0132271 0.000319634	 0.00472483 0.000106093	 0.00273626 7.21591e-05	 
72.5	18.8848	12	0.01393 0.000410993	 0.0688345 0.00127208	 0.0153907 0.000364746	 0.0112082 0.000288052	 0.00374769 9.14405e-05	 0.00210545 6.27971e-05	 
77.5	12.452	8.5	0.0124244 0.000377826	 0.0571506 0.00130205	 0.0112784 0.000297389	 0.0087431 0.000277284	 0.00257624 7.88911e-05	 0.00161622 5.23459e-05	 
82.5	7.77222	6	0.0109441 0.000419708	 0.0407168 0.00128113	 0.00765037 0.000247607	 0.00524493 0.00022764	 0.00143247 5.1254e-05	 0.00104269 3.68511e-05	 
87.5	4.5236	4	0.00764037 0.00036173	 0.0295862 0.00125834	 0.00411912 0.000186976	 0.00236661 0.000130852	 0.0005814 2.73963e-05	 0.000557886 2.30684e-05	 
92.5	3.35477	2.5	0.000985156 0.000669289	 0.00157469 0.00115566	 0.000408909 0.000281362	 0.000187859 0.000137233	 8.11429e-05 5.22543e-05	 2.2744e-05 1.5974e-05	 
97.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
