Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	209.086	74	0.524631 0.0778075	0.497121 0.0869543	0.532354 0.073465	
7.5	168.417	64	0.413335 0.160749	0.546385 0.0651591	0.525338 0.0727078	
12.5	141.349	56.5	0.603065 0.0460271	0.692995 0.0250196	0.592654 0.0478654	
17.5	118.006	49.5	0.444234 0.119961	0.59036 0.0467994	-0.617511 0.0765599	
22.5	98.3196	42.5	0.622878 0.0408776	0.676283 0.0290983	-0.615159 0.0811161	
27.5	81.3579	36	0.689393 0.0253136	0.64775 0.034902	-0.696962 0.0606659	
32.5	67.3962	30.5	0.719736 0.0207455	0.612237 0.037461	-0.700563 0.0429407	
37.5	55.3185	26	0.716041 0.0183428	0.492442 0.0781425	-0.797866 0.0313557	
42.5	45.2326	22	0.695622 0.0222333	-0.277563 0.505878	-0.877911 0.0348491	
47.5	36.4731	18	0.697371 0.0209799	-0.554299 0.0708741	-0.841356 0.02985	
52.5	29.009	14.5	0.650738 0.0279493	-0.668705 0.0477391	-0.860445 0.0264312	
57.5	22.6382	12	0.593174 0.0417877	-0.780996 0.0392568	-0.936762 0.0232333	
62.5	17.6488	10	-0.71886 0.0350365	-0.877765 0.0345141	-1.08441 0.0218951	
67.5	13.2292	8	-0.907569 0.0235185	-1.0061 0.0249968	-1.19096 0.0255038	
72.5	9.61075	6	-1.03842 0.0212322	-1.10242 0.0213418	-1.29157 0.0228953	
77.5	6.74343	4.5	-1.16794 0.021114	-1.22744 0.0218312	-1.45683 0.0288022	
82.5	4.51223	3.5	-1.27605 0.0226892	-1.41629 0.0346657	-1.59595 0.0327326	
87.5	2.76352	2.5	-1.43842 0.0258437	-1.60095 0.0435006	-1.97008 0.0628838	
92.5	1.43154	2	-1.65566 0.03287	-1.84201 0.0421592	-1.92706 0.117746	
97.5	0.419767	2	-2.33563 0.0781775	-2.21356 0.0677162	-2.50108 0.0901673	
