Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
36.5	57.0291	26.5	0.154936 4.87956e-05	0.13555 0.000885158	0.052125 0.00412507	0.0616397 0.000215646	0.0732657 0.00113123	-0.0518248 0.0057985	
37.5	54.3925	26	0.160671 2.95636e-05	0.145124 0.000131346	0.0427052 0.000776098	0.0636695 1.90117e-05	0.0754474 6.1604e-05	-0.0542767 0.000192089	
38.5	52.8243	25.5	0.147225 0.000167541	0.135936 0.00241831	0.0335251 0.0076094	0.0537133 0.00022108	0.0660936 0.00169448	-0.0485912 0.00508185	
39.5	52.124	24.5	0.143814 0.000202479	0.132974 0.0037482	0.0278411 0.0103798	0.0496405 0.000151852	0.0624141 0.000598113	-0.0549978 0.00192611	
40.5	49.3724	23.5	0.145211 1.03724e-05	0.140246 0.000665537	0.0133182 0.00332177	0.0562067 2.58397e-05	0.0643448 0.00011338	-0.0340916 0.000368628	
41.5	47.3815	22.5	0.148101 0.00010624	0.132627 0.00804472	0.0407505 0.0161465	0.0530725 2.9206e-06	0.0635843 2.68495e-06	-0.0525121 3.09938e-05	
42.5	44.917	21.5	0.141539 7.17746e-05	0.132226 0.00116731	0.0251939 0.00461977	0.0512771 3.88318e-05	0.0596254 2.48935e-06	-0.034162 0.000495481	
43.5	42.7305	21	0.15214 6.55827e-05	0.127858 0.000296092	0.0624452 0.00142069	0.0522728 8.81906e-05	0.0591948 8.13136e-05	-0.0310758 0.000610746	
44.5	41.8764	20.5	0.134756 0.00014321	0.125345 0.000939491	0.0232756 0.00307939	0.0438219 1.08998e-05	0.0570116 4.9859e-05	-0.0550723 0.000157476	
45.5	39.1724	19.5	0.140686 6.67996e-05	0.120017 0.00651787	0.0533233 0.0137121	0.0446546 9.9398e-05	0.0586273 1.87074e-06	-0.0614685 0.000783787	
46.5	37.8848	18.5	0.135572 0.000506181	0.123168 0.0199795	0.0296217 0.0299649	0.0403507 7.04292e-06	0.0546985 5.11903e-05	-0.0594452 0.000173875	
47.5	36.3526	18	0.125142 2.18e-05	0.109674 8.62769e-05	0.0377118 0.0003585	0.0358606 2.64996e-05	0.0426082 0.000137755	-0.0258339 0.000536957	
48.5	34.9574	17.5	0.130545 7.06349e-05	0.121111 0.000889404	0.022401 0.00320208	0.0414908 7.42528e-06	0.0525511 5.59071e-05	-0.0426305 0.000198212	
49.5	33.4259	16.5	0.119892 0.000206553	0.137347 0.000584421	-0.0409585 0.00291507	0.0398325 0.000264381	0.0458892 0.00133398	-0.0253651 0.00582497	
50.5	32.0935	16	0.121853 7.92879e-05	0.137373 0.00103024	-0.0363328 0.0033331	0.036024 0.000224468	0.04733 0.000694304	-0.0448938 0.00355033	
51.5	30.4819	15.5	0.125208 0.000143467	0.120007 0.000836236	0.0115459 0.00217606	0.0361553 2.70682e-05	0.0482251 5.86917e-05	-0.0469616 0.000102514	
52.5	28.5049	14.5	0.121552 6.70725e-05	0.119654 0.000434832	0.00440209 0.00142551	0.0329654 7.30657e-05	0.0444983 0.000330908	-0.0441194 0.000980743	
53.5	27.2231	14	0.119202 3.23703e-05	0.121592 0.000119373	-0.00558233 0.000168928	0.0335284 7.66047e-05	0.0524969 0.000219264	-0.0754177 0.000582796	
54.5	26.6077	13.5	0.109887 0.000151087	0.124835 0.000233064	-0.035279 0.0005617	0.0314987 4.36517e-06	0.04191 3.25661e-05	-0.0382887 9.62347e-05	
55.5	24.8346	13	0.111632 0.000113972	0.145035 0.000768188	-0.0736924 0.00161501	0.0287827 0.000131762	0.03904 0.000533313	-0.0395312 0.00189725	
56.5	23.7011	12.5	0.104278 9.08993e-05	0.120502 0.00296498	-0.0371617 0.0074644	0.0267015 6.97369e-05	0.0461174 0.000163809	-0.0676881 0.00101449	
57.5	22.4432	12	0.110952 2.96189e-05	0.118143 0.000217176	-0.0167054 0.000449782	0.0291555 0.000256804	0.047745 0.00106558	-0.0682812 0.00419699	
58.5	21.6996	11.5	0.107997 1.43867e-05	0.130601 0.000112422	-0.0489338 0.00020972	0.0252881 1.58187e-06	0.0404401 8.10618e-06	-0.0582902 2.31206e-05	
59.5	20.7852	11	0.0908896 0.000160114	0.119077 0.00112929	-0.0620687 0.00284022	0.0225759 4.9342e-05	0.0384006 0.000332536	-0.0584204 0.00143258	
60.5	19.5594	10.5	0.0981214 8.60522e-05	0.129032 0.00780317	-0.0709255 0.0129987	0.0243574 0.000109049	0.0375765 0.000357852	-0.0483496 0.000951409	
61.5	18.8833	10	0.086482 0.000137944	0.100882 0.00026552	-0.0335344 0.000250296	0.0224789 0.000136969	0.0365771 0.000484646	-0.0539981 0.0013609	
62.5	17.435	9.5	0.0951914 0.000162168	0.118482 0.000472198	-0.0521312 0.000123429	0.0209652 7.69479e-06	0.035958 3.10216e-05	-0.0587209 8.81027e-05	
63.5	16.7762	9	0.0788855 0.000262888	0.110873 0.000399999	-0.0706485 0.000269295	0.0209774 3.38811e-05	0.040386 8.93103e-05	-0.0638587 0.000208047	
64.5	15.6577	9	0.0773845 0.000392424	0.11287 0.000685906	-0.0740222 3.96223e-05	0.0189114 3.40604e-05	0.0376708 2.12763e-06	-0.0612322 6.98293e-05	
65.5	14.8497	8.5	0.0734187 2.80671e-05	0.116047 0.00921223	-0.0936649 0.0136078	0.020365 1.05256e-05	0.0370781 4.29503e-05	-0.0600761 0.000110562	
66.5	14.0573	8	0.0747232 0.000625656	0.0999254 0.00393975	-0.0557708 0.00591539	0.0158767 5.82008e-05	0.029958 0.000249088	-0.0490542 0.000662525	
67.5	13.1555	8	0.0684604 6.0106e-05	0.107644 0.000631939	-0.0828045 0.00147043	0.0158392 1.851e-06	0.035173 6.91071e-05	-0.0700212 0.000200847	
68.5	12.3704	7.5	0.0807401 0.000281779	0.124376 0.0124694	-0.0949965 0.0194357	0.0211965 3.26217e-05	0.0367982 0.000139041	-0.0597035 0.000374429	
69.5	11.6351	7	0.0691638 0.000231727	0.126461 0.000639316	-0.126261 0.000756583	0.0154427 9.53917e-05	0.0347386 0.00020102	-0.0675508 0.00041996	
70.5	11.0455	7	0.0690329 0.000320617	0.098256 0.00170596	-0.0636389 0.00364195	0.0172395 0.000194806	0.0342478 0.000122085	-0.0608018 0.00122764	
71.5	10.3058	6.5	0.0571909 3.99598e-05	0.107345 9.84967e-05	-0.107479 0.000154432	0.0105231 2.17151e-05	0.0249535 2.25931e-05	-0.044882 3.91393e-05	
72.5	9.55294	6	0.0667248 0.000318666	0.108773 0.000229745	-0.0932036 0.000692288	0.0182617 6.42901e-05	0.0333771 4.66613e-05	-0.0574439 7.32089e-05	
73.5	8.85423	6	0.0616707 0.000259438	0.123452 0.000238518	-0.12839 0.000393194	0.0116562 3.82083e-05	0.0306437 7.00884e-05	-0.0541487 0.000134424	
74.5	8.39308	5.5	0.0615449 0.000470814	0.134618 5.10167e-05	-0.155799 0.00153734	0.0146422 6.8574e-05	0.0301614 0.000130232	-0.049903 0.000252882	
75.5	7.74491	5	0.0622398 6.58602e-06	0.114866 0.00021898	-0.1079 0.000401056	0.0121624 3.14094e-08	0.0247796 2.35669e-08	-0.0456699 5.61216e-08	
76.5	7.19523	5	0.05346 0.00011048	0.113899 6.2605e-05	-0.126063 0.000387775	0.0100914 3.5376e-05	0.0258583 8.3265e-05	-0.0521878 0.000196458	
77.5	6.736	5	0.0604182 0.000270335	0.114085 0.000816509	-0.123187 0.00120178	0.0110528 2.9383e-05	0.0282325 6.9305e-05	-0.0516547 0.000145153	
78.5	6.25956	4.5	0.0605947 4.20377e-06	0.112322 3.07563e-05	-0.119624 5.70706e-05	0.0117147 1.10069e-06	0.0269447 4.57998e-06	-0.0556524 1.15595e-05	
79.5	5.76417	4	0.0531756 4.13323e-06	0.114111 4.79894e-05	-0.13874 8.81384e-05	0.00888744 3.98738e-07	0.023494 2.15468e-06	-0.0497825 5.21916e-06	
80.5	5.31796	4	0.0590902 4.5975e-11	0.112489 2.99512e-10	-0.123625 5.37811e-10	0.0110887 2.60427e-12	0.0283891 9.07283e-12	-0.0517818 1.93547e-11	
81.5	4.86412	4	0.0472379 0.000478935	0.116645 0.000600555	-0.151761 0.00257381	0.00889097 0.000239489	0.0238269 0.000407822	-0.0519505 0.000729112	
82.5	4.46141	4	0.0391557 0.000524801	0.111277 0.00285374	-0.140448 0.00421494	0.00582394 0.000133565	0.017923 0.000412451	-0.0338916 0.000779207	
83.5	4.07392	3.5	0.0515614 0.000252414	0.106697 6.01799e-05	-0.128836 0.000710254	0.00636722 0.000194757	0.0181076 0.000448631	-0.0385489 0.000934819	
84.5	3.73875	3	0.0415134 0.000298748	0.0948658 0.000558495	-0.120566 0.000700318	0.00575104 5.56458e-05	0.0148294 9.84826e-05	-0.0280202 0.000186436	
85.5	3.40477	3	0.0388008 0.000115359	0.100399 0.00116321	-0.137527 0.00244646	0.00694343 8.50694e-05	0.0168381 9.12705e-06	-0.0332391 0.000272209	
86.5	3.06049	3	0.0391364 1.1814e-08	0.108899 1.32283e-07	-0.150941 2.20203e-07	0.00389393 4.31211e-11	0.0139806 1.66152e-10	-0.0315374 3.80611e-10	
87.5	2.72456	3	0.0368415 2.49725e-05	0.111034 0.000115204	-0.150207 0.000190182	0.00330966 1.44856e-05	0.0111216 3.94869e-05	-0.0249169 9.19446e-05	
88.5	2.46946	2.5	0.0368888 7.67554e-05	0.103359 0.00031946	-0.135892 0.000536931	0.00562433 9.69808e-05	0.012053 0.000147552	-0.0268851 0.00032163	
89.5	2.17627	2	0.0345109 1.42445e-10	0.10251 4.69263e-09	-0.14376 7.74323e-09	0.00366273 2.41611e-12	0.00914209 7.10087e-12	-0.0204124 1.7087e-11	
90.5	1.89894	2	0.0376518 2.49294e-06	0.103064 0.000111314	-0.144727 0.000188256	0.00307028 6.13799e-06	0.00825248 2.34309e-06	-0.021006 5.76573e-06	
91.5	1.65278	2	0.046352 4.1772e-09	0.0978041 2.40941e-08	-0.153036 5.06319e-08	0.00326089 5.03199e-11	0.00796279 1.2954e-10	-0.015881 2.69312e-10	
92.5	1.40252	2	0.0389569 5.50062e-09	0.0847993 3.20682e-09	-0.125504 5.87095e-09	0.00179614 5.38628e-12	0.00426303 1.29453e-11	-0.0120246 3.7468e-11	
93.5	1.18734	2	0.0177517 8.06198e-05	0.0673962 0.000452636	-0.104858 0.000794528	0.000272718 1.72479e-05	0.000977652 4.82205e-05	-0.00159663 7.78492e-05	
94.5	0.969473	2	0.0230053 2.9294e-08	0.0614954 1.94261e-07	-0.0882882 3.04706e-07	-0.000160357 6.34353e-10	-0.000220263 1.47666e-09	0.000188054 2.64427e-09	
95.5	0.760575	2	0.0192783 1.4576e-07	0.0546189 1.21317e-06	-0.0837217 1.94012e-06	-0.000389362 3.09229e-10	-0.00130769 1.1101e-09	0.00246674 2.14345e-09	
96.5	0.561243	2	0.00750247 1.30682e-06	0.0275913 2.11087e-05	-0.0404786 3.31302e-05	-0.000456376 2.08373e-09	-0.00179164 9.01268e-09	0.00338615 1.76496e-08	
97.5	0.384281	2	0.00788358 3.464e-06	0.019335 2.17036e-05	-0.0523288 6.56321e-05	-0.00315106 7.12036e-09	-0.00520909 3.12045e-08	0.0737522 8.36053e-07	
98.5	0.19303	2	0.00190671 3.46192e-07	0.00559013 2.54184e-06	-0.0161907 7.75159e-06	-0.000312463 2.55342e-10	-0.00107568 1.38348e-09	0.0118253 1.69399e-08	
99.5	0.0491761	0	3.06058e-05 3.40604e-07	-4.3929e-05 3.48412e-07	0.013434 2.55061e-05	0.000150762 5.64993e-07	0.000158879 3.99684e-06	-0.0226857 0.00958714	
