Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	209.086	74	1.56975 0.0300237
7.5	168.417	64	1.74039 0.0331838
12.5	141.349	56.5	1.82545 0.0331141
17.5	118.006	49.5	2.02072 0.0408905
22.5	98.3196	42.5	2.13936 0.0403662
27.5	81.3579	36	2.43665 0.0465698
32.5	67.3962	30.5	2.63074 0.0486041
37.5	55.3185	26	3.02812 0.0573764
42.5	45.2326	22	3.31998 0.0647394
47.5	36.4731	18	3.76643 0.0731393
52.5	29.009	14.5	4.07419 0.0813602
57.5	22.6382	12	4.50579 0.0956315
62.5	17.6488	10	4.69234 0.102798
67.5	13.2292	8	4.91615 0.118747
72.5	9.61075	6	5.23039 0.128408
77.5	6.74343	4.5	6.21874 0.167896
82.5	4.51223	3.5	6.84577 0.205276
87.5	2.76352	2.5	9.0951 0.349803
92.5	1.43154	2	17.0638 0.716628
97.5	0.419767	2	28.4702 2.64241
