Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
68.5	12.3704	7.5	-0.919519 0.049835	-1.03777 0.0673797	-1.17954 0.0437052	
69.5	11.6351	7	-0.930292 0.0531972	-1.13342 0.0592034	-1.23198 0.0501087	
70.5	11.0455	7	-1.02253 0.0487647	-1.03471 0.0502274	-1.21463 0.0495156	
71.5	10.3058	6.5	-1.06996 0.0450442	-1.07422 0.0461899	-1.31505 0.0539262	
72.5	9.55294	6	-0.959622 0.048643	-1.08476 0.0488674	-1.23217 0.0450002	
73.5	8.85423	6	-1.03129 0.0490439	-1.12063 0.0518889	-1.31283 0.0526516	
74.5	8.39308	5.5	-1.08009 0.0460284	-1.1701 0.0446846	-1.34708 0.0489435	
75.5	7.74491	5	-1.1116 0.0461129	-1.15573 0.0444465	-1.40644 0.0535493	
76.5	7.19523	5	-1.14826 0.0452611	-1.14312 0.0480078	-1.40806 0.0557071	
77.5	6.736	5	-1.1465 0.0454586	-1.26091 0.0465044	-1.37902 0.0539731	
78.5	6.25956	4.5	-1.15376 0.0478762	-1.23577 0.0513204	-1.4115 0.0596706	
79.5	5.76417	4	-1.25439 0.0474726	-1.30635 0.0569888	-1.5025 0.061654	
80.5	5.31796	4	-1.19711 0.0477124	-1.33599 0.0565751	-1.42144 0.0546464	
81.5	4.86412	4	-1.22904 0.0494232	-1.30159 0.0497768	-1.51172 0.0601587	
82.5	4.46141	4	-1.31607 0.050882	-1.35884 0.0553817	-1.53872 0.0600383	
83.5	4.07392	3.5	-1.25178 0.0482704	-1.3182 0.0571541	-1.55768 0.0636312	
84.5	3.73875	3	-1.39481 0.0557973	-1.4024 0.0722376	-1.67152 0.0693872	
85.5	3.40477	3	-1.3793 0.052166	-1.40561 0.0683105	-1.68933 0.0826279	
86.5	3.06049	3	-1.36978 0.0565615	-1.55467 0.0794489	-1.73867 0.0997605	
87.5	2.72456	3	-1.36222 0.0537629	-1.46312 0.05734	-1.77647 0.099546	
88.5	2.46946	2.5	-1.52066 0.0597405	-1.59463 0.0741096	-1.92262 0.095184	
89.5	2.17627	2	-1.52668 0.0627748	-1.65265 0.0747962	-1.88425 0.159808	
90.5	1.89894	2	-1.52808 0.0576984	-1.50316 0.0592975	-1.80163 0.122257	
91.5	1.65278	2	-1.46232 0.0596419	-1.57685 0.0689764	-1.51526 0.0602545	
92.5	1.40252	2	-1.52647 0.0623346	-1.59979 0.0749024	-1.53165 0.0653817	
93.5	1.18734	2	-1.6828 0.0813499	-1.85797 0.107004	-1.66176 0.0835541	
94.5	0.969473	2	-1.80886 0.0860252	-1.77144 0.089908	-1.95762 0.101439	
95.5	0.760575	2	-1.71495 0.0831879	-1.84102 0.114947	-1.92117 0.128838	
96.5	0.561243	2	-1.91801 0.111791	-2.004 0.124023	-2.38375 0.176095	
97.5	0.384281	2	-2.12448 0.14063	-2.06591 0.136253	-1.99454 0.103133	
98.5	0.19303	2	-2.61051 0.236719	-2.43955 0.168513	-2.5057 0.335231	
99.5	0.0491761	0	-1.26527 0.105774	-0.92037 0.0740738	-1.00348 0.092614	
