Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
27.5	80.6609	36.5	-2.54635e-07 9.95052e-08	4.46797e-06 3.14972e-06	1.65005e-07 1.38852e-07	-1.49564e-08 6.57764e-09	1.9328e-10 2.44555e-10	-9.62357e-11 4.63727e-11	
28.5	78.3433	35.5	-2.93394e-07 9.10416e-08	1.09918e-05 2.63007e-06	1.91955e-07 6.98469e-08	-4.08221e-09 4.54392e-09	-2.28648e-10 3.59887e-10	-6.20606e-11 4.84737e-11	
29.5	75.2744	34	-6.65978e-07 1.80538e-07	7.85029e-06 3.5549e-06	1.17826e-07 9.08005e-08	-2.89673e-08 1.32171e-08	2.53652e-10 2.96979e-10	-4.62187e-10 2.34477e-10	
30.5	73.3791	32.5	-5.53215e-07 1.4069e-07	1.10382e-05 2.84168e-06	1.2102e-07 7.49048e-08	-1.9735e-08 9.33047e-09	1.12262e-10 2.44387e-10	-2.39391e-10 1.09827e-10	
31.5	70.0113	31.5	-5.26886e-07 2.13443e-07	9.40601e-06 2.32296e-06	1.06899e-07 7.22499e-08	-9.03004e-09 4.41571e-09	-3.32092e-10 3.08914e-10	-9.43118e-11 4.645e-11	
32.5	67.2941	30.5	-7.28512e-07 2.52354e-07	9.01592e-06 3.45079e-06	1.40485e-07 6.56757e-08	-1.31894e-08 8.33951e-09	-2.56283e-10 4.55802e-10	-1.96451e-10 7.81818e-11	
33.5	64.4857	29.5	-3.49815e-07 1.19279e-07	9.43849e-06 3.41558e-06	5.49738e-08 5.70387e-08	-5.40766e-09 6.38835e-09	-1.81145e-10 2.1703e-10	-9.10137e-11 4.42347e-11	
34.5	62.3203	28.5	-4.59727e-07 1.11792e-07	1.24569e-05 2.89111e-06	1.67256e-07 5.26132e-08	-1.45828e-08 5.75126e-09	-7.42969e-10 5.09992e-10	-1.1402e-10 4.04812e-11	
35.5	59.8953	27.5	-3.33983e-07 8.76529e-08	9.88434e-06 3.13047e-06	-5.22337e-08 5.77248e-08	-2.26033e-08 8.02942e-09	1.12362e-10 1.47674e-10	-9.89009e-11 3.14862e-11	
36.5	57.0291	26.5	-6.52285e-07 2.244e-07	1.3185e-05 3.32465e-06	6.34081e-08 4.38206e-08	-2.49258e-08 7.80697e-09	1.92604e-10 2.26238e-10	-1.34513e-10 5.18095e-11	
37.5	54.3925	26	-4.19661e-07 1.20457e-07	1.85436e-05 3.59429e-06	1.44594e-07 4.06525e-08	-1.99242e-08 8.40896e-09	3.56063e-10 1.40166e-10	-2.32722e-10 9.85032e-11	
38.5	52.8243	25.5	-4.81096e-07 1.25527e-07	8.96762e-06 2.57119e-06	2.41703e-08 3.67637e-08	-1.8612e-08 6.34238e-09	-3.04289e-10 4.22434e-10	-1.06704e-10 3.19195e-11	
39.5	52.124	24.5	-1.78574e-07 5.22578e-08	7.65548e-06 3.5509e-06	1.65259e-08 3.27054e-08	-2.50316e-08 1.14874e-08	-3.02803e-10 2.70224e-10	-1.22923e-10 4.9582e-11	
40.5	49.3724	23.5	-4.76581e-07 1.37897e-07	9.087e-06 3.26281e-06	5.52347e-08 4.67228e-08	-1.66281e-08 6.40815e-09	-2.26771e-10 1.65646e-10	-2.07113e-10 6.2329e-11	
41.5	47.3815	22.5	-5.05148e-07 1.27557e-07	1.0151e-05 3.38949e-06	2.27721e-08 2.90684e-08	-4.66074e-08 1.91205e-08	-1.27093e-10 2.17743e-10	-2.07294e-10 8.65885e-11	
42.5	44.917	21.5	-3.9179e-07 9.13751e-08	1.14218e-05 2.63127e-06	-8.69204e-09 3.62495e-08	-2.28618e-08 8.90341e-09	-3.91427e-10 2.21254e-10	-9.53395e-11 2.69473e-11	
43.5	42.7305	21	-1.72924e-07 5.69691e-08	8.84937e-06 3.82159e-06	-1.3636e-08 3.1836e-08	-2.66982e-08 7.2462e-09	-9.99913e-11 1.29199e-10	-7.89157e-11 2.16841e-11	
