Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	367.805	381.5	0.00624512 0.000231959	 0.0224321 0.000439546	 0.0159618 0.000351192	 0.0077518 0.000168733	 0.00334669 7.95373e-05	 0.00136043 3.07492e-05	 
1.5	345.932	365.5	0.00653027 0.000224899	 0.0245307 0.000553796	 0.0163494 0.000368131	 0.00791823 0.000176912	 0.00337947 7.87446e-05	 0.00139989 3.85707e-05	 
2.5	330.542	354.5	0.00679735 0.000230055	 0.0260382 0.000607766	 0.0164634 0.000365644	 0.00810549 0.00017988	 0.00348105 7.45993e-05	 0.00136297 3.35259e-05	 
3.5	317.166	343.5	0.00681104 0.000245451	 0.0290133 0.000656692	 0.0171038 0.000385025	 0.00814422 0.000195078	 0.0032817 7.64577e-05	 0.00144163 3.37325e-05	 
4.5	304.617	333	0.00692547 0.000243282	 0.0322446 0.000696554	 0.0179532 0.000421492	 0.00843524 0.000189206	 0.00346475 7.85699e-05	 0.00156571 3.35659e-05	 
5.5	292.919	322.5	0.0068225 0.000228798	 0.0332181 0.000721567	 0.0180901 0.000408399	 0.00841019 0.000171988	 0.00348317 8.23568e-05	 0.00148446 3.75285e-05	 
6.5	280.808	312	0.00741882 0.000271728	 0.0346191 0.000663813	 0.0184245 0.000399437	 0.00817845 0.000170061	 0.00347497 7.77022e-05	 0.00145419 3.84783e-05	 
7.5	270.727	302	0.0074984 0.000281517	 0.0378809 0.000815463	 0.0183867 0.000429109	 0.00880678 0.000191246	 0.00349635 8.04069e-05	 0.0015754 3.71968e-05	 
8.5	260.232	292.5	0.00750803 0.000270294	 0.0379974 0.000708463	 0.0198777 0.000458226	 0.00888438 0.000200964	 0.0035831 8.17129e-05	 0.00154852 3.86333e-05	 
9.5	250.843	283	0.00771556 0.000255147	 0.0420453 0.000767889	 0.0190886 0.000420954	 0.0094205 0.000209305	 0.00365244 8.41589e-05	 0.00156543 4.50697e-05	 
10.5	241.248	273.5	0.00740568 0.000250536	 0.0456071 0.000889828	 0.0191644 0.000427013	 0.00860801 0.000192545	 0.00357173 8.33688e-05	 0.00154958 3.93583e-05	 
11.5	232.139	265	0.00806064 0.000304601	 0.0454707 0.00080388	 0.0196369 0.000396453	 0.00890378 0.000200551	 0.00380287 8.30214e-05	 0.00162244 4.05516e-05	 
12.5	223.692	256.5	0.00856868 0.000284452	 0.0491531 0.000839973	 0.0198608 0.000392955	 0.00934422 0.000195226	 0.00367499 7.74486e-05	 0.0017365 4.32364e-05	 
