Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	302.193	335	6.10485e-14 1.87499e-14	-4.02084e-11 2.3257e-11	-4.35836e-13 5.69704e-13	2.17752e-14 2.09981e-14	4.36408e-17 5.23431e-17	4.22669e-18 3.19163e-18	
15	204.327	238.5	3.11331e-13 1.37007e-13	4.2643e-09 3.07165e-10	4.46384e-13 1.08477e-12	1.14047e-14 1.48334e-14	-1.07817e-17 5.69625e-17	-7.85002e-19 7.00968e-19	
25	139.454	169	3.66242e-13 1.67859e-13	2.38729e-08 1.25328e-09	6.97632e-13 1.81031e-12	8.85325e-15 1.66359e-14	-5.50847e-17 9.76083e-17	8.31881e-18 4.84985e-18	
35	91.4231	116	8.94557e-13 3.32034e-13	4.68824e-08 2.55872e-09	-3.80007e-13 2.10594e-12	-5.57941e-15 2.86945e-14	1.87753e-16 2.63942e-16	7.6789e-18 3.65046e-18	
45	57.4595	76	3.16663e-12 2.07142e-12	4.78213e-08 3.34849e-09	-8.7189e-13 1.62652e-12	4.84354e-15 5.7869e-14	3.38518e-16 3.91915e-16	2.96558e-17 1.4731e-17	
55	33.3267	46.5	2.27408e-12 6.10761e-13	1.98625e-08 2.5007e-09	-3.10063e-12 8.97237e-13	1.8949e-13 6.4831e-14	-6.67115e-18 8.81209e-17	2.60723e-17 6.30662e-18	
65	17.3918	26	1.58463e-12 3.64282e-13	3.17564e-09 1.15239e-09	-5.84462e-13 2.85596e-13	1.12011e-14 1.6968e-14	7.75382e-17 3.4823e-17	3.77672e-18 1.15981e-18	
75	7.78817	13.5	2.92089e-12 5.96087e-13	-4.46236e-09 2.64526e-10	-3.77503e-14 2.70067e-14	1.981e-14 4.5846e-15	2.33974e-17 7.74506e-18	2.47326e-19 8.74283e-20	
85	2.76914	6.5	3.00132e-13 1.08019e-13	-7.70838e-11 2.37209e-11	3.96127e-15 5.92707e-16	6.32223e-17 1.53089e-17	1.12597e-19 4.94217e-20	1.0054e-20 3.16944e-21	
95	0.599908	3	8.51368e-18 1.70381e-18	2.94404e-12 4.07443e-13	1.71451e-20 3.97888e-21	2.79067e-23 3.81165e-24	5.12464e-25 7.88282e-26	1.88155e-25 3.33072e-26	
