Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	367.805	381.5	1.40536 0.0416081
1.5	345.932	365.5	1.5004 0.0435694
2.5	330.542	354.5	1.58158 0.0528909
3.5	317.166	343.5	1.69631 0.0529801
4.5	304.617	333	1.79603 0.05804
5.5	292.919	322.5	1.83626 0.0557449
6.5	280.808	312	1.87897 0.0534899
7.5	270.727	302	2.06024 0.0642507
8.5	260.232	292.5	1.91156 0.0589444
9.5	250.843	283	2.20264 0.0631878
10.5	241.248	273.5	2.37979 0.0701549
11.5	232.139	265	2.31558 0.0621207
12.5	223.692	256.5	2.47489 0.0665537
13.5	215.093	248	2.4431 0.0709053
14.5	206.948	240	2.45066 0.0721
15.5	199.378	232	2.49508 0.0721542
16.5	192.244	224	2.54276 0.071236
17.5	184.874	216.5	2.77454 0.0816509
18.5	178.383	209.5	2.71388 0.0741185
19.5	171.548	202.5	2.78314 0.0778019
20.5	165.101	195.5	2.88707 0.0788366
21.5	158.6	188.5	2.8896 0.0781116
22.5	152.689	182	2.85653 0.0770273
23.5	146.597	176	2.95361 0.0849594
24.5	141.192	170	2.94182 0.085604
25.5	135.747	164	2.8419 0.0779038
26.5	130.283	158	3.01118 0.0884437
27.5	125.145	152	3.20168 0.0941117
28.5	120.291	146.5	3.03759 0.0911895
29.5	115.219	141.5	3.20152 0.0958899
30.5	110.242	136	3.07656 0.09414
31.5	106.056	130.5	3.16174 0.0886246
32.5	101.419	126	3.01799 0.0879926
33.5	97.2484	121.5	3.14259 0.0986277
34.5	93.2998	116.5	3.26052 0.0925851
35.5	88.9135	112	3.37505 0.0953388
36.5	85.4122	107.5	3.41475 0.0969589
37.5	81.3808	103	3.34697 0.0935681
38.5	77.8225	99	3.37004 0.104974
39.5	74.385	95	3.20986 0.096657
40.5	71.0572	91	3.50908 0.0999653
41.5	67.9782	87	3.58496 0.105243
42.5	64.3778	83	3.48673 0.0998931
43.5	61.3959	79.5	3.42008 0.106243
44.5	58.4296	76	3.33691 0.109288
45.5	55.5157	72.5	3.67884 0.110394
46.5	52.7993	69.5	3.42328 0.106498
47.5	49.9868	66.5	3.68775 0.109572
48.5	47.4533	63.5	3.65106 0.111323
49.5	45.3036	60.5	3.62906 0.115454
50.5	42.7279	57.5	3.72308 0.122862
51.5	40.5886	54.5	3.67536 0.112174
52.5	38.1032	51.5	3.54992 0.116479
53.5	35.7739	49	3.78944 0.128353
54.5	34.2041	46.5	3.90598 0.119265
55.5	31.9677	44	3.9347 0.127639
56.5	30.193	42	4.00254 0.129143
57.5	28.2317	39.5	4.10787 0.130022
58.5	26.6862	37	4.18726 0.131539
59.5	24.9607	35	4.0101 0.137277
60.5	23.4533	33	4.25156 0.151091
61.5	21.9187	31.5	4.18824 0.142424
62.5	20.4602	30	4.28629 0.145815
63.5	19.012	28	4.28015 0.143549
64.5	17.7312	26	4.31052 0.141427
65.5	16.4923	24.5	4.49782 0.151283
66.5	15.3251	23	4.88337 0.172074
67.5	14.1783	21.5	4.92758 0.171366
68.5	13.1793	20	5.00824 0.161894
69.5	12.0896	18.5	5.28729 0.180849
70.5	11.2014	17.5	5.40158 0.186357
71.5	10.3582	16.5	5.16377 0.180015
72.5	9.45825	15.5	5.44946 0.194447
73.5	8.67306	14.5	5.44462 0.182711
74.5	7.90895	13.5	5.98944 0.212122
75.5	7.21476	12.5	5.86739 0.226637
76.5	6.57323	11.5	6.41037 0.238623
77.5	5.95007	10.5	6.56053 0.248874
78.5	5.38058	9.5	7.0126 0.263481
79.5	4.89626	9	7.25455 0.279422
80.5	4.42096	8.5	7.00532 0.254133
81.5	3.94546	7.5	8.01604 0.316328
82.5	3.58676	7	8.08888 0.315468
83.5	3.18999	6.5	8.42721 0.32883
84.5	2.84187	6	9.62382 0.385452
85.5	2.5191	5.5	10.8234 0.436379
86.5	2.21848	5	12.6518 0.53114
87.5	1.94866	4.5	12.4307 0.502483
88.5	1.69084	4	15.044 0.596156
89.5	1.46869	4	20.3632 0.91766
90.5	1.25875	3.5	26.0718 1.15248
91.5	1.06056	3	31.8561 1.38588
92.5	0.877042	2.5	40.0022 2.35065
93.5	0.715522	2	37.6734 3.30285
94.5	0.55671	2	24.1429 1.60392
95.5	0.40909	2	17.6974 1.28498
96.5	0.279757	2	12.5673 1.06818
97.5	0.160607	2	11.2938 1.6458
98.5	0.0538206	2	2.19856 0.157511
99.5	nan	0	nan nan
