Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	333.384	360	0.209982 6.13979e-06	0.208418 2.60355e-05	0.0518965 0.00251233	0.133804 9.25179e-06	0.135359 2.33281e-05	-0.0569571 0.000348221	
7.5	270.864	303	0.194149 2.46916e-05	0.186049 4.11625e-05	0.142251 0.000446554	0.121524 1.98143e-05	0.123398 0.000654713	-0.0471545 0.0112764	
12.5	223.676	257	0.187581 1.09856e-05	0.175546 0.000570927	0.131151 0.00546795	0.113426 1.56942e-05	0.117782 8.7326e-06	-0.0894326 0.00100773	
17.5	185.505	217.5	0.183522 1.50313e-05	0.167503 0.000726217	0.129951 0.004806	0.103023 1.23209e-06	0.105009 1.17379e-06	-0.0321914 8.19653e-05	
22.5	152.831	183	0.177565 1.55398e-06	0.159722 2.56212e-05	0.113289 0.000440317	0.0941782 1.10109e-07	0.0977214 3.52677e-06	-0.0477801 0.000126939	
27.5	125.265	153	0.172795 9.41577e-07	0.148387 0.00115583	0.125746 0.00444063	0.0864143 9.36143e-06	0.0892347 3.18262e-05	-0.032561 0.000268223	
32.5	101.408	126.5	0.164588 1.6292e-05	0.139955 7.69756e-05	0.106542 0.000377005	0.0788128 6.42176e-06	0.0821375 2.03386e-05	-0.0310278 0.000138245	
37.5	81.667	103.5	0.160177 1.61586e-05	0.132434 0.000535427	0.104111 0.00189682	0.0695294 9.80151e-06	0.0740528 2.66914e-05	-0.0358292 0.000114502	
42.5	64.8002	83.5	0.151489 1.94637e-05	0.121462 0.000138344	0.101586 0.000637445	0.058551 1.57339e-05	0.0651021 6.77759e-05	-0.0435734 0.000450211	
47.5	50.2992	66.5	0.143026 1.71307e-05	0.112523 8.94014e-05	0.0897595 0.000313494	0.0518056 3.99912e-05	0.057066 0.00198086	-0.031436 0.00554581	
52.5	38.2927	52	0.128238 6.43426e-06	0.0947612 2.96428e-05	0.0914124 8.9772e-05	0.0387107 1.17211e-05	0.0488754 5.6598e-05	-0.0484103 0.000259505	
57.5	28.3782	39.5	0.113835 2.41096e-05	0.0874193 0.000782402	0.0651642 0.0016298	0.030451 3.71931e-07	0.038516 4.61045e-06	-0.0353237 2.28464e-05	
62.5	20.4685	29.5	0.0941558 7.98907e-05	0.0883252 0.000803747	0.0134136 0.00104392	0.0219235 9.42295e-06	0.030522 0.000207801	-0.0331281 0.00047144	
67.5	14.2205	21.5	0.0774369 1.79941e-05	0.0904467 0.000274819	-0.0276177 0.000626524	0.0141766 7.35213e-06	0.0240014 3.1882e-05	-0.0364974 8.99319e-05	
72.5	9.51452	15.5	0.0557585 5.05368e-06	0.0965117 0.000353719	-0.0805799 0.000597866	0.0094715 6.87117e-07	0.0184338 9.63089e-05	-0.0290056 0.0002246	
77.5	6.00292	11	0.0417188 7.23356e-06	0.0968451 3.68963e-05	-0.105372 5.93472e-05	0.00535621 4.82269e-07	0.0149022 3.26911e-06	-0.0298243 8.9386e-06	
82.5	3.58266	7.5	0.0293824 8.19356e-06	0.0876466 0.000195467	-0.108862 0.000313733	0.00300643 4.67778e-06	0.00938257 1.55598e-05	-0.0185893 3.11635e-05	
87.5	1.97024	5	0.0197778 2.17346e-05	0.0723206 5.63301e-05	-0.0978276 7.27005e-05	0.00114601 1.19483e-06	0.00368442 3.34057e-06	-0.00703876 6.57353e-06	
92.5	0.887543	3	0.0117921 4.22886e-12	0.0484778 2.36502e-11	-0.0675099 3.61352e-11	-1.92755e-05 3.37318e-14	2.71655e-05 1.45235e-13	-0.00012101 2.90541e-13	
97.5	0.239351	2	0.00212395 1.17911e-10	0.0103231 1.44581e-09	-0.0146774 2.14625e-09	-0.000157121 1.77331e-11	-0.000560108 7.58954e-11	0.000951121 1.37302e-10	
