Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	1200.23	363	0.00872234 5.59045e-05	 0.0282203 0.000129853	 0.0221479 9.7042e-05	 0.0138174 5.99657e-05	 0.00728732 3.09865e-05	 0.00385178 1.69856e-05	 
15	639.876	267.5	0.0167353 0.000196295	 0.0660067 0.000409393	 0.0305564 0.000247963	 0.0178524 0.000138079	 0.0089973 6.94239e-05	 0.00477717 3.87739e-05	 
25	432.835	191.5	0.0204627 0.000235421	 0.0848529 0.00046814	 0.0333072 0.000263308	 0.0192339 0.00014811	 0.00975618 7.64418e-05	 0.00525476 4.39935e-05	 
35	281.254	132	0.0252021 0.000321194	 0.0960802 0.000560862	 0.035464 0.000293496	 0.0200913 0.000159955	 0.00996777 8.14201e-05	 0.00530479 4.72985e-05	 
45	173.463	87	0.0291816 0.000428672	 0.100287 0.000636909	 0.0356162 0.000307017	 0.0196676 0.000170814	 0.00960594 8.61566e-05	 0.00509364 4.81424e-05	 
55	99.0991	54	0.0330707 0.000484908	 0.101257 0.000714165	 0.0322527 0.000291368	 0.0189436 0.000190676	 0.00842536 7.97906e-05	 0.00459902 5.13357e-05	 
65	52.2076	30.5	0.0329781 0.000542131	 0.0938574 0.000751426	 0.0258764 0.000258678	 0.0167966 0.000195241	 0.00665615 7.04286e-05	 0.00378232 4.87645e-05	 
75	23.953	15.5	0.0275883 0.000597198	 0.0759645 0.000801297	 0.0168788 0.000222047	 0.0132014 0.00018946	 0.00428821 5.67872e-05	 0.00266359 4.33342e-05	 
85	8.64243	7	0.0184195 0.000634177	 0.0461646 0.000915995	 0.00810421 0.000163698	 0.0062566 0.000157232	 0.0017464 4.04458e-05	 0.0011613 2.641e-05	 
95	2.09161	3	0.00242282 0.000146131	 0.0176027 0.000723311	 0.00148971 7.72419e-05	 0.000457043 2.86985e-05	 0.000186616 1.02889e-05	 0.000213473 1.17821e-05	 
