Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	1214.52	388.5	1.25012 0.00770755
7.5	854.022	335.5	1.69911 0.0240337
12.5	705.13	287.5	2.05688 0.028988
17.5	582.893	245	2.26088 0.0302908
22.5	477.164	207	2.43447 0.0324662
27.5	388.209	173.5	2.66288 0.036293
32.5	314.597	144	2.71121 0.0376009
37.5	249.08	118	2.77375 0.0398726
42.5	196.592	96	2.77903 0.041583
47.5	150.488	77	2.89955 0.0421006
52.5	113.222	60.5	3.05753 0.046675
57.5	83.4906	46.5	3.30711 0.0548886
62.5	60.411	34.5	3.44414 0.0568014
67.5	42.8397	25	3.9436 0.0711992
72.5	28.3459	18	4.47485 0.0837214
77.5	18.6255	12.5	4.69568 0.100207
82.5	11.0695	8	5.0733 0.114677
87.5	5.97924	5	5.90718 0.175126
92.5	2.7189	3	9.27784 0.3732
97.5	nan	2	nan nan
