Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	1214.52	388.5	0.00852911 5.53284e-05	 0.0273577 0.000121782	 0.021884 9.63805e-05	 0.0137208 6.06668e-05	 0.00724676 3.13475e-05	 0.00382705 1.71542e-05	 
7.5	854.022	335.5	0.0133484 0.000191218	 0.0463876 0.00041565	 0.0273011 0.000299814	 0.0162593 0.000159057	 0.00826948 8.64425e-05	 0.00435238 4.61281e-05	 
12.5	705.13	287.5	0.0155859 0.000242998	 0.0603832 0.000505685	 0.0293567 0.000318796	 0.017442 0.000182747	 0.0087768 8.98215e-05	 0.00462216 5.07068e-05	 
17.5	582.893	245	0.0172899 0.000265869	 0.0709821 0.000554015	 0.0313958 0.000331816	 0.0181103 0.000185241	 0.00913504 9.35386e-05	 0.004873 5.19978e-05	 
22.5	477.164	207	0.0194854 0.000288814	 0.0806585 0.000588073	 0.0331318 0.000346783	 0.0188086 0.000185252	 0.00960738 9.86661e-05	 0.00515657 5.60688e-05	 
27.5	388.209	173.5	0.021235 0.000317243	 0.088619 0.000637239	 0.0332794 0.000354079	 0.0196903 0.000204103	 0.00977979 0.000101359	 0.00529118 6.02319e-05	 
32.5	314.597	144	0.0238759 0.000385734	 0.0951926 0.000705815	 0.0351107 0.000368904	 0.0202367 0.000210347	 0.0100733 0.000106387	 0.00526549 5.91327e-05	 
37.5	249.08	118	0.0259444 0.000416712	 0.0983268 0.000745014	 0.0354491 0.000381427	 0.0201363 0.000206388	 0.0098019 0.000102369	 0.00531038 6.0236e-05	 
42.5	196.592	96	0.0277631 0.000495646	 0.099724 0.000787168	 0.0358845 0.000391661	 0.0199445 0.000208081	 0.00968692 0.000108639	 0.00516502 5.86195e-05	 
47.5	150.488	77	0.0301378 0.000536894	 0.102286 0.000795971	 0.0352765 0.000367086	 0.0194593 0.000214594	 0.00948125 0.000104694	 0.00491558 5.90997e-05	 
52.5	113.222	60.5	0.0309973 0.000534295	 0.101987 0.000840364	 0.033356 0.000356551	 0.0190635 0.000229474	 0.00881276 9.91398e-05	 0.00469575 6.11808e-05	 
57.5	83.4906	46.5	0.0327601 0.000586737	 0.100851 0.000895596	 0.0304952 0.000349367	 0.01854 0.000231536	 0.00787736 9.30085e-05	 0.00439968 6.17179e-05	 
62.5	60.411	34.5	0.0324124 0.000617568	 0.0960291 0.000881566	 0.0278819 0.000310989	 0.0171034 0.000222851	 0.00713394 9.02233e-05	 0.00384655 5.7433e-05	 
67.5	42.8397	25	0.0319938 0.000636095	 0.0915304 0.00088384	 0.0232099 0.000303698	 0.0163278 0.000233567	 0.00607602 8.14922e-05	 0.00362442 5.92191e-05	 
72.5	28.3459	18	0.0293621 0.000642935	 0.082205 0.000867704	 0.0183704 0.000257979	 0.0144255 0.000217852	 0.00482605 6.83234e-05	 0.0029624 5.19137e-05	 
77.5	18.6255	12.5	0.0246202 0.0006378	 0.0666025 0.000936609	 0.0141838 0.000229565	 0.0111603 0.000205842	 0.0035032 5.86108e-05	 0.00219162 4.38074e-05	 
82.5	11.0695	8	0.0201691 0.000614794	 0.0497227 0.00089986	 0.00980086 0.000184527	 0.00720258 0.000165875	 0.00224746 4.55127e-05	 0.00134759 2.90539e-05	 
87.5	5.97924	5	0.013267 0.000540211	 0.0344455 0.000915598	 0.00583113 0.000156467	 0.00380221 0.000130451	 0.00100904 3.19966e-05	 0.000782028 2.11597e-05	 
92.5	2.7189	3	0.00451319 0.00025161	 0.0213928 0.000742833	 0.0023058 9.43728e-05	 0.00092075 5.99548e-05	 0.000294934 1.19644e-05	 0.000313481 1.27676e-05	 
97.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
