Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	1214.52	388.5	0.261134 1.22444e-06	0.264642 2.84942e-06	-0.184683 5.36613e-05	0.204223 6.63011e-07	0.205775 1.92882e-06	-0.0760261 6.78837e-05	
7.5	854.022	335.5	0.243123 4.66793e-05	0.241764 6.63634e-05	0.0245265 0.000723884	0.189268 2.71838e-05	0.188162 7.90861e-05	0.0295569 0.00141643	
12.5	705.13	287.5	0.237369 2.12096e-05	0.227487 0.00668814	0.1108 0.0329362	0.177369 7.55572e-06	0.181168 1.86484e-05	-0.0800338 0.000113743	
17.5	582.893	245	0.232117 2.03391e-05	0.219896 8.9916e-05	0.0986195 0.000414573	0.166695 8.47521e-06	0.167521 3.83657e-05	-0.0143242 0.00102018	
22.5	477.164	207	0.228939 5.054e-06	0.210889 0.000647427	0.113815 0.00418394	0.15536 1.57895e-05	0.158094 3.92036e-05	-0.0368805 0.000215861	
27.5	388.209	173.5	0.222387 1.96558e-07	0.201936 0.000231462	0.103853 0.00176815	0.141185 1.08334e-05	0.145217 0.000108316	-0.0463959 0.00157826	
32.5	314.597	144	0.217525 6.48519e-06	0.191173 4.87808e-05	0.111616 0.000164497	0.132943 2.14145e-05	0.135221 2.42873e-05	-0.0219385 0.000285978	
37.5	249.08	118	0.210224 2.52633e-05	0.180841 0.000367701	0.108813 0.00170498	0.120366 1.61523e-05	0.124018 0.000394054	-0.0283572 0.00259512	
42.5	196.592	96	0.200322 1.61122e-05	0.164978 0.000101524	0.116544 0.000547056	0.108664 2.19911e-05	0.112684 0.00090261	-0.0255652 0.00362755	
47.5	150.488	77	0.192447 1.19726e-05	0.155478 0.000232664	0.108855 0.0010236	0.0979096 1.26787e-05	0.103758 0.000187066	-0.0325816 0.00107546	
52.5	113.222	60.5	0.179309 7.70133e-06	0.140826 0.000186363	0.101913 0.000867068	0.082279 9.3576e-06	0.0894683 8.64637e-06	-0.0347505 8.68558e-05	
57.5	83.4906	46.5	0.166554 1.02388e-05	0.125676 0.000124734	0.0965648 0.000543269	0.067398 1.08845e-05	0.0766686 4.23569e-05	-0.0406102 0.000165762	
62.5	60.411	34.5	0.150482 6.05649e-07	0.123612 0.000774744	0.0602018 0.00174571	0.055131 4.32895e-07	0.0687929 3.15628e-05	-0.0540364 0.000195597	
67.5	42.8397	25	0.130762 4.39544e-05	0.117788 0.000481756	0.026401 0.00122327	0.0400786 3.60622e-06	0.0519572 1.19546e-05	-0.0429601 3.12005e-05	
72.5	28.3459	18	0.108606 4.54699e-05	0.124698 0.000349382	-0.0314736 0.000780547	0.0275781 1.17127e-06	0.0437327 9.77072e-06	-0.0578237 2.79313e-05	
77.5	18.6255	12.5	0.0785716 1.07159e-05	0.121048 0.000104726	-0.0788986 0.000173957	0.0169895 3.084e-06	0.035739 1.45858e-05	-0.0581982 3.44856e-05	
82.5	11.0695	8	0.0562124 9.28689e-05	0.110019 0.000478269	-0.0986383 0.000720276	0.0105367 9.32609e-06	0.0250816 6.62776e-05	-0.0415974 0.000160511	
87.5	5.97924	5	0.0404774 2.58972e-05	0.104926 1.30657e-05	-0.117852 1.64584e-05	0.00666813 5.74339e-06	0.0190363 1.26354e-05	-0.0324349 2.36787e-05	
92.5	2.7189	3	0.0334286 2.59432e-10	0.0981907 1.66846e-09	-0.1211 2.54164e-09	0.00263102 1.67447e-10	0.0102823 6.54721e-10	-0.0191034 1.21777e-09	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
