Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	1200.23	363	-0.6026 0.0331802	-0.402755 0.083833	-0.288169 0.181394	
15	639.876	267.5	0.804206 0.00743143	0.256049 0.396479	0.555822 0.0373411	
25	432.835	191.5	0.854637 0.0051754	0.453504 0.0765907	0.549688 0.0403596	
35	281.254	132	0.850067 0.00485146	0.446469 0.0808017	0.577604 0.0332058	
45	173.463	87	0.83092 0.00601715	0.435713 0.0833833	0.382998 0.148499	
55	99.0991	54	0.816808 0.0069133	0.547422 0.0439255	-0.600253 0.046388	
65	52.2076	30.5	0.774962 0.00972929	0.241461 0.518787	-0.767617 0.0273715	
75	23.953	15.5	0.464344 0.0765433	-0.833402 0.0315461	-0.935004 0.021906	
85	8.64243	7	-1.08362 0.0204976	-1.10002 0.0260263	-1.29497 0.0226278	
95	2.09161	3	-1.45376 0.0351898	-1.66376 0.0566529	-1.84633 0.0648918	
