Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	1233.04	409	0.410919 0.068718	0.396442 0.0679516	0.196715 0.517733	
1.5	1098.63	397.5	0.412717 0.310068	-0.543251 0.164793	0.519025 0.107194	
2.5	1045.29	387.5	0.549236 0.12156	-0.363093 0.33667	0.410536 0.255272	
3.5	997.908	377	0.578473 0.0850442	-0.389456 0.345273	0.483279 0.151845	
4.5	958.316	366.5	0.66796 0.0582937	-0.44618 0.227594	-0.404313 0.34585	
5.5	924.608	356	0.677894 0.0421356	-0.584836 0.116038	0.548984 0.100731	
6.5	886.118	345.5	0.744525 0.0333533	0.4354 0.231103	0.501816 0.133449	
7.5	854.233	335	0.713779 0.0405676	-0.691552 0.153125	0.63611 0.0623328	
8.5	823.356	325	0.787691 0.0259665	0.390561 0.255441	0.662292 0.0471681	
9.5	792.077	315	0.786324 0.021309	-0.540391 0.26524	0.677542 0.0424101	
10.5	758.085	305.5	0.769684 0.0239796	0.559584 0.0885541	-0.572726 0.201834	
11.5	732.569	296	0.806078 0.0180679	-0.542422 0.178894	0.394819 0.282018	
12.5	712.321	286.5	0.794187 0.0223198	-0.408529 0.284567	0.627169 0.0648191	
13.5	676.257	277.5	0.825526 0.0169812	0.404362 0.252717	0.597153 0.0803174	
14.5	654.168	269	0.841584 0.0149425	0.522271 0.118573	0.630739 0.065198	
15.5	632.244	260.5	0.833421 0.0159447	0.576875 0.0979006	0.530052 0.113133	
16.5	609.372	252	0.84741 0.0154819	0.539139 0.118738	0.651675 0.0575312	
17.5	583.445	244	0.831604 0.0158676	-0.438971 0.278831	0.539975 0.110183	
18.5	561.156	236	0.833019 0.0163054	-0.56741 0.177002	0.44011 0.246369	
19.5	539.344	228.5	0.828481 0.0165384	0.608907 0.0772187	0.598548 0.0815138	
20.5	516.277	221	0.807151 0.0187875	0.545346 0.10712	0.631039 0.0549254	
21.5	496.618	213.5	0.87266 0.00999115	-0.625934 0.171247	0.590868 0.0893168	
22.5	478.773	206.5	0.848994 0.0177036	0.569919 0.0832323	0.513159 0.131078	
23.5	460.416	199.5	0.854123 0.0131518	-0.535 0.170247	0.678512 0.0489741	
24.5	440.971	192.5	0.864718 0.0107104	0.603417 0.0681992	0.586846 0.0735261	
25.5	428.113	186	0.847793 0.0150628	-0.552754 0.187481	0.675164 0.0520756	
26.5	406.517	179.5	0.851694 0.0191686	0.465577 0.207616	-0.590473 0.132046	
27.5	388.006	173	0.860995 0.013809	0.439606 0.232644	0.575841 0.101547	
28.5	374.119	167	0.877159 0.0105139	0.516456 0.15005	0.408355 0.267567	
29.5	357.339	161	0.875833 0.0107592	0.566792 0.087168	0.596394 0.0823363	
30.5	342.328	155	0.86667 0.0118275	0.466618 0.16282	0.647444 0.06323	
31.5	327.392	149	0.87425 0.00973716	0.279497 0.848881	0.554365 0.113832	
32.5	318.1	143.5	0.857301 0.0142378	-0.313548 0.577399	0.423529 0.226718	
33.5	300.922	138.5	0.855252 0.013277	0.68905 0.0477493	0.656648 0.0558009	
34.5	288.056	133	0.837864 0.0149679	0.602951 0.0693472	-0.355695 0.497901	
35.5	274.327	127.5	0.843825 0.0145732	-0.493227 0.320131	0.643706 0.0654361	
36.5	262.138	122.5	0.863493 0.0132113	0.333296 0.479493	0.518256 0.139318	
37.5	249.472	118	0.855097 0.0122492	0.413186 0.271742	0.664673 0.0490566	
38.5	237.313	113.5	0.839832 0.0145822	0.309604 0.574317	0.624484 0.0621459	
39.5	228.446	108.5	0.850832 0.0126346	0.561276 0.0864317	-0.163217 1.50813	
40.5	215.741	104	0.849929 0.0144329	0.438521 0.215143	0.549323 0.0948063	
41.5	205.291	100	0.83151 0.0169843	0.399931 0.285935	0.691979 0.0428477	
42.5	194.725	96	0.81893 0.0186115	0.511535 0.12798	0.571586 0.0813804	
43.5	188.265	92	0.834254 0.0173766	-0.447491 0.22304	0.518047 0.125042	
44.5	176.362	88	0.844979 0.0139378	-0.26792 1.05568	-0.582075 0.165353	
45.5	166.806	84	0.81207 0.0194659	0.506168 0.129489	-0.302993 0.635889	
46.5	158.976	80	0.855888 0.0117157	0.575104 0.0866734	0.220437 1.08524	
47.5	149.56	76.5	0.830346 0.0142631	0.575676 0.0906439	0.357713 0.387957	
48.5	140.843	73	0.860343 0.0121047	0.567364 0.0984105	-0.399638 0.348287	
49.5	135.104	69.5	0.842622 0.0139442	0.566319 0.104217	-0.261288 1.20818	
50.5	127.205	66.5	0.841481 0.0144139	0.508791 0.133163	0.282779 0.844341	
51.5	119.629	63	0.834701 0.0142647	0.56613 0.0915571	-0.143212 1.8207	
52.5	113.277	59.5	0.819707 0.0170159	0.627546 0.07526	-0.501774 0.280701	
53.5	106.242	56.5	0.837594 0.0152893	0.612503 0.0678901	-0.716287 0.102094	
54.5	100.178	54	0.829631 0.0144805	0.603072 0.0687835	-0.668888 0.143829	
55.5	94.8343	51.5	0.808689 0.0176754	0.432513 0.208442	-0.3331 0.522635	
56.5	89.6897	48.5	0.805958 0.0196784	-0.521411 0.180057	-0.584819 0.107952	
57.5	83.604	46	0.797607 0.0192067	0.646192 0.0499007	-0.662251 0.0831518	
