Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	1233.04	409	0.262325 1.45008e-06	0.264349 3.69808e-06	-0.118875 7.4607e-05	0.205214 7.75972e-07	0.205893 2.32317e-06	-0.0348424 8.77906e-05	
1.5	1098.63	397.5	0.261593 6.5139e-05	0.266913 0.000197597	-0.262378 0.0120144	0.199131 8.89768e-05	0.201783 0.000713962	-0.110388 0.0417242	
2.5	1045.29	387.5	0.25661 0.000131352	0.253528 0.000316013	0.125092 0.00324488	0.198889 0.000221351	0.200575 0.0131647	-0.0641596 0.230624	
3.5	997.908	377	0.255983 2.71087e-05	0.261291 0.000981189	-0.171821 0.0434971	0.197575 2.61522e-05	0.198291 6.33352e-05	-0.0267762 0.000558224	
4.5	958.316	366.5	0.249637 4.64914e-05	0.248911 0.00339063	0.0206545 0.0893725	0.193957 6.68893e-05	0.188622 0.000513678	0.180326 0.0299711	
5.5	924.608	356	0.247394 0.000330112	0.248423 8.60476e-05	-0.0254755 0.0211348	0.194371 0.000156722	0.191567 0.000406717	0.0850925 0.00779187	
6.5	886.118	345.5	0.247566 0.000213761	0.24858 0.00230994	-0.0211806 0.0535205	0.193399 2.92172e-05	0.189032 8.23472e-05	0.13205 0.0108369	
7.5	854.233	335	0.241809 0.000119232	0.235501 0.000672998	0.113287 0.0159374	0.191556 9.17561e-05	0.181419 0.000355741	0.277323 0.0196413	
8.5	823.356	325	0.241202 5.39603e-05	0.241957 0.000404686	-0.0125008 0.0137043	0.187768 4.59635e-06	0.188317 1.71693e-05	-0.0145287 0.00310841	
9.5	792.077	315	0.240921 0.000140247	0.234772 0.0096453	0.0969389 0.103134	0.181847 5.61494e-06	0.184236 1.77221e-05	-0.0538459 0.000428788	
10.5	758.085	305.5	0.236117 2.24236e-05	0.224106 0.000233508	0.159445 0.00702146	0.178284 6.32032e-05	0.18404 0.000181763	-0.139089 0.00404866	
11.5	732.569	296	0.239478 3.60307e-05	0.231745 0.00144359	0.100403 0.0246545	0.179945 3.13705e-05	0.183336 9.77272e-05	-0.0721355 0.00148256	
