Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	1214.52	388.5	0.382788 0.00709539	0.910603 0.00113181	0.941663 0.000732879	
7.5	854.022	335.5	0.511776 0.0134114	0.960475 0.00109535	0.941039 0.00187511	
12.5	705.13	287.5	0.507095 0.0133497	0.970115 0.00082766	0.93053 0.00245825	
17.5	582.893	245	0.513244 0.0129507	0.974464 0.000698748	0.923205 0.00257883	
22.5	477.164	207	0.512437 0.0121102	0.976432 0.00061803	0.909629 0.00325477	
27.5	388.209	173.5	0.491247 0.0126872	0.977359 0.000653763	0.89396 0.00389134	
32.5	314.597	144	0.454807 0.0141593	0.975357 0.000776126	0.892066 0.00412088	
37.5	249.08	118	0.452679 0.0132579	0.974049 0.000763266	0.883675 0.00423881	
42.5	196.592	96	0.404913 0.0148421	0.969139 0.0011563	0.87167 0.00528006	
47.5	150.488	77	0.405412 0.0135967	0.966244 0.00121204	0.860353 0.00537244	
52.5	113.222	60.5	0.373778 0.0157484	0.95627 0.00175421	0.831012 0.00671756	
57.5	83.4906	46.5	0.338185 0.0173196	0.94566 0.00225977	0.794779 0.00834365	
62.5	60.411	34.5	0.321949 0.0190832	0.921901 0.00381874	0.755804 0.0102245	
67.5	42.8397	25	0.329892 0.0195326	0.886528 0.00559051	0.687072 0.0129019	
72.5	28.3459	18	0.222397 0.0221488	0.832752 0.00743661	0.587333 0.0156085	
77.5	18.6255	12.5	0.0371864 0.0238025	0.729911 0.0103789	0.477304 0.0179309	
82.5	11.0695	8	0.0930044 0.0219648	0.640903 0.0122425	0.389593 0.0195374	
87.5	5.97924	5	0.181291 0.023593	0.574188 0.015801	0.357057 0.02279	
92.5	2.7189	3	0.171038 0.0278002	0.57277 0.0216621	0.256774 0.0272539	
97.5	nan	2	nan nan	nan nan	nan nan	
