Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	1233.04	409	0.00815425 5.45157e-05	 0.0266517 0.000123075	 0.0216553 0.000100198	 0.0136127 6.37303e-05	 0.00721725 3.28916e-05	 0.00380816 1.80229e-05	 
1.5	1098.63	397.5	0.0110754 0.000319891	 0.0285962 0.00062716	 0.0225524 0.000523217	 0.0142768 0.000305832	 0.00711857 0.000150999	 0.00380842 9.00669e-05	 
2.5	1045.29	387.5	0.0117714 0.000345552	 0.0315444 0.000695097	 0.0238425 0.000555867	 0.0144937 0.000330143	 0.00754701 0.000182355	 0.00389525 8.24831e-05	 
3.5	997.908	377	0.012242 0.000348408	 0.0350138 0.000769027	 0.0241349 0.000569256	 0.0142565 0.000323111	 0.00767695 0.000182995	 0.00407562 0.0001019	 
4.5	958.316	366.5	0.0123622 0.000402623	 0.0375327 0.000797736	 0.0251143 0.000608229	 0.0152872 0.000367968	 0.00760058 0.000176363	 0.00421981 0.00010982	 
5.5	924.608	356	0.0126407 0.000412536	 0.0395398 0.00083297	 0.0261698 0.000656364	 0.0157798 0.000356941	 0.00807095 0.000183214	 0.00413609 0.000100508	 
6.5	886.118	345.5	0.0136751 0.000416572	 0.0442031 0.00088465	 0.0270828 0.000639607	 0.0157056 0.000365551	 0.00819587 0.000191248	 0.00428432 9.5439e-05	 
7.5	854.233	335	0.0131272 0.000446235	 0.0464791 0.000961751	 0.0273325 0.000729363	 0.0162581 0.000357542	 0.00802008 0.000195829	 0.00441406 0.000110942	 
8.5	823.356	325	0.0136898 0.000461084	 0.0488994 0.000879387	 0.0277935 0.000630006	 0.0167864 0.000345948	 0.00868772 0.000189752	 0.0044106 9.96203e-05	 
9.5	792.077	315	0.0135658 0.00038914	 0.0514229 0.000946805	 0.0279625 0.000683	 0.0166936 0.000347474	 0.00827895 0.000200572	 0.00450726 0.000106558	 
10.5	758.085	305.5	0.014678 0.000446109	 0.0545886 0.00107874	 0.0279784 0.000651972	 0.017371 0.000448786	 0.0085413 0.000201353	 0.00447103 0.000112195	 
11.5	732.569	296	0.0148846 0.000479539	 0.0568148 0.00104061	 0.0295839 0.000743575	 0.0166912 0.000397496	 0.0088135 0.000190244	 0.00458066 0.000114976	 
12.5	712.321	286.5	0.0157061 0.000537188	 0.0587392 0.00109088	 0.0287626 0.000698202	 0.0181036 0.000398411	 0.00877453 0.000210895	 0.00468111 0.000110978	 
13.5	676.257	277.5	0.0161374 0.000535799	 0.0641616 0.00113271	 0.0290459 0.000691576	 0.0175547 0.000395806	 0.00879069 0.000205805	 0.00475646 0.00011399	 
14.5	654.168	269	0.0163726 0.000653855	 0.0664908 0.00114982	 0.0314069 0.000740493	 0.0175585 0.000394775	 0.00901313 0.000192123	 0.00464965 0.000115122	 
15.5	632.244	260.5	0.0161328 0.000525283	 0.0669753 0.00115562	 0.031 0.000701469	 0.0178335 0.000410676	 0.00904589 0.000205121	 0.0048351 0.000116691	 
16.5	609.372	252	0.0174285 0.000672765	 0.0675006 0.0011372	 0.0314124 0.000727973	 0.0182574 0.000400282	 0.00905916 0.000203872	 0.00478791 0.000115004	 
17.5	583.445	244	0.0169515 0.000559742	 0.0717037 0.00122	 0.031713 0.000761342	 0.0183813 0.000414347	 0.0089214 0.000204021	 0.0048914 0.000112547	 
18.5	561.156	236	0.0178953 0.00055961	 0.0737956 0.00125306	 0.0310755 0.000770482	 0.0182938 0.00042354	 0.00906339 0.000199951	 0.00499643 0.000123098	 
19.5	539.344	228.5	0.017701 0.000623352	 0.0743734 0.00130331	 0.0317856 0.000711558	 0.0177726 0.00039999	 0.00960899 0.00021659	 0.00487127 0.000111239	 
20.5	516.277	221	0.019625 0.000556325	 0.0757802 0.0013337	 0.0316892 0.00070216	 0.0181056 0.000385373	 0.00947267 0.000206877	 0.00516168 0.000128214	 
21.5	496.618	213.5	0.0198067 0.000570606	 0.0789348 0.00120619	 0.0334543 0.000848206	 0.0183511 0.000405727	 0.00996143 0.000235102	 0.00506716 0.000128222	 
22.5	478.773	206.5	0.0187002 0.000582768	 0.0806162 0.0012641	 0.0327245 0.00070033	 0.0190711 0.000416342	 0.00932068 0.000210309	 0.00517943 0.000120324	 
