Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	1214.52	388.5	-0.339442 0.137832	0.300362 0.147938	0.131925 1.49152	
7.5	854.022	335.5	0.729413 0.0161199	-0.526166 0.0918596	0.617604 0.0290554	
12.5	705.13	287.5	0.798766 0.00944937	0.238285 0.58831	0.518191 0.0632734	
17.5	582.893	245	0.829755 0.00769905	0.434952 0.118317	0.55784 0.0505795	
22.5	477.164	207	0.84934 0.00641777	0.329818 0.25301	0.594463 0.0357204	
27.5	388.209	173.5	0.863516 0.00632766	0.410108 0.140953	0.527842 0.0601486	
32.5	314.597	144	0.856021 0.0059401	0.515107 0.0616643	0.548048 0.050023	
37.5	249.08	118	0.847262 0.00629526	0.388706 0.15428	0.580127 0.0398202	
42.5	196.592	96	0.833525 0.00755271	0.325273 0.251654	0.557346 0.0566076	
47.5	150.488	77	0.841456 0.0066432	0.573943 0.0427596	-0.182648 1.3653	
52.5	113.222	60.5	0.830589 0.00727658	0.586422 0.0397451	-0.586011 0.0682172	
57.5	83.4906	46.5	0.805042 0.00939583	0.432479 0.118257	-0.618762 0.0472431	
62.5	60.411	34.5	0.797814 0.00962475	0.59106 0.0411532	-0.666913 0.0409661	
67.5	42.8397	25	0.788142 0.0108019	-0.597215 0.0613398	-0.767588 0.030577	
72.5	28.3459	18	0.726566 0.0170032	-0.724859 0.0445216	-0.830529 0.0290505	
77.5	18.6255	12.5	-0.625148 0.0490742	-0.851685 0.0343522	-0.995402 0.0235181	
82.5	11.0695	8	-0.996096 0.0211693	-1.03473 0.0394216	-1.2194 0.020035	
87.5	5.97924	5	-1.26804 0.0227842	-1.27617 0.0248343	-1.49258 0.0272236	
92.5	2.7189	3	-1.39332 0.0284546	-1.53867 0.0591814	-1.98445 0.0960757	
97.5	nan	2	nan nan	nan nan	nan nan	
