Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	1233.04	409	1.23072 0.00797559
1.5	1098.63	397.5	1.26799 0.0406589
2.5	1045.29	387.5	1.32303 0.0413919
3.5	997.908	377	1.45075 0.046876
4.5	958.316	366.5	1.49447 0.0487333
5.5	924.608	356	1.51089 0.048466
6.5	886.118	345.5	1.63215 0.0500838
7.5	854.233	335	1.70051 0.0597503
8.5	823.356	325	1.75939 0.0501112
9.5	792.077	315	1.83899 0.0567941
10.5	758.085	305.5	1.9511 0.060029
11.5	732.569	296	1.92046 0.0609026
12.5	712.321	286.5	2.04221 0.0641095
13.5	676.257	277.5	2.20898 0.0694352
14.5	654.168	269	2.11708 0.0648145
15.5	632.244	260.5	2.1605 0.063718
16.5	609.372	252	2.14885 0.0613349
17.5	583.445	244	2.26102 0.0691175
18.5	561.156	236	2.37472 0.0720587
19.5	539.344	228.5	2.33984 0.0683369
20.5	516.277	221	2.39135 0.0730217
21.5	496.618	213.5	2.35948 0.0714932
22.5	478.773	206.5	2.46348 0.0679746
23.5	460.416	199.5	2.34956 0.0724956
24.5	440.971	192.5	2.5561 0.0730218
25.5	428.113	186	2.47421 0.0839547
26.5	406.517	179.5	2.73851 0.0806094
27.5	388.006	173	2.68246 0.0806178
28.5	374.119	167	2.76085 0.0808728
29.5	357.339	161	2.6547 0.0757004
30.5	342.328	155	2.65241 0.0796732
31.5	327.392	149	2.75928 0.0811978
32.5	318.1	143.5	2.66878 0.0877337
33.5	300.922	138.5	2.80102 0.0816123
34.5	288.056	133	2.67831 0.0820771
35.5	274.327	127.5	2.72569 0.0869853
36.5	262.138	122.5	2.80658 0.0912546
37.5	249.472	118	2.63111 0.0804288
38.5	237.313	113.5	2.78256 0.0889896
39.5	228.446	108.5	2.84395 0.0869989
40.5	215.741	104	2.99297 0.0935287
41.5	205.291	100	2.55551 0.0810734
42.5	194.725	96	2.69684 0.0895212
43.5	188.265	92	2.77081 0.090539
44.5	176.362	88	2.9836 0.101603
45.5	166.806	84	2.79398 0.0888085
46.5	158.976	80	2.9409 0.0877703
47.5	149.56	76.5	2.89324 0.093759
48.5	140.843	73	2.97942 0.0945875
49.5	135.104	69.5	2.92751 0.0943574
50.5	127.205	66.5	3.05002 0.102307
51.5	119.629	63	2.94069 0.0968559
52.5	113.277	59.5	3.11104 0.103057
53.5	106.242	56.5	3.2089 0.101919
54.5	100.178	54	2.9669 0.0958997
55.5	94.8343	51.5	3.25015 0.110361
56.5	89.6897	48.5	3.4642 0.122349
57.5	83.604	46	3.15925 0.105143
58.5	78.869	43.5	3.18132 0.112829
59.5	73.5184	41	3.39986 0.110643
60.5	69.5114	39	3.30311 0.107081
61.5	64.996	36.5	3.61133 0.118335
62.5	60.343	34	3.48985 0.113519
63.5	56.3825	32	3.57701 0.122783
64.5	53.0949	30	3.4919 0.120656
65.5	49.5741	28.5	3.84378 0.130256
66.5	46.6869	27	4.02932 0.141569
67.5	42.6997	25	3.79166 0.137383
68.5	40.3582	23.5	3.97553 0.134746
69.5	37.2209	22	4.08527 0.147761
70.5	34.1252	20.5	4.27262 0.146869
71.5	31.2981	19	4.25513 0.162388
72.5	29.0107	17.5	4.41156 0.153626
73.5	26.7806	16.5	4.2927 0.155473
74.5	24.77	15.5	4.73361 0.159772
75.5	22.6205	14.5	4.91136 0.185133
76.5	20.7825	13	4.2849 0.162397
77.5	18.7847	12	4.76952 0.186841
78.5	17.1102	11.5	4.44474 0.173189
79.5	15.4799	10.5	4.83785 0.191137
80.5	13.7401	9.5	4.6152 0.184071
81.5	12.4969	8.5	5.02054 0.189274
82.5	11.1238	8	5.00561 0.189863
83.5	9.92672	7.5	5.46939 0.244419
84.5	8.81247	6.5	5.56908 0.24481
85.5	7.81542	6	5.22591 0.234647
86.5	6.91819	5.5	5.23381 0.291946
87.5	5.9899	5	6.22337 0.322994
88.5	5.20323	4.5	6.21504 0.340393
89.5	4.4031	4	6.70357 0.350036
90.5	3.84084	4	7.46022 0.414669
91.5	3.21928	3.5	8.72674 0.48272
92.5	2.68461	3	9.1064 0.515644
93.5	2.20416	2.5	11.6766 0.801132
94.5	1.74683	2	14.812 0.983324
95.5	1.36598	2	19.9875 1.32712
96.5	0.99072	2	37.4963 2.35103
97.5	0.661659	2	28.0594 3.68146
98.5	0.340941	2	11.2679 1.51598
99.5	358.611	0	4.26753 11.9182
