Cent%	 dNdy	 Npart	 Observable	 err
5	1200.23	363	0.0229895 0.00941609
15	639.876	267.5	0.0476295 0.0216737
25	432.835	191.5	0.0701045 0.0209371
35	281.254	132	0.0878504 0.0239163
45	173.463	87	0.0649589 0.0205341
55	99.0991	54	0.051642 0.0204358
65	52.2076	30.5	0.31361 0.112717
75	23.953	15.5	0.485133 0.173125
85	8.64243	7	1.19069 0.161829
95	2.09161	3	0.0329375 0.037557
