Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	1200.23	363	-6.92174e-09 4.10592e-10	-8.36296e-08 1.84111e-08	-6.33129e-09 4.9478e-09	-2.51355e-10 5.99182e-10	9.42289e-11 4.52119e-11	-8.71656e-12 4.18993e-12	
15	639.876	267.5	-8.46587e-08 1.04809e-08	7.94001e-06 3.71294e-07	3.74714e-09 2.67447e-08	9.69459e-09 2.66784e-09	6.53821e-10 2.038e-10	2.04848e-12 1.65239e-11	
25	432.835	191.5	-1.80125e-07 2.72975e-08	2.76563e-05 9.71553e-07	5.20569e-08 3.59802e-08	1.24948e-08 3.73333e-09	5.36619e-10 2.60202e-10	-5.64716e-11 2.49984e-11	
35	281.254	132	-5.14782e-07 6.15643e-08	4.44987e-05 1.62315e-06	6.28514e-08 4.66564e-08	1.81364e-08 4.27116e-09	6.36951e-10 2.76659e-10	-9.06406e-11 4.23355e-11	
45	173.463	87	-1.30259e-06 2.17257e-07	4.82183e-05 2.11156e-06	5.79953e-08 4.52278e-08	3.21955e-09 5.51226e-09	-3.7013e-10 3.70814e-10	-1.06814e-10 3.2162e-11	
55	99.0991	54	-1.66978e-06 2.18473e-07	4.67928e-05 2.38388e-06	9.71749e-08 3.22071e-08	-1.67182e-08 5.08109e-09	-9.81076e-13 1.76854e-10	-1.74108e-10 3.28066e-11	
65	52.2076	30.5	-2.00169e-06 2.84571e-07	2.79895e-05 1.94343e-06	1.52408e-09 1.39269e-08	-2.76354e-08 4.02037e-09	-2.28473e-10 8.2625e-11	-1.34454e-10 1.91247e-11	
75	23.953	15.5	-1.74178e-06 2.89892e-07	1.54811e-06 1.05652e-06	-3.91546e-08 6.3227e-09	-2.32131e-08 2.32033e-09	-1.69814e-10 2.55767e-11	-6.37352e-11 8.36984e-12	
85	8.64243	7	-7.05666e-07 1.44052e-07	-6.26234e-06 3.82241e-07	-6.31603e-09 6.89038e-10	-4.3091e-09 4.04168e-10	-2.0803e-11 3.05517e-12	-3.8578e-12 5.99112e-13	
95	2.09161	3	-3.68537e-10 7.65053e-11	-4.28836e-07 5.01677e-08	-3.77377e-11 8.08628e-12	-5.07065e-13 1.43235e-13	-1.05722e-14 4.39935e-15	-1.83128e-14 3.30216e-15	
