Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
0.5	367.805	381.5	7.00569e-14 3.33073e-14	1.17254e-11 5.62461e-12	-7.84066e-13 7.53311e-13	3.84355e-16 9.22505e-15	9.18646e-17 8.91085e-17	-7.76126e-20 3.02075e-19	
1.5	345.932	365.5	2.55244e-14 4.14023e-14	-7.78534e-12 1.02453e-11	-1.95694e-13 1.00139e-12	-1.35933e-15 1.17709e-14	-1.58275e-16 7.54877e-17	1.00125e-17 1.0143e-17	
2.5	330.542	354.5	5.67151e-14 5.43168e-14	-2.61889e-13 1.70339e-11	-2.96002e-13 1.14922e-12	-7.16338e-15 1.2997e-14	-8.57128e-17 8.05229e-17	7.04735e-19 5.29737e-19	
3.5	317.166	343.5	3.45095e-14 3.71753e-14	7.26629e-11 5.51909e-11	-6.77577e-13 1.16011e-12	-2.1455e-14 1.52036e-14	2.82001e-16 2.41749e-16	-4.47623e-20 4.21488e-19	
4.5	304.617	333	1.78779e-14 3.23086e-14	5.20298e-11 5.31647e-11	-2.8101e-12 1.66343e-12	-2.76738e-14 1.81235e-14	1.4235e-16 1.31206e-16	4.94678e-19 6.79856e-19	
5.5	292.919	322.5	-1.75863e-14 1.63248e-14	-5.05113e-13 6.18935e-11	1.32763e-12 2.10968e-12	2.85602e-14 1.58953e-14	-7.04573e-17 8.61161e-17	6.85833e-19 1.2829e-18	
6.5	280.808	312	1.27754e-13 9.88848e-14	2.16434e-10 7.55992e-11	-9.77439e-13 1.69144e-12	1.33447e-14 1.30813e-14	4.36962e-16 3.92405e-16	2.9542e-18 1.85845e-18	
7.5	270.727	302	1.06824e-13 6.97056e-14	2.14134e-10 1.37151e-10	-2.7101e-12 2.01807e-12	8.09835e-15 2.06117e-14	-7.4611e-17 8.73522e-17	-1.10441e-18 7.60241e-19	
8.5	260.232	292.5	3.9017e-14 5.49097e-14	4.18372e-10 1.46441e-10	1.91623e-12 2.86707e-12	1.40349e-14 2.49997e-14	-7.50739e-17 1.06639e-16	-6.83499e-19 8.90684e-19	
9.5	250.843	283	3.15062e-15 5.51989e-14	8.29004e-10 2.66094e-10	-9.10515e-13 2.21492e-12	1.96179e-13 1.51788e-13	-6.59379e-17 1.20077e-16	2.70269e-17 2.74777e-17	
10.5	241.248	273.5	1.33287e-14 4.71469e-14	1.35491e-09 4.39298e-10	1.89753e-12 2.25918e-12	7.91244e-14 4.79071e-14	-1.12816e-16 9.84857e-17	1.30147e-19 8.62832e-19	
11.5	232.139	265	6.41961e-13 3.56784e-13	2.07901e-09 4.40985e-10	3.60155e-12 2.44514e-12	5.87134e-14 3.68184e-14	4.02562e-17 1.33296e-16	-1.25879e-19 1.16152e-18	
12.5	223.692	256.5	-1.90054e-14 7.63395e-14	3.21271e-09 6.59599e-10	5.80623e-12 3.55797e-12	-3.0166e-14 2.95231e-14	-2.4701e-17 1.11062e-16	4.57898e-18 4.9797e-18	
13.5	215.093	248	-8.87665e-14 6.10938e-14	3.14432e-09 6.8761e-10	-4.4799e-12 2.99812e-12	-3.31127e-14 4.94113e-14	-6.86351e-17 1.42465e-16	-2.03314e-18 1.26956e-18	
14.5	206.948	240	-3.81576e-14 6.41415e-14	3.88498e-09 8.65813e-10	-7.3246e-13 3.9824e-12	1.39104e-14 3.76693e-14	-1.4981e-16 1.68583e-16	-1.24294e-18 1.16143e-18	
15.5	199.378	232	2.7852e-13 2.02556e-13	3.10404e-09 9.52291e-10	-4.08298e-12 4.14172e-12	-3.20828e-14 2.87482e-14	3.14561e-17 1.78269e-16	-2.61904e-18 1.35152e-18	
16.5	192.244	224	-1.25466e-14 5.74435e-14	6.25256e-09 1.09994e-09	-3.62208e-13 3.82377e-12	1.28031e-14 2.7808e-14	1.30513e-16 2.69021e-16	-8.75597e-19 1.23257e-18	
17.5	184.874	216.5	4.53566e-14 1.49764e-13	1.17329e-08 1.90999e-09	3.27649e-12 3.99691e-12	6.47412e-14 9.66353e-14	2.39501e-16 2.16198e-16	-1.36931e-18 1.78391e-18	
18.5	178.383	209.5	7.27999e-13 7.70214e-13	1.00509e-08 1.76959e-09	-4.00465e-13 3.83654e-12	-1.63918e-14 3.03063e-14	-2.05192e-16 1.96472e-16	-3.63946e-19 1.28607e-18	
19.5	171.548	202.5	1.32588e-12 9.37734e-13	1.2708e-08 2.27397e-09	-2.38694e-12 4.29808e-12	9.17796e-15 4.31149e-14	-1.37656e-16 1.90248e-16	-3.65172e-18 1.71778e-18	
20.5	165.101	195.5	4.40206e-13 4.20674e-13	1.51267e-08 2.65543e-09	5.33623e-12 3.959e-12	-6.17893e-14 4.63449e-14	4.52506e-16 2.46467e-16	-4.78695e-19 3.32915e-18	
