Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	367.805	381.5	0.680735 0.0435191	0.318616 0.503306	0.4211 0.242229	
1.5	345.932	365.5	-0.268139 0.809243	0.116473 2.31974	0.353057 0.367831	
2.5	330.542	354.5	-0.529168 0.219308	0.390263 0.293479	0.39625 0.26824	
3.5	317.166	343.5	0.224263 1.20181	0.335647 0.438181	-0.585435 0.114927	
4.5	304.617	333	0.497047 0.152505	-0.574414 0.123088	-0.334613 0.475626	
5.5	292.919	322.5	0.569152 0.0869304	0.428419 0.242829	0.674158 0.0477599	
6.5	280.808	312	0.700425 0.0401006	0.41511 0.235061	0.572366 0.0965038	
7.5	270.727	302	0.571141 0.105702	-0.473319 0.17941	0.548488 0.105548	
8.5	260.232	292.5	0.749247 0.0270023	-0.461832 0.408558	-0.28716 0.721277	
9.5	250.843	283	0.748323 0.0274952	0.0900752 2.91843	-0.342467 0.528338	
10.5	241.248	273.5	0.734692 0.0327386	0.525757 0.125502	0.514237 0.188518	
11.5	232.139	265	0.783498 0.0248929	0.658085 0.0494594	-0.316992 0.518146	
12.5	223.692	256.5	0.779232 0.0232628	0.626663 0.0790209	0.488142 0.130975	
13.5	215.093	248	0.789218 0.0193433	-0.130007 2.02724	-0.732468 0.0762121	
14.5	206.948	240	0.774657 0.0252452	0.383328 0.306363	0.605891 0.0672051	
15.5	199.378	232	0.733917 0.0274136	-0.302506 0.658925	0.500339 0.129804	
16.5	192.244	224	0.795902 0.0211572	0.542072 0.102525	0.530959 0.116795	
17.5	184.874	216.5	0.844101 0.0133024	-0.6328 0.115766	-0.380335 0.399549	
18.5	178.383	209.5	0.808842 0.0207959	0.583007 0.0768591	0.504049 0.139753	
19.5	171.548	202.5	0.819435 0.0159132	0.418224 0.228823	0.532884 0.111859	
20.5	165.101	195.5	0.819891 0.0164503	0.516151 0.142296	-0.483498 0.203979	
21.5	158.6	188.5	0.849621 0.0127522	0.347371 0.391527	0.54688 0.100136	
22.5	152.689	182	0.834929 0.0143062	0.601082 0.06764	0.551472 0.0934166	
23.5	146.597	176	0.820234 0.0178228	-0.582473 0.144635	0.327849 0.465772	
24.5	141.192	170	0.822671 0.0153147	0.448895 0.195599	-0.539686 0.150116	
25.5	135.747	164	0.831122 0.0177117	0.552501 0.114313	-0.283805 0.720345	
26.5	130.283	158	0.815412 0.0172839	0.489747 0.166655	-0.566204 0.131128	
27.5	125.145	152	0.848778 0.0133242	-0.272477 0.811004	0.561213 0.0885891	
28.5	120.291	146.5	0.838574 0.014528	0.224311 1.20173	-0.302003 0.640128	
29.5	115.219	141.5	0.807337 0.0188399	-0.563041 0.167518	0.389753 0.316127	
30.5	110.242	136	0.837767 0.0148618	0.374838 0.385396	-0.276254 0.801758	
31.5	106.056	130.5	0.839107 0.0135213	0.4645 0.195252	-0.398851 0.440698	
32.5	101.419	126	0.802814 0.0189705	0.606902 0.0760487	-0.51026 0.283303	
33.5	97.2484	121.5	0.79463 0.0223497	-0.583897 0.12078	-0.632828 0.16038	
34.5	93.2998	116.5	0.8225 0.0160427	0.450034 0.19164	-0.734266 0.103132	
35.5	88.9135	112	0.826677 0.0168298	0.524883 0.112954	-0.444476 0.321137	
36.5	85.4122	107.5	0.829566 0.0166204	0.553944 0.0950871	0.348673 0.382007	
37.5	81.3808	103	0.821665 0.0139602	0.361047 0.314284	-0.652 0.0889945	
38.5	77.8225	99	0.809688 0.0207411	-0.452765 0.351023	-0.70179 0.106539	
39.5	74.385	95	0.817234 0.0166497	0.410702 0.238895	-0.76187 0.0818559	
40.5	71.0572	91	0.789969 0.0200075	0.60448 0.066509	-0.699062 0.10253	
41.5	67.9782	87	0.820848 0.0179805	0.538255 0.105619	-0.787533 0.0785612	
42.5	64.3778	83	0.802531 0.0200667	0.517065 0.110691	-0.682003 0.126353	
43.5	61.3959	79.5	0.783094 0.0221155	0.438373 0.225857	-0.655785 0.0899107	
44.5	58.4296	76	0.782235 0.0233006	-0.495427 0.292628	-0.821348 0.0622147	
45.5	55.5157	72.5	0.77757 0.0218978	0.329792 0.438474	-0.823356 0.0507876	
